Sample	QC.sex	QC.tumour_mapd	QC.normal_mapd	QC.GC_correction_before	QC.GC_correction_after	QC.RT_correction_before	QC.RT_correction_after	QC.n_het_SNP	QC.n_segs_logR	QC.n_segs_BAF	QC.n_segs_logRBAF_diff	QC.frac_homo	QC.purity	QC.ploidy	QC.goodness_of_fit	QC.size_intermediate_segments	QC.size_odd_segments	QC.n_segs	QC.segs_size	QC.n_segs_1kSNP	QC.homdel_segs	QC.homdel_largest	QC.homdel_size	QC.homdel_fraction	QC.LOH	QC.mode_minA	QC.mode_majA	QC.WGD	QC.GI
P011	XX	0.2825	0	1kb=0.2835 / 5kb=0.2572	1kb=0 / 5kb=0	NA	NA	1125681	92	81	11	1e-04	0.35	1.9857	98.0758	153403185	2967351886	83	3008559816	0.0737	2	994959	1075126	4e-04	0.026	1	1	0	0.0532
P013	XX	0.3016	0	200bp=0.0454 / 500kb=0.0586	200bp=0 / 500kb=0	NA	NA	1096667	144	108	36	6e-04	0.52	1.981	87.2768	3136386	2864768868	119	2987318239	0.1085	7	16788256	21380279	0.0072	0.0451	1	1	0	0.0459
P016	XX	0.2818	0	1kb=0.0504 / 5kb=0.0393	1kb=0 / 5kb=0	NA	NA	1074924	172	129	43	0.0325	0.76	3.9805	91.7163	120632206	372094460	118	3010882646	0.1098	5	1330276	1894630	6e-04	0.0454	2	2	1	0.1225
P017	XX	0.2714	0	500bp=0.1018 / 5kb=0.0569	500bp=0 / 5kb=0	NA	NA	1096695	139	123	16	0.0491	0.93	3.9252	93.2963	1726852	85848403	115	3025350928	0.1049	1	53341	53341	0	0.0526	2	2	1	0.1019
P018	XX	0.2657	0	200bp=0.0342 / 500kb=0.0375	200bp=0 / 500kb=0	NA	NA	1149159	164	116	48	0.0165	0.84	1.982	90.5989	15265736	2982549360	72	3018988149	0.0627	4	119214	210549	1e-04	0.0326	1	1	0	0.0346
P019	XX	0.2831	0	200bp=0.0466 / 500kb=0.0165	200bp=0 / 500kb=0	NA	NA	1110748	116	104	12	0.0089	0.68	3.963	98.692	717956	47192463	105	3020261448	0.0945	0	0	0	0	0.0459	2	2	1	0.0888
P020	XX	0.2812	0	500bp=0.1721 / 5kb=0.1225	500bp=0 / 5kb=0	NA	NA	1097602	170	112	58	5e-04	1	1.9995	96.1114	201898	3030033332	57	3030383378	0.0519	3	309680	350046	1e-04	7e-04	1	1	0	0.0011
P022	XX	0.2941	0	500bp=0.1766 / 5kb=0.1266	500bp=0 / 5kb=0	NA	NA	1078673	127	110	17	8e-04	0.59	1.9934	92.1586	10591834	2986326798	99	2989386686	0.0918	5	724240	1652696	6e-04	0.0143	1	1	0	0.0243
P023	XX	0.311	0	500bp=0.0215 / 500kb=0.0492	500bp=0 / 500kb=0	NA	NA	1069425	97	87	10	2e-04	0.77	1.9989	92.6327	6187522	2988665596	65	2988753440	0.0608	1	86177	86177	0	0.0034	1	1	0	0.0084
P024	XX	0.1999	0	1kb=0.0965 / 500kb=0.1012	1kb=0 / 500kb=0	NA	NA	1136330	148	132	16	5e-04	1	2.2326	99.3783	284470	3023482010	39	3023845690	0.0343	2	64077	89249	0	3e-04	1	1	0	0.2334
P026	XX	0.2691	0	1kb=0.0535 / 500kb=0.1084	1kb=0 / 500kb=0	NA	NA	1116220	190	124	66	0.0079	1	2.1865	99.0343	9315437	2986221128	87	3000718212	0.0779	0	0	0	0	0.0066	1	1	0	0.1914
P027	XX	0.2667	0	1kb=0.1209 / 5kb=0.1136	1kb=0 / 5kb=0	NA	NA	1091773	305	187	118	0.0447	1	1.9766	97.0456	166022	2995658368	72	3032268630	0.0659	6	314024	769620	3e-04	0.0383	1	1	0	0.0387
P028	XX	0.2012	0	1kb=0.0309 / 50kb=0.1027	1kb=0 / 50kb=0	NA	NA	1161546	156	149	7	1e-04	1	2	97.7135	3112835	3024794140	43	3025084982	0.037	2	240398	290842	1e-04	2e-04	1	1	0	4e-04
P029	XX	0.1951	0	200bp=0.0279 / 500kb=0.0702	200bp=0 / 500kb=0	NA	NA	1134010	172	150	22	0.0336	0.91	4.0141	95.597	106396014	284420593	115	3014568780	0.1014	3	3151674	3765736	0.0012	0.0309	2	2	1	0.0773
P033	XX	0.2861	0	1kb=0.157 / 5kb=0.1435	1kb=0 / 5kb=0	NA	NA	1110613	161	152	9	0.0198	0.96	1.9699	97.0558	66932	3003728469	90	3012091957	0.081	3	5763603	6093622	0.002	0.0279	1	1	0	0.028
P034	XX	0.2876	0	500bp=0.3453 / 5kb=0.2856	500bp=0 / 5kb=0	NA	NA	1131591	139	106	33	0.0215	0.88	2.0221	98.022	113717173	2830265401	74	3006580631	0.0654	1	112600	112600	0	0.0285	1	1	0	0.0517
P035	XX	0.2721	0	1kb=0.0675 / 500kb=0.0993	1kb=0 / 500kb=0	NA	NA	1082226	140	108	32	0.008	0.84	2.0395	97.4034	102383905	2995101726	69	3028383127	0.0638	4	3996628	4216737	0.0014	0.012	1	1	0	0.0419
P036	XX	0.3011	0	1kb=0.0772 / 10kb=0.1069	1kb=0 / 10kb=0	NA	NA	1120423	216	135	81	0.0053	0.9	1.9911	95.9942	4466351	2988474404	115	2989385270	0.1026	3	798986	906332	3e-04	0.014	1	1	0	0.021
P037	XX	0.2898	0	1kb=0.1673 / 5kb=0.1434	1kb=0 / 5kb=0	NA	NA	1065001	9238	9181	57	0.5021	0.99	2.0348	98.1661	238872163	1502158546	8679	2946633357	8.1493	2	527840	700364	2e-04	0.5037	0	2	1	1
P038	XX	0.2999	0	500bp=0.0232 / 50kb=0.0412	500bp=0 / 50kb=0	NA	NA	1063406	145	113	32	0.0189	0.95	1.9987	96.819	261766	2987320431	73	3030291956	0.0686	4	172849	335005	1e-04	0.0162	1	1	0	0.0184
P041	XX	0.3228	0	500bp=0.0461 / 500kb=0.044	500bp=0 / 500kb=0	NA	NA	1036088	2713	2704	9	0.0388	0.99	2.1092	99.5631	627533	3032249971	49	3032378564	0.0473	1	198	198	0	0.0385	1	1	0	0.1897
P056	XX	0.2768	0	1kb=0.211 / 5kb=0.2241	1kb=0 / 5kb=0	NA	NA	1099180	249	113	136	0.0027	1	1.9965	95.1949	4840173	3017332263	84	3018270290	0.0764	4	351918	874885	3e-04	0.0031	1	1	0	0.0033
P057	XX	0.2752	0	1kb=0.0929 / 200kb=0.1086	1kb=0 / 200kb=0	NA	NA	1101734	507	177	330	0.027	0.91	3.9083	92.9008	14747966	191377097	285	2999855626	0.2587	4	2649568	3012599	0.001	0.0306	2	2	1	0.096
P058	XX	0.2019	0	200bp=0.0286 / 5kb=0.0089	200bp=0 / 5kb=0	NA	NA	1141805	151	143	8	0.0116	0.86	2.0079	96.0122	5220948	2983289072	52	3020524783	0.0455	4	497046	863578	3e-04	0.013	1	1	0	0.022
P059	XX	0.1939	0	200bp=0.0597 / 5kb=0.0396	200bp=0 / 5kb=0	NA	NA	1150113	146	135	11	2e-04	0.36	2.0256	94.0902	11978729	2970717922	123	3000273654	0.1069	2	353866	411441	1e-04	0.0326	1	1	0	0.0484
P060	XX	0.2765	0	1kb=0.0076 / 500kb=0.0311	1kb=0 / 500kb=0	NA	NA	1064341	88	70	18	1e-04	0.36	2.0008	98.1584	332254	2868878078	72	3001731147	0.0676	2	11982	12813	0	0.0109	1	1	0	0.0113
P061	XX	0.1953	0	1kb=0.0325 / 500kb=0.0831	1kb=0 / 500kb=0	NA	NA	1173158	145	133	12	4e-04	0.64	2.0833	97.4096	6527971	2946042154	102	3017920162	0.0869	0	0	0	0	0.0719	1	1	0	0.1642
