Average number of variants (all): 677893.76
Average number of variants (filtered high and low confidence): 73957.97
Average number of variants (only high confidence): 115.82

Variant Counts
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P011/P011_all_calls.vcf: 569680 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P011/P011_high_and_low_confidence_somatic.vcf: 37910 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P011/P011_high_confidence_somatic.vcf: 21 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P013/P013_all_calls.vcf: 580473 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P013/P013_high_and_low_confidence_somatic.vcf: 54236 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P013/P013_high_confidence_somatic.vcf: 57 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P016/P016_all_calls.vcf: 613758 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P016/P016_high_and_low_confidence_somatic.vcf: 74987 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P016/P016_high_confidence_somatic.vcf: 63 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P017/P017_all_calls.vcf: 607178 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P017/P017_high_and_low_confidence_somatic.vcf: 42447 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P017/P017_high_confidence_somatic.vcf: 85 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P018/P018_all_calls.vcf: 623170 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P018/P018_high_and_low_confidence_somatic.vcf: 49300 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P018/P018_high_confidence_somatic.vcf: 111 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P019/P019_all_calls.vcf: 607000 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P019/P019_high_and_low_confidence_somatic.vcf: 62017 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P019/P019_high_confidence_somatic.vcf: 103 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P020/P020_all_calls.vcf: 563952 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P020/P020_high_and_low_confidence_somatic.vcf: 31549 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P020/P020_high_confidence_somatic.vcf: 20 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P022/P022_all_calls.vcf: 537346 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P022/P022_high_and_low_confidence_somatic.vcf: 41047 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P022/P022_high_confidence_somatic.vcf: 35 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P023/P023_all_calls.vcf: 546001 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P023/P023_high_and_low_confidence_somatic.vcf: 47566 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P023/P023_high_confidence_somatic.vcf: 37 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P024/P024_all_calls.vcf: 1012904 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P024/P024_high_and_low_confidence_somatic.vcf: 158029 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P024/P024_high_confidence_somatic.vcf: 58 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P026/P026_all_calls.vcf: 608437 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P026/P026_high_and_low_confidence_somatic.vcf: 43891 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P026/P026_high_confidence_somatic.vcf: 21 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P027/P027_all_calls.vcf: 662932 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P027/P027_high_and_low_confidence_somatic.vcf: 73937 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P027/P027_high_confidence_somatic.vcf: 64 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P028/P028_all_calls.vcf: 946322 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P028/P028_high_and_low_confidence_somatic.vcf: 118619 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P028/P028_high_confidence_somatic.vcf: 44 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P029/P029_all_calls.vcf: 973348 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P029/P029_high_and_low_confidence_somatic.vcf: 139154 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P029/P029_high_confidence_somatic.vcf: 22 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P033/P033_all_calls.vcf: 586210 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P033/P033_high_and_low_confidence_somatic.vcf: 41383 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P033/P033_high_confidence_somatic.vcf: 78 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P034/P034_all_calls.vcf: 572090 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P034/P034_high_and_low_confidence_somatic.vcf: 48256 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P034/P034_high_confidence_somatic.vcf: 28 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P035/P035_all_calls.vcf: 643844 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P035/P035_high_and_low_confidence_somatic.vcf: 78700 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P035/P035_high_confidence_somatic.vcf: 64 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P036/P036_all_calls.vcf: 657079 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P036/P036_high_and_low_confidence_somatic.vcf: 106034 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P036/P036_high_confidence_somatic.vcf: 93 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P037/P037_all_calls.vcf: 609534 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P037/P037_high_and_low_confidence_somatic.vcf: 96978 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P037/P037_high_confidence_somatic.vcf: 2227 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P038/P038_all_calls.vcf: 607052 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P038/P038_high_and_low_confidence_somatic.vcf: 60050 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P038/P038_high_confidence_somatic.vcf: 67 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P041/P041_all_calls.vcf: 551376 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P041/P041_high_and_low_confidence_somatic.vcf: 48882 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P041/P041_high_confidence_somatic.vcf: 25 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P056/P056_all_calls.vcf: 637069 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P056/P056_high_and_low_confidence_somatic.vcf: 58795 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P056/P056_high_confidence_somatic.vcf: 57 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P057/P057_all_calls.vcf: 633085 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P057/P057_high_and_low_confidence_somatic.vcf: 55720 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P057/P057_high_confidence_somatic.vcf: 26 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P058/P058_all_calls.vcf: 956482 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P058/P058_high_and_low_confidence_somatic.vcf: 118312 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P058/P058_high_confidence_somatic.vcf: 37 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P059/P059_all_calls.vcf: 973917 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P059/P059_high_and_low_confidence_somatic.vcf: 145938 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P059/P059_high_confidence_somatic.vcf: 31 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P060/P060_all_calls.vcf: 634779 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P060/P060_high_and_low_confidence_somatic.vcf: 56209 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P060/P060_high_confidence_somatic.vcf: 20 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P061/P061_all_calls.vcf: 913147 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P061/P061_high_and_low_confidence_somatic.vcf: 128825 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P061/P061_high_confidence_somatic.vcf: 74 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P062/P062_all_calls.vcf: 941690 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P062/P062_high_and_low_confidence_somatic.vcf: 149694 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P062/P062_high_confidence_somatic.vcf: 50 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P064/P064_all_calls.vcf: 678115 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P064/P064_high_and_low_confidence_somatic.vcf: 82847 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P064/P064_high_confidence_somatic.vcf: 54 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P065/P065_all_calls.vcf: 610874 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P065/P065_high_and_low_confidence_somatic.vcf: 56278 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P065/P065_high_confidence_somatic.vcf: 82 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P066/P066_all_calls.vcf: 571869 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P066/P066_high_and_low_confidence_somatic.vcf: 57785 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P066/P066_high_confidence_somatic.vcf: 10 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P086/P086_all_calls.vcf: 634300 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P086/P086_high_and_low_confidence_somatic.vcf: 53901 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P086/P086_high_confidence_somatic.vcf: 70 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P103/P103_all_calls.vcf: 560059 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P103/P103_high_and_low_confidence_somatic.vcf: 48686 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P103/P103_high_confidence_somatic.vcf: 77 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P105/P105_all_calls.vcf: 623316 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P105/P105_high_and_low_confidence_somatic.vcf: 46609 variants
/staging/leuven/stg_00096/home/rdewin/WGS/results/gridss/P105/P105_high_confidence_somatic.vcf: 27 variants
