Gene	Category	Paper	Details	URL
NOTCH1	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
FBXW7	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
PHF6	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
PTEN	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
USP7	known_TALL	Huether et al epigenetics	Nat Commun 2014;5:3630. doi: 10.1038/ncomms4630	https://www.ncbi.nlm.nih.gov/pubmed/24710217
DNM2	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
BCL11B	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
WT1	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
JAK3	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
NRAS	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
IL7R	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
PIK3R1	known_TALL	Guitierrez PI3K Blood	Blood 2009;114:647-50	https://www.ncbi.nlm.nih.gov/pubmed/19458356
RPL10	known_TALL	De Keersmaecker Nat Genet	Nat Genet 2013;45:186-90	https://www.ncbi.nlm.nih.gov/pubmed/19458356
EZH2	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
KDM6A	known_TALL	Huether et al epigenetics	Nat Commun 2014;5:3630. doi: 10.1038/ncomms4630	https://www.ncbi.nlm.nih.gov/pubmed/24710217
RUNX1	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
LEF1	known_TALL	Gutierrez et al.	Blood 2010;115:2845-2851	https://www.ncbi.nlm.nih.gov/pubmed/20124220
STAT5B	known_TALL	Bandapalli Haematologica	Haematologica 2014;99:e188-92	https://www.ncbi.nlm.nih.gov/pubmed/24972766
SUZ12	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
ETV6	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
JAK1	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
KRAS	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
MED12	known_TALL	Oshima PNAS 2016	PNAS 2016;113:11306	https://www.ncbi.nlm.nih.gov/pubmed/27655895
USP9X	known_TALL	Oshima PNAS 2016	PNAS 2016;113:11306	https://www.ncbi.nlm.nih.gov/pubmed/27655895
AKT1	known_TALL	Guitierrez PI3K Blood	Blood 2009;114:647-50	https://www.ncbi.nlm.nih.gov/pubmed/19458356
CREBBP	known_TALL	Mullighan et al Nature	Nature 2011;471:235-9	https://www.ncbi.nlm.nih.gov/pubmed/21390130
IKZF1	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
ASXL2	known_TALL	Huether et al epigenetics	Nat Commun 2014;5:3630. doi: 10.1038/ncomms4630	https://www.ncbi.nlm.nih.gov/pubmed/24710217
GATA3	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
SETD2	known_TALL	Huether et al epigenetics	Nat Commun 2014;5:3630. doi: 10.1038/ncomms4630	https://www.ncbi.nlm.nih.gov/pubmed/24710217
BRAF	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
EED	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
FLT3	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
NF1	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
PIK3CA	known_TALL		null	
PTPRC	known_TALL		null	
SH2B3	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
ARID1A	known_TALL		null	
ASXL1	known_TALL		null	
CDKN2A	known_TALL		null	
PTPN11	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
RB1	known_TALL		null	
WHSC1	known_TALL		null	
ATM	known_TALL		null	
EP300	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
GATA2	known_TALL	Zhang et al ETP	Nature 20121;481:157	https://www.ncbi.nlm.nih.gov/pubmed/22237106
JAK2	known_TALL		null	
KIT	known_TALL		null	
MSH6	known_TALL		null	
TP53	known_TALL		null	
TRRAP	known_TALL		null	
UTY	known_TALL		null	
