sample_name	alias	unit_name	platform	datatype
P011	tumor	R058	ILLUMINA	rna
P011	normal	S087	ILLUMINA	dna
P011	tumor	S112	ILLUMINA	dna
P013	tumor	A0012	ILLUMINA	atac
P013	tumor	D0037	ILLUMINA	dna
P013	normal	D0080	ILLUMINA	dna
P013	tumor	R027	ILLUMINA	rna
P016	tumor	A0026	ILLUMINA	atac
P016	tumor	R048	ILLUMINA	rna
P016	normal	S078	ILLUMINA	dna
P016	tumor	S094	ILLUMINA	dna
P017	tumor	R049	ILLUMINA	rna
P017	tumor	S095	ILLUMINA	dna
P017	normal	S176	ILLUMINA	dna
P018	tumor	A0013	ILLUMINA	atac
P018	tumor	R028	ILLUMINA	rna
P018	tumor	S039	ILLUMINA	dna
P018	normal	S081	ILLUMINA	dna
P019	tumor	A0014	ILLUMINA	atac
P019	tumor	R030	ILLUMINA	rna
P019	tumor	S041	ILLUMINA	dna
P019	normal	S156	ILLUMINA	dna
P020	tumor	A0015	ILLUMINA	atac
P020	tumor	R031	ILLUMINA	rna
P020	tumor	S044	ILLUMINA	dna
P020	normal	S158	ILLUMINA	dna
P021	tumor	A0016	ILLUMINA	atac
P021	tumor	R032	ILLUMINA	rna
P021	tumor	S046	ILLUMINA	dna
P022	tumor	A0017	ILLUMINA	atac
P022	normal	a0225	ILLUMINA	dna
P022	tumor	R033	ILLUMINA	rna
P022	tumor	S048	ILLUMINA	dna
P023	tumor	A0018	ILLUMINA	atac
P023	tumor	a0051	ILLUMINA	dna
P023	normal	a0089	ILLUMINA	dna
P023	tumor	R035	ILLUMINA	rna
P024	normal	214000435N	ILLUMINA	dna
P024	tumor	214000435T	ILLUMINA	dna
P024	tumor	A0019	ILLUMINA	atac
P024	tumor	R038	ILLUMINA	rna
P025	tumor	A0020	ILLUMINA	atac
P025	tumor	R040	ILLUMINA	rna
P025	tumor	S056	ILLUMINA	dna
P026	tumor	A0021	ILLUMINA	atac
P026	tumor	R042	ILLUMINA	rna
P026	tumor	S059	ILLUMINA	dna
P026	normal	S090	ILLUMINA	dna
P027	tumor	S062	ILLUMINA	dna
P027	normal	S091	ILLUMINA	dna
P028	normal	214000438N	ILLUMINA	dna
P028	tumor	214000438T	ILLUMINA	dna
P028	tumor	A0022	ILLUMINA	atac
P028	tumor	R044	ILLUMINA	rna
P029	normal	214000425N	ILLUMINA	dna
P029	tumor	214000425T	ILLUMINA	dna
P029	tumor	A0023	ILLUMINA	atac
P029	tumor	R045	ILLUMINA	rna
P030	tumor	A0029	ILLUMINA	atac
P030	tumor	R050	ILLUMINA	rna
P030	tumor	S102	ILLUMINA	dna
P033	tumor	R059	ILLUMINA	rna
P033	tumor	S114	ILLUMINA	dna
P033	normal	S117	ILLUMINA	dna
P034	tumor	S145	ILLUMINA	dna
P034	normal	S151	ILLUMINA	dna
P035	tumor	S146	ILLUMINA	dna
P035	normal	S157	ILLUMINA	dna
P036	tumor	S147	ILLUMINA	dna
P036	normal	S152	ILLUMINA	dna
P037	tumor	A0035	ILLUMINA	atac
P037	tumor	R063	ILLUMINA	rna
P037	tumor	S126	ILLUMINA	dna
P037	normal	S153	ILLUMINA	dna
P038	tumor	S148	ILLUMINA	dna
P038	normal	a0226	ILLUMINA	dna
P039	tumor	S150	ILLUMINA	dna
P040	tumor	A0039	ILLUMINA	atac
P040	tumor	a0194	ILLUMINA	dna
P041	tumor	D0247	ILLUMINA	dna
P041	normal	D0249	ILLUMINA	dna
P041	tumor	R110	ILLUMINA	rna
P056	tumor	A0040	ILLUMINA	atac
P056	tumor	a0195	ILLUMINA	dna
P056	normal	a0227	ILLUMINA	dna
P057	tumor	A0041	ILLUMINA	atac
P057	tumor	a0198	ILLUMINA	dna
P057	normal	a0228	ILLUMINA	dna
P057	tumor	R085	ILLUMINA	rna
P058	normal	214000470N	ILLUMINA	dna
P058	tumor	214000470T	ILLUMINA	dna
P058	tumor	A0042	ILLUMINA	atac
P058	tumor	R088	ILLUMINA	rna
P059	normal	214000436N	ILLUMINA	dna
P059	tumor	214000436T	ILLUMINA	dna
