sample_name	alias	unit_name	platform	datatype
P011	tumor	R058	ILLUMINA	rna
P013	tumor	R027	ILLUMINA	rna
P016	tumor	R048	ILLUMINA	rna
P017	tumor	R049	ILLUMINA	rna
P018	tumor	R028	ILLUMINA	rna
P019	tumor	R030	ILLUMINA	rna
P020	tumor	R031	ILLUMINA	rna
P021	tumor	R032	ILLUMINA	rna
P022	tumor	R033	ILLUMINA	rna
P023	tumor	R035	ILLUMINA	rna
P024	tumor	R038	ILLUMINA	rna
P025	tumor	R040	ILLUMINA	rna
P026	tumor	R042	ILLUMINA	rna
P028	tumor	R044	ILLUMINA	rna
P029	tumor	R045	ILLUMINA	rna
P030	tumor	R050	ILLUMINA	rna
P033	tumor	R059	ILLUMINA	rna
P037	tumor	R063	ILLUMINA	rna
P041	tumor	R110	ILLUMINA	rna
P057	tumor	R085	ILLUMINA	rna
P058	tumor	R088	ILLUMINA	rna
P059	tumor	R089	ILLUMINA	rna
P060	tumor	R090	ILLUMINA	rna
P061	tumor	R092	ILLUMINA	rna
P063	tumor	R094	ILLUMINA	rna
P064	tumor	R095	ILLUMINA	rna
P065	tumor	R096	ILLUMINA	rna
P066	tumor	R097	ILLUMINA	rna
P080	tumor	R098	ILLUMINA	rna
P081	tumor	R100	ILLUMINA	rna
P082	tumor	R102	ILLUMINA	rna
P083	tumor	R103	ILLUMINA	rna
P084	tumor	R104	ILLUMINA	rna
P085	tumor	R106	ILLUMINA	rna
P086	tumor	R107	ILLUMINA	rna
P103	tumor	R109	ILLUMINA	rna
P105	tumor	R111	ILLUMINA	rna
