Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P019_dna_tumor.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/table/P019_dna_tumor_recal_data.table
14:30:09.319 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
14:30:09.565 INFO  BaseRecalibrator - ------------------------------------------------------------
14:30:09.568 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
14:30:09.568 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
14:30:09.568 INFO  BaseRecalibrator - Executing as vsc35407@g28l10 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
14:30:09.568 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
14:30:09.568 INFO  BaseRecalibrator - Start Date/Time: March 31, 2024 at 2:30:09 PM CEST
14:30:09.568 INFO  BaseRecalibrator - ------------------------------------------------------------
14:30:09.569 INFO  BaseRecalibrator - ------------------------------------------------------------
14:30:09.569 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
14:30:09.569 INFO  BaseRecalibrator - Picard Version: 3.1.1
14:30:09.569 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
14:30:09.570 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
14:30:09.570 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
14:30:09.570 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
14:30:09.570 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
14:30:09.570 INFO  BaseRecalibrator - Deflater: IntelDeflater
14:30:09.570 INFO  BaseRecalibrator - Inflater: IntelInflater
14:30:09.571 INFO  BaseRecalibrator - GCS max retries/reopens: 20
14:30:09.571 INFO  BaseRecalibrator - Requester pays: disabled
14:30:09.571 INFO  BaseRecalibrator - Initializing engine
14:30:09.748 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
14:30:09.907 INFO  BaseRecalibrator - Done initializing engine
14:30:09.912 INFO  BaseRecalibrationEngine - The covariates being used here: 
14:30:09.912 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
14:30:09.912 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
14:30:09.912 INFO  BaseRecalibrationEngine - 	ContextCovariate
14:30:09.912 INFO  BaseRecalibrationEngine - 	CycleCovariate
14:30:09.915 INFO  ProgressMeter - Starting traversal
14:30:09.915 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
14:30:19.930 INFO  ProgressMeter -         chr1:1238038              0.2                426000        2553191.5
14:30:29.942 INFO  ProgressMeter -         chr1:2384560              0.3                906000        2714335.6
14:30:39.955 INFO  ProgressMeter -         chr1:3548903              0.5               1381000        2758322.2
14:30:49.974 INFO  ProgressMeter -         chr1:4803395              0.7               1855000        2778471.2
14:30:59.986 INFO  ProgressMeter -         chr1:6035579              0.8               2332000        2794431.9
14:31:09.994 INFO  ProgressMeter -         chr1:7288401              1.0               2802000        2798362.1
14:31:19.998 INFO  ProgressMeter -         chr1:8605039              1.2               3280000        2808139.0
14:31:30.011 INFO  ProgressMeter -         chr1:9908919              1.3               3760000        2816620.1
14:31:40.013 INFO  ProgressMeter -        chr1:11168172              1.5               4237000        2821594.3
14:31:50.015 INFO  ProgressMeter -        chr1:12410302              1.7               4713000        2824975.0
14:32:00.033 INFO  ProgressMeter -        chr1:13748227              1.8               5180000        2822426.9
14:32:10.049 INFO  ProgressMeter -        chr1:15003939              2.0               5657000        2825368.5
14:32:20.059 INFO  ProgressMeter -        chr1:16434406              2.2               6124000        2823334.2
14:32:30.071 INFO  ProgressMeter -        chr1:17770083              2.3               6597000        2824159.0
14:32:40.074 INFO  ProgressMeter -        chr1:19009986              2.5               7074000        2826603.8
14:32:50.086 INFO  ProgressMeter -        chr1:20285754              2.7               7555000        2830100.3
14:33:00.105 INFO  ProgressMeter -        chr1:21598764              2.8               8034000        2832380.5
14:33:10.122 INFO  ProgressMeter -        chr1:22873775              3.0               8514000        2834740.0
14:33:20.140 INFO  ProgressMeter -        chr1:24167876              3.2               8990000        2835589.4
14:33:30.141 INFO  ProgressMeter -        chr1:25495696              3.3               9464000        2835995.3
14:33:40.155 INFO  ProgressMeter -        chr1:26789808              3.5               9948000        2839041.1
14:33:50.170 INFO  ProgressMeter -        chr1:28111106              3.7              10434000        2842341.8
14:34:00.175 INFO  ProgressMeter -        chr1:29440154              3.8              10918000        2844957.9
14:34:10.179 INFO  ProgressMeter -        chr1:30676656              4.0              11397000        2846119.3
14:34:20.199 INFO  ProgressMeter -        chr1:31988476              4.2              11882000        2848444.2
14:34:30.201 INFO  ProgressMeter -        chr1:33285361              4.3              12362000        2849645.6
14:34:40.210 INFO  ProgressMeter -        chr1:34543076              4.5              12841000        2850451.7
14:34:50.219 INFO  ProgressMeter -        chr1:35883353              4.7              13326000        2852474.5
14:35:00.237 INFO  ProgressMeter -        chr1:37144408              4.8              13808000        2853659.0
14:35:10.257 INFO  ProgressMeter -        chr1:38423078              5.0              14291000        2854945.4
14:35:20.265 INFO  ProgressMeter -        chr1:39741535              5.2              14771000        2855679.1
14:35:30.273 INFO  ProgressMeter -        chr1:41044760              5.3              15252000        2856554.2
14:35:40.279 INFO  ProgressMeter -        chr1:42303076              5.5              15729000        2856675.8
14:35:50.289 INFO  ProgressMeter -        chr1:43582747              5.7              16211000        2857621.3
14:36:00.290 INFO  ProgressMeter -        chr1:44858751              5.8              16696000        2859108.1
14:36:10.298 INFO  ProgressMeter -        chr1:46191791              6.0              17182000        2860623.3
14:36:20.308 INFO  ProgressMeter -        chr1:47464489              6.2              17664000        2861393.2
14:36:30.319 INFO  ProgressMeter -        chr1:48731751              6.3              18149000        2862595.7
14:36:40.326 INFO  ProgressMeter -        chr1:50069741              6.5              18641000        2864827.1
14:36:50.327 INFO  ProgressMeter -        chr1:51401550              6.7              19130000        2866547.5
14:37:00.337 INFO  ProgressMeter -        chr1:52749822              6.8              19616000        2867682.5
14:37:10.339 INFO  ProgressMeter -        chr1:54009126              7.0              20099000        2868396.8
14:37:20.347 INFO  ProgressMeter -        chr1:55261098              7.2              20580000        2868745.8
14:37:30.363 INFO  ProgressMeter -        chr1:56558952              7.3              21063000        2869312.3
14:37:40.375 INFO  ProgressMeter -        chr1:57850040              7.5              21545000        2869739.5
14:37:50.391 INFO  ProgressMeter -        chr1:59136450              7.7              22027000        2870123.2
14:38:00.406 INFO  ProgressMeter -        chr1:60449178              7.8              22513000        2871000.7
14:38:10.410 INFO  ProgressMeter -        chr1:61769928              8.0              22989000        2870664.6
14:38:20.419 INFO  ProgressMeter -        chr1:63086598              8.2              23469000        2870802.3
14:38:30.429 INFO  ProgressMeter -        chr1:64405732              8.3              23950000        2871048.6
14:38:40.432 INFO  ProgressMeter -        chr1:65724225              8.5              24433000        2871559.6
14:38:50.443 INFO  ProgressMeter -        chr1:67049548              8.7              24914000        2871776.4
14:39:00.453 INFO  ProgressMeter -        chr1:68338152              8.8              25396000        2872108.8
14:39:10.471 INFO  ProgressMeter -        chr1:69666693              9.0              25882000        2872819.8
14:39:20.475 INFO  ProgressMeter -        chr1:70995650              9.2              26366000        2873365.3
