Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P037/P037_dna_normal.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/P037/P037_dna_normal_recal_data.table
13:28:21.282 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
13:28:21.580 INFO  BaseRecalibrator - ------------------------------------------------------------
13:28:21.583 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
13:28:21.583 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
13:28:21.583 INFO  BaseRecalibrator - Executing as vsc35407@g28l12 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
13:28:21.583 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
13:28:21.583 INFO  BaseRecalibrator - Start Date/Time: June 21, 2024 at 1:28:21 PM CEST
13:28:21.583 INFO  BaseRecalibrator - ------------------------------------------------------------
13:28:21.583 INFO  BaseRecalibrator - ------------------------------------------------------------
13:28:21.584 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
13:28:21.584 INFO  BaseRecalibrator - Picard Version: 3.1.1
13:28:21.584 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
13:28:21.584 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:28:21.585 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:28:21.585 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:28:21.585 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:28:21.585 INFO  BaseRecalibrator - Deflater: IntelDeflater
13:28:21.585 INFO  BaseRecalibrator - Inflater: IntelInflater
13:28:21.585 INFO  BaseRecalibrator - GCS max retries/reopens: 20
13:28:21.585 INFO  BaseRecalibrator - Requester pays: disabled
13:28:21.586 INFO  BaseRecalibrator - Initializing engine
13:28:21.788 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
13:28:21.943 INFO  BaseRecalibrator - Done initializing engine
13:28:21.947 INFO  BaseRecalibrationEngine - The covariates being used here: 
13:28:21.948 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
13:28:21.948 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
13:28:21.948 INFO  BaseRecalibrationEngine - 	ContextCovariate
13:28:21.948 INFO  BaseRecalibrationEngine - 	CycleCovariate
13:28:21.951 INFO  ProgressMeter - Starting traversal
13:28:21.951 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
13:28:31.960 INFO  ProgressMeter -         chr1:2622328              0.2                420000        2519244.2
13:28:41.963 INFO  ProgressMeter -         chr1:5186469              0.3                882000        2644413.4
13:28:51.968 INFO  ProgressMeter -         chr1:7738812              0.5               1342000        2682569.3
13:29:01.967 INFO  ProgressMeter -        chr1:10340923              0.7               1817000        2724410.2
13:29:11.976 INFO  ProgressMeter -        chr1:12930975              0.8               2284000        2739430.3
13:29:21.983 INFO  ProgressMeter -        chr1:15466162              1.0               2754000        2752577.8
13:29:32.002 INFO  ProgressMeter -        chr1:18164712              1.2               3220000        2758030.0
13:29:42.008 INFO  ProgressMeter -        chr1:20719592              1.3               3696000        2770026.4
13:29:52.020 INFO  ProgressMeter -        chr1:23288092              1.5               4171000        2778536.5
13:30:02.028 INFO  ProgressMeter -        chr1:25860794              1.7               4646000        2785483.0
13:30:12.040 INFO  ProgressMeter -        chr1:28486085              1.8               5133000        2797554.7
13:30:22.050 INFO  ProgressMeter -        chr1:31047621              2.0               5611000        2803187.4
13:30:32.062 INFO  ProgressMeter -        chr1:33632062              2.2               6092000        2809315.2
13:30:42.076 INFO  ProgressMeter -        chr1:36242757              2.3               6577000        2816199.8
13:30:52.077 INFO  ProgressMeter -        chr1:38769086              2.5               7059000        2821230.2
13:31:02.092 INFO  ProgressMeter -        chr1:41353023              2.7               7537000        2823886.5
13:31:12.095 INFO  ProgressMeter -        chr1:43910121              2.8               8017000        2827134.7
13:31:22.111 INFO  ProgressMeter -        chr1:46524005              3.0               8504000        2832164.9
13:31:32.113 INFO  ProgressMeter -        chr1:49145197              3.2               8990000        2836528.9
13:31:42.125 INFO  ProgressMeter -        chr1:51837753              3.3               9486000        2843326.3
13:31:52.144 INFO  ProgressMeter -        chr1:54458487              3.5               9971000        2846254.9
13:32:02.144 INFO  ProgressMeter -        chr1:57017337              3.7              10450000        2847502.0
13:32:12.145 INFO  ProgressMeter -        chr1:59564380              3.8              10930000        2848913.7
13:32:22.163 INFO  ProgressMeter -        chr1:62186115              4.0              11408000        2849494.8
13:32:32.178 INFO  ProgressMeter -        chr1:64830954              4.2              11891000        2851262.5
13:32:42.192 INFO  ProgressMeter -        chr1:67423237              4.3              12372000        2852432.9
13:32:52.192 INFO  ProgressMeter -        chr1:70079373              4.5              12855000        2854119.1
13:33:02.208 INFO  ProgressMeter -        chr1:72817554              4.7              13340000        2855950.1
13:33:12.214 INFO  ProgressMeter -        chr1:75546237              4.8              13825000        2857763.0
13:33:22.217 INFO  ProgressMeter -        chr1:78182389              5.0              14307000        2858874.7
13:33:32.231 INFO  ProgressMeter -        chr1:80855233              5.2              14778000        2857676.9
13:33:42.241 INFO  ProgressMeter -        chr1:83569315              5.3              15260000        2858659.3
13:33:52.263 INFO  ProgressMeter -        chr1:86228750              5.5              15741000        2859296.7
13:34:02.273 INFO  ProgressMeter -        chr1:88885005              5.7              16228000        2861055.1
13:34:12.277 INFO  ProgressMeter -        chr1:91500820              5.8              16714000        2862590.8
13:34:22.287 INFO  ProgressMeter -        chr1:94112284              6.0              17201000        2864160.1
13:34:32.301 INFO  ProgressMeter -        chr1:96719598              6.2              17686000        2865289.6
13:34:42.308 INFO  ProgressMeter -        chr1:99362247              6.3              18168000        2865939.1
13:34:52.309 INFO  ProgressMeter -       chr1:101983366              6.5              18651000        2866753.1
13:35:02.327 INFO  ProgressMeter -       chr1:105051240              6.7              19124000        2865913.2
