Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P033/P033_dna_normal.marked.bam --bqsr-recal-file results/recal/P033/P033_dna_normal_recal_data.table -O results/recal/P033/P033_dna_normal_recal.bam --create-output-bam-index false
15:42:43.844 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
15:42:43.932 INFO  ApplyBQSR - ------------------------------------------------------------
15:42:43.935 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
15:42:43.935 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
15:42:43.935 INFO  ApplyBQSR - Executing as vsc35407@i28l15 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
15:42:43.935 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
15:42:43.935 INFO  ApplyBQSR - Start Date/Time: June 21, 2024 at 3:42:43 PM CEST
15:42:43.935 INFO  ApplyBQSR - ------------------------------------------------------------
15:42:43.935 INFO  ApplyBQSR - ------------------------------------------------------------
15:42:43.936 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
15:42:43.936 INFO  ApplyBQSR - Picard Version: 3.1.1
15:42:43.936 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
15:42:43.936 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
15:42:43.936 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
15:42:43.936 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
15:42:43.936 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
15:42:43.936 INFO  ApplyBQSR - Deflater: IntelDeflater
15:42:43.937 INFO  ApplyBQSR - Inflater: IntelInflater
15:42:43.937 INFO  ApplyBQSR - GCS max retries/reopens: 20
15:42:43.937 INFO  ApplyBQSR - Requester pays: disabled
15:42:43.937 INFO  ApplyBQSR - Initializing engine
15:42:44.032 INFO  ApplyBQSR - Done initializing engine
15:42:44.058 INFO  ProgressMeter - Starting traversal
15:42:44.058 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
15:42:54.068 INFO  ProgressMeter -         chr1:3814099              0.2                894000        5359712.2
15:43:04.070 INFO  ProgressMeter -         chr1:7540545              0.3               1839000        5513691.8
15:43:14.074 INFO  ProgressMeter -        chr1:11356496              0.5               2783000        5563218.4
15:43:24.074 INFO  ProgressMeter -        chr1:14953150              0.7               3721000        5579268.3
15:43:34.078 INFO  ProgressMeter -        chr1:18515206              0.8               4657000        5586165.5
15:43:44.079 INFO  ProgressMeter -        chr1:22240864              1.0               5599000        5597134.3
15:43:54.084 INFO  ProgressMeter -        chr1:25937635              1.2               6536000        5600205.6
15:44:04.091 INFO  ProgressMeter -        chr1:29727138              1.3               7478000        5606187.4
15:44:14.101 INFO  ProgressMeter -        chr1:33471899              1.5               8422000        5611985.4
15:44:24.111 INFO  ProgressMeter -        chr1:37117409              1.7               9358000        5611881.8
15:44:34.112 INFO  ProgressMeter -        chr1:40776215              1.8              10284000        5606753.1
15:44:44.114 INFO  ProgressMeter -        chr1:44084310              2.0              11137000        5565902.6
15:44:54.118 INFO  ProgressMeter -        chr1:47633143              2.2              12045000        5556751.6
15:45:04.117 INFO  ProgressMeter -        chr1:51099467              2.3              12935000        5541275.8
15:45:14.122 INFO  ProgressMeter -        chr1:54652793              2.5              13843000        5534875.4
15:45:24.122 INFO  ProgressMeter -        chr1:58203194              2.7              14774000        5538034.8
15:45:34.127 INFO  ProgressMeter -        chr1:61754424              2.8              15687000        5534341.9
15:45:44.129 INFO  ProgressMeter -        chr1:65435981              3.0              16622000        5538482.0
15:45:54.136 INFO  ProgressMeter -        chr1:68926032              3.2              17514000        5528467.3
15:46:04.142 INFO  ProgressMeter -        chr1:72600377              3.3              18422000        5524307.4
15:46:14.151 INFO  ProgressMeter -        chr1:76217128              3.5              19320000        5517582.8
15:46:24.152 INFO  ProgressMeter -        chr1:79655585              3.7              20182000        5501831.0
15:46:34.159 INFO  ProgressMeter -        chr1:83321715              3.8              21087000        5498565.8
15:46:44.165 INFO  ProgressMeter -        chr1:86958075              4.0              22007000        5499298.2
15:46:54.175 INFO  ProgressMeter -        chr1:90448522              4.2              22909000        5495588.1
15:47:04.175 INFO  ProgressMeter -        chr1:94058715              4.3              23823000        5495142.6
15:47:14.185 INFO  ProgressMeter -        chr1:97658345              4.5              24741000        5495415.1
15:47:24.185 INFO  ProgressMeter -       chr1:101248403              4.7              25645000        5492865.7
15:47:34.190 INFO  ProgressMeter -       chr1:105130480              4.8              26572000        5495153.9
15:47:44.200 INFO  ProgressMeter -       chr1:108770505              5.0              27476000        5492618.5
15:47:54.210 INFO  ProgressMeter -       chr1:112000358              5.2              28323000        5479202.1
15:48:04.215 INFO  ProgressMeter -       chr1:115345276              5.3              29179000        5468379.6
15:48:14.220 INFO  ProgressMeter -       chr1:118673952              5.5              30039000        5458956.5
15:48:24.225 INFO  ProgressMeter -       chr1:121999054              5.7              30934000        5456277.2
