Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar GetPileupSummaries -I results/recal/P013/P013_dna_tumor_recal.bam -L resources/whole_genome.intervals -V resources/gnomad_chr.vcf.gz -O results/mutect2/P013/P013_tumor_pileup_summaries.table
13:39:27.698 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
13:39:27.833 INFO  GetPileupSummaries - ------------------------------------------------------------
13:39:27.836 INFO  GetPileupSummaries - The Genome Analysis Toolkit (GATK) v4.5.0.0
13:39:27.836 INFO  GetPileupSummaries - For support and documentation go to https://software.broadinstitute.org/gatk/
13:39:27.837 INFO  GetPileupSummaries - Executing as vsc35407@g28l17 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
13:39:27.837 INFO  GetPileupSummaries - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
13:39:27.837 INFO  GetPileupSummaries - Start Date/Time: June 25, 2024 at 1:39:27 PM CEST
13:39:27.838 INFO  GetPileupSummaries - ------------------------------------------------------------
13:39:27.838 INFO  GetPileupSummaries - ------------------------------------------------------------
13:39:27.839 INFO  GetPileupSummaries - HTSJDK Version: 4.1.0
13:39:27.840 INFO  GetPileupSummaries - Picard Version: 3.1.1
13:39:27.840 INFO  GetPileupSummaries - Built for Spark Version: 3.5.0
13:39:27.840 INFO  GetPileupSummaries - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:39:27.840 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:39:27.840 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:39:27.841 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:39:27.841 INFO  GetPileupSummaries - Deflater: IntelDeflater
13:39:27.841 INFO  GetPileupSummaries - Inflater: IntelInflater
13:39:27.842 INFO  GetPileupSummaries - GCS max retries/reopens: 20
13:39:27.842 INFO  GetPileupSummaries - Requester pays: disabled
13:39:27.843 INFO  GetPileupSummaries - Initializing engine
13:39:28.044 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/gnomad_chr.vcf.gz
13:39:28.154 INFO  IntervalArgumentCollection - Processing 3117292070 bp from intervals
13:39:28.158 INFO  GetPileupSummaries - Done initializing engine
13:39:28.163 INFO  ProgressMeter - Starting traversal
13:39:28.163 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
13:39:38.169 INFO  ProgressMeter -         chr1:2696877              0.2               2613000       15674865.0
13:39:48.167 INFO  ProgressMeter -         chr1:5593871              0.3               5504000       16510349.0
13:39:58.166 INFO  ProgressMeter -         chr1:8637688              0.5               8544000       17086860.9
13:40:08.170 INFO  ProgressMeter -        chr1:11654064              0.7              11559000       17336333.0
13:40:18.169 INFO  ProgressMeter -        chr1:14741200              0.8              14607000       17526296.8
13:40:28.171 INFO  ProgressMeter -        chr1:17648059              1.0              17355000       17352975.5
13:40:38.171 INFO  ProgressMeter -        chr1:20705875              1.2              20412000       17494250.6
13:40:48.171 INFO  ProgressMeter -        chr1:23770942              1.3              23476000       17605239.5
13:40:58.172 INFO  ProgressMeter -        chr1:26906750              1.5              26599000       17730893.6
13:41:08.175 INFO  ProgressMeter -        chr1:30266951              1.7              29958000       17972643.3
13:41:18.177 INFO  ProgressMeter -        chr1:33649172              1.8              33338000       18182049.6
13:41:28.180 INFO  ProgressMeter -        chr1:37097342              2.0              36785000       18390048.0
13:41:38.182 INFO  ProgressMeter -        chr1:40594593              2.2              40281000       18588657.0
13:41:48.183 INFO  ProgressMeter -        chr1:44023028              2.3              43709000       18729752.9
13:41:58.185 INFO  ProgressMeter -        chr1:47429585              2.5              47110000       18841236.6
13:42:08.187 INFO  ProgressMeter -        chr1:50904542              2.7              50584000       18966273.6
13:42:18.187 INFO  ProgressMeter -        chr1:54418295              2.8              54096000       19090123.1
13:42:28.187 INFO  ProgressMeter -        chr1:57883279              3.0              57560000       19184108.8
13:42:38.189 INFO  ProgressMeter -        chr1:61339456              3.2              61016000       19265574.2
13:42:48.191 INFO  ProgressMeter -        chr1:64900456              3.3              64577000       19370485.0
13:42:58.191 INFO  ProgressMeter -        chr1:68443024              3.5              68118000       19459691.1
13:43:08.192 INFO  ProgressMeter -        chr1:72114334              3.7              71786000       19575508.6
13:43:18.191 INFO  ProgressMeter -        chr1:75778261              3.8              75448000       19679691.2
13:43:28.192 INFO  ProgressMeter -        chr1:79397148              4.0              79066000       19764111.8
13:43:38.194 INFO  ProgressMeter -        chr1:83092140              4.2              82756000       19858977.5
13:43:48.196 INFO  ProgressMeter -        chr1:86665545              4.3              86323000       19918164.2
13:43:58.211 INFO  ProgressMeter -        chr1:90133701              4.5              89791000       19951043.2
13:44:08.198 INFO  ProgressMeter -        chr1:93763025              4.7              93418000       20015640.9
13:44:18.200 INFO  ProgressMeter -        chr1:97350561              4.8              97005000       20067439.7
13:44:28.202 INFO  ProgressMeter -       chr1:100949612              5.0             100604000       20118184.6
13:44:38.202 INFO  ProgressMeter -       chr1:104929988              5.2             104249000       20174687.7
13:44:48.202 INFO  ProgressMeter -       chr1:106653893              5.3             105972000       19867328.7
13:44:58.202 INFO  ProgressMeter -       chr1:110218968              5.5             109442000       19896194.1
13:45:08.203 INFO  ProgressMeter -       chr1:112952918              5.7             112175000       19793259.6
13:45:18.205 INFO  ProgressMeter -       chr1:116127368              5.8             115347000       19771455.3
13:45:28.206 INFO  ProgressMeter -       chr1:119609402              6.0             118826000       19801968.1
13:45:38.207 INFO  ProgressMeter -       chr1:126753895              6.2             123313000       19994379.0
