Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P024/P024_dna_tumor.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/P024/P024_dna_tumor_recal_data.table
00:10:15.791 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
00:10:16.074 INFO  BaseRecalibrator - ------------------------------------------------------------
00:10:16.079 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
00:10:16.079 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
00:10:16.079 INFO  BaseRecalibrator - Executing as vsc35407@g28l12 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
00:10:16.080 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
00:10:16.080 INFO  BaseRecalibrator - Start Date/Time: April 2, 2024 at 12:10:15 AM CEST
00:10:16.080 INFO  BaseRecalibrator - ------------------------------------------------------------
00:10:16.080 INFO  BaseRecalibrator - ------------------------------------------------------------
00:10:16.081 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
00:10:16.081 INFO  BaseRecalibrator - Picard Version: 3.1.1
00:10:16.082 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
00:10:16.082 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
00:10:16.082 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
00:10:16.082 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
00:10:16.082 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
00:10:16.082 INFO  BaseRecalibrator - Deflater: IntelDeflater
00:10:16.083 INFO  BaseRecalibrator - Inflater: IntelInflater
00:10:16.083 INFO  BaseRecalibrator - GCS max retries/reopens: 20
00:10:16.083 INFO  BaseRecalibrator - Requester pays: disabled
00:10:16.083 INFO  BaseRecalibrator - Initializing engine
00:10:16.319 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
00:10:16.501 INFO  BaseRecalibrator - Done initializing engine
00:10:16.506 INFO  BaseRecalibrationEngine - The covariates being used here: 
00:10:16.506 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
00:10:16.506 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
00:10:16.506 INFO  BaseRecalibrationEngine - 	ContextCovariate
00:10:16.506 INFO  BaseRecalibrationEngine - 	CycleCovariate
00:10:16.509 INFO  ProgressMeter - Starting traversal
00:10:16.509 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
00:10:26.530 INFO  ProgressMeter -          chr1:778602              0.2                441000        2641509.4
00:10:36.544 INFO  ProgressMeter -         chr1:1577732              0.3                941000        2818068.4
00:10:46.549 INFO  ProgressMeter -         chr1:2456741              0.5               1451000        2898232.3
00:10:56.564 INFO  ProgressMeter -         chr1:3263752              0.7               1953000        2925550.5
00:11:06.578 INFO  ProgressMeter -         chr1:4002649              0.8               2455000        2941940.1
00:11:16.589 INFO  ProgressMeter -         chr1:4743309              1.0               2961000        2957057.3
00:11:26.608 INFO  ProgressMeter -         chr1:5492139              1.2               3467000        2967559.7
00:11:36.623 INFO  ProgressMeter -         chr1:6271850              1.3               3973000        2975547.0
00:11:46.636 INFO  ProgressMeter -         chr1:7005523              1.5               4482000        2983822.6
00:11:56.642 INFO  ProgressMeter -         chr1:7734321              1.7               4978000        2982862.6
00:12:06.657 INFO  ProgressMeter -         chr1:8449682              1.8               5493000        2992156.0
00:12:16.671 INFO  ProgressMeter -         chr1:9199256              2.0               6000000        2995955.5
00:12:26.685 INFO  ProgressMeter -         chr1:9950695              2.2               6514000        3002396.8
00:12:36.691 INFO  ProgressMeter -        chr1:10710857              2.3               7021000        3005093.4
00:12:46.707 INFO  ProgressMeter -        chr1:11477277              2.5               7531000        3008428.9
00:12:56.707 INFO  ProgressMeter -        chr1:12225190              2.7               8043000        3012397.2
00:13:06.725 INFO  ProgressMeter -        chr1:13017720              2.8               8522000        3003947.9
00:13:16.739 INFO  ProgressMeter -        chr1:13735131              3.0               9031000        3006491.7
00:13:26.753 INFO  ProgressMeter -        chr1:14475274              3.2               9540000        3008767.7
00:13:36.753 INFO  ProgressMeter -        chr1:15218709              3.3              10046000        3010127.6
00:13:46.771 INFO  ProgressMeter -        chr1:15956749              3.5              10554000        3011671.2
00:13:56.776 INFO  ProgressMeter -        chr1:16848942              3.7              11035000        3005897.4
00:14:06.788 INFO  ProgressMeter -        chr1:17626358              3.8              11542000        3007321.6
00:14:16.804 INFO  ProgressMeter -        chr1:18392484              4.0              12051000        3009063.9
00:14:26.807 INFO  ProgressMeter -        chr1:19144836              4.2              12559000        3010571.4
00:14:36.813 INFO  ProgressMeter -        chr1:19882340              4.3              13068000        3012170.4
00:14:46.821 INFO  ProgressMeter -        chr1:20641991              4.5              13579000        3014072.6
00:14:56.830 INFO  ProgressMeter -        chr1:21379383              4.7              14092000        3016256.4
00:15:06.830 INFO  ProgressMeter -        chr1:22136626              4.8              14599000        3017143.1
00:15:16.847 INFO  ProgressMeter -        chr1:22899763              5.0              15114000        3019398.1
00:15:26.860 INFO  ProgressMeter -        chr1:23633499              5.2              15623000        3020386.6
00:15:36.873 INFO  ProgressMeter -        chr1:24370139              5.3              16135000        3021875.1
00:15:46.891 INFO  ProgressMeter -        chr1:25078453              5.5              16644000        3022682.8
00:15:56.898 INFO  ProgressMeter -        chr1:25856733              5.7              17155000        3023902.1
00:16:06.904 INFO  ProgressMeter -        chr1:26608752              5.8              17668000        3025385.6
00:16:16.920 INFO  ProgressMeter -        chr1:27389619              6.0              18187000        3027710.0
00:16:26.933 INFO  ProgressMeter -        chr1:28133232              6.2              18703000        3029447.3
00:16:36.952 INFO  ProgressMeter -        chr1:28898886              6.3              19221000        3031360.8
00:16:46.955 INFO  ProgressMeter -        chr1:29647358              6.5              19729000        3031771.4
00:16:56.969 INFO  ProgressMeter -        chr1:30394132              6.7              20237000        3032070.7
