Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P059/P059_dna_normal.marked.bam --bqsr-recal-file results/recal/P059/P059_dna_normal_recal_data.table -O results/recal/P059/P059_dna_normal_recal.bam --create-output-bam-index false
00:42:23.476 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
00:42:23.701 INFO  ApplyBQSR - ------------------------------------------------------------
00:42:23.704 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
00:42:23.704 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
00:42:23.704 INFO  ApplyBQSR - Executing as vsc35407@i28l17 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
00:42:23.704 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
00:42:23.704 INFO  ApplyBQSR - Start Date/Time: June 23, 2024 at 12:42:23 AM CEST
00:42:23.704 INFO  ApplyBQSR - ------------------------------------------------------------
00:42:23.704 INFO  ApplyBQSR - ------------------------------------------------------------
00:42:23.705 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
00:42:23.705 INFO  ApplyBQSR - Picard Version: 3.1.1
00:42:23.705 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
00:42:23.705 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
00:42:23.705 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
00:42:23.706 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
00:42:23.706 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
00:42:23.706 INFO  ApplyBQSR - Deflater: IntelDeflater
00:42:23.706 INFO  ApplyBQSR - Inflater: IntelInflater
00:42:23.706 INFO  ApplyBQSR - GCS max retries/reopens: 20
00:42:23.706 INFO  ApplyBQSR - Requester pays: disabled
00:42:23.706 INFO  ApplyBQSR - Initializing engine
00:42:23.885 INFO  ApplyBQSR - Done initializing engine
00:42:23.943 INFO  ProgressMeter - Starting traversal
00:42:23.943 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
00:42:33.951 INFO  ProgressMeter -         chr1:1515897              0.2                588000        3525884.5
00:42:43.960 INFO  ProgressMeter -         chr1:3095458              0.3               1220000        3657074.3
00:42:53.964 INFO  ProgressMeter -         chr1:4654381              0.5               1861000        3719644.2
00:43:03.975 INFO  ProgressMeter -         chr1:6346961              0.7               2546000        3816042.6
00:43:13.988 INFO  ProgressMeter -         chr1:7976389              0.8               3225000        3866597.4
00:43:23.995 INFO  ProgressMeter -         chr1:9474323              1.0               3846000        3842669.7
00:43:34.007 INFO  ProgressMeter -        chr1:11002889              1.2               4475000        3832265.2
00:43:44.009 INFO  ProgressMeter -        chr1:12575915              1.3               5156000        3863812.4
00:43:54.022 INFO  ProgressMeter -        chr1:14131437              1.5               5830000        3883258.0
00:44:04.029 INFO  ProgressMeter -        chr1:15628472              1.7               6450000        3866674.7
00:44:14.036 INFO  ProgressMeter -        chr1:16770227              1.8               7114000        3877085.7
00:44:24.047 INFO  ProgressMeter -        chr1:18465753              2.0               7798000        3895623.8
00:44:34.056 INFO  ProgressMeter -        chr1:20103585              2.2               8482000        3911369.3
00:44:44.060 INFO  ProgressMeter -        chr1:21707204              2.3               9165000        3924633.3
00:44:54.065 INFO  ProgressMeter -        chr1:23355918              2.5               9849000        3936398.4
00:45:04.071 INFO  ProgressMeter -        chr1:24925587              2.7              10548000        3952338.1
00:45:14.077 INFO  ProgressMeter -        chr1:26578317              2.8              11232000        3961136.3
00:45:24.090 INFO  ProgressMeter -        chr1:28225624              3.0              11916000        3968780.9
00:45:34.092 INFO  ProgressMeter -        chr1:29847261              3.2              12599000        3975513.9
00:45:44.093 INFO  ProgressMeter -        chr1:31475116              3.3              13283000        3981913.6
00:45:54.102 INFO  ProgressMeter -        chr1:33111822              3.5              13966000        3987266.8
00:46:04.109 INFO  ProgressMeter -        chr1:34689655              3.7              14646000        3991370.1
00:46:14.114 INFO  ProgressMeter -        chr1:36262824              3.8              15331000        3996420.1
00:46:24.128 INFO  ProgressMeter -        chr1:37897512              4.0              16015000        4000666.2
00:46:34.129 INFO  ProgressMeter -        chr1:39481505              4.2              16699000        4004780.4
00:46:44.141 INFO  ProgressMeter -        chr1:41046999              4.3              17384000        4008639.6
00:46:54.148 INFO  ProgressMeter -        chr1:42592902              4.5              18069000        4012301.8
00:47:04.158 INFO  ProgressMeter -        chr1:44185166              4.7              18754000        4015630.9
00:47:14.163 INFO  ProgressMeter -        chr1:45755521              4.8              19439000        4018827.2
00:47:24.172 INFO  ProgressMeter -        chr1:47311845              5.0              20124000        4021743.5
00:47:34.182 INFO  ProgressMeter -        chr1:48867241              5.2              20810000        4024639.1
00:47:44.184 INFO  ProgressMeter -        chr1:50362688              5.3              21496000        4027479.4
00:47:54.190 INFO  ProgressMeter -        chr1:51846398              5.5              22182000        4030074.5
00:48:04.194 INFO  ProgressMeter -        chr1:53437470              5.7              22867000        4032376.1
