Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P013test_dna_normal.sorted.bam -R /staging/leuven/stg_00096/references/chm13_v2.0_maskedY.rCRS/fasta/chm13v2.0_maskedY_rCRS.fa --known-sites /staging/leuven/stg_00096/references/chm13_v2.0_maskedY.rCRS/annotation/chm13v2.0_dbSNPv155_common.vcf.gz -O results/recal/P013test_dna_normal_recal_data.table
20:46:26.270 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
20:46:26.621 INFO  BaseRecalibrator - ------------------------------------------------------------
20:46:26.624 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
20:46:26.624 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
20:46:26.624 INFO  BaseRecalibrator - Executing as vsc35407@g28l20 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
20:46:26.624 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
20:46:26.625 INFO  BaseRecalibrator - Start Date/Time: March 24, 2024 at 8:46:26 PM CET
20:46:26.625 INFO  BaseRecalibrator - ------------------------------------------------------------
20:46:26.625 INFO  BaseRecalibrator - ------------------------------------------------------------
20:46:26.627 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
20:46:26.627 INFO  BaseRecalibrator - Picard Version: 3.1.1
20:46:26.627 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
20:46:26.627 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
20:46:26.628 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
20:46:26.628 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
20:46:26.629 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
20:46:26.629 INFO  BaseRecalibrator - Deflater: IntelDeflater
20:46:26.629 INFO  BaseRecalibrator - Inflater: IntelInflater
20:46:26.630 INFO  BaseRecalibrator - GCS max retries/reopens: 20
20:46:26.630 INFO  BaseRecalibrator - Requester pays: disabled
20:46:26.631 INFO  BaseRecalibrator - Initializing engine
20:46:26.955 INFO  FeatureManager - Using codec VCFCodec to read file file:///staging/leuven/stg_00096/references/chm13_v2.0_maskedY.rCRS/annotation/chm13v2.0_dbSNPv155_common.vcf.gz
20:46:27.157 INFO  BaseRecalibrator - Done initializing engine
20:46:27.166 INFO  BaseRecalibrationEngine - The covariates being used here: 
20:46:27.166 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
20:46:27.167 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
20:46:27.167 INFO  BaseRecalibrationEngine - 	ContextCovariate
20:46:27.167 INFO  BaseRecalibrationEngine - 	CycleCovariate
20:46:27.170 INFO  ProgressMeter - Starting traversal
20:46:27.171 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
20:46:37.248 INFO  ProgressMeter -        chr1:12395161              0.2                126000         750670.2
20:46:47.315 INFO  ProgressMeter -        chr1:20197661              0.3                205000         610634.0
20:46:57.353 INFO  ProgressMeter -        chr1:26776763              0.5                273000         542725.6
20:47:07.365 INFO  ProgressMeter -        chr1:35221583              0.7                360000         537407.0
20:47:17.365 INFO  ProgressMeter -        chr1:43042424              0.8                441000         527165.1
20:47:27.431 INFO  ProgressMeter -        chr1:53317309              1.0                548000         545680.9
20:47:37.491 INFO  ProgressMeter -        chr1:61719787              1.2                633000         540117.8
20:47:47.540 INFO  ProgressMeter -        chr1:69625446              1.3                713000         532294.8
20:47:57.902 INFO  ProgressMeter -        chr1:79439364              1.5                804000         531687.4
20:48:07.901 INFO  ProgressMeter -        chr1:88807120              1.7                893000         531917.0
20:48:17.941 INFO  ProgressMeter -        chr1:98204417              1.8                987000         534626.1
20:48:27.975 INFO  ProgressMeter -       chr1:107089345              2.0               1067000         529953.7
20:48:38.086 INFO  ProgressMeter -       chr1:115208391              2.2               1149000         526657.6
20:48:48.590 INFO  ProgressMeter -       chr1:142754749              2.4               1249000         529918.4
20:48:58.591 INFO  ProgressMeter -       chr1:151838013              2.5               1322000         523847.9
20:49:08.617 INFO  ProgressMeter -       chr1:159354948              2.7               1401000         520669.4
20:49:18.773 INFO  ProgressMeter -       chr1:167724633              2.9               1485000         519224.7
20:49:28.805 INFO  ProgressMeter -       chr1:176631618              3.0               1576000         520607.4
20:49:38.980 INFO  ProgressMeter -       chr1:185493968              3.2               1666000         521146.1
20:49:49.001 INFO  ProgressMeter -       chr1:192981154              3.4               1735000         515783.2
20:49:59.032 INFO  ProgressMeter -       chr1:200847297              3.5               1811000         512885.9
20:50:09.122 INFO  ProgressMeter -       chr1:209778415              3.7               1904000         514708.2
20:50:19.217 INFO  ProgressMeter -       chr1:217202302              3.9               1976000         510933.2
20:50:29.242 INFO  ProgressMeter -       chr1:225476948              4.0               2059000         510348.2
20:50:39.247 INFO  ProgressMeter -       chr1:233887098              4.2               2142000         509846.2
20:50:49.294 INFO  ProgressMeter -       chr1:238997697              4.4               2191000         501522.2
20:50:59.301 INFO  ProgressMeter -       chr1:246143665              4.5               2258000         497850.3
20:51:09.422 INFO  ProgressMeter -         chr2:3500079              4.7               2313000         491693.5
20:51:19.572 INFO  ProgressMeter -        chr2:10630772              4.9               2384000         489192.9
20:51:29.694 INFO  ProgressMeter -        chr2:16925031              5.0               2447000         485320.1
20:51:39.755 INFO  ProgressMeter -        chr2:25138978              5.2               2528000         485248.7
20:51:50.029 INFO  ProgressMeter -        chr2:33999997              5.4               2620000         486902.9
20:52:00.105 INFO  ProgressMeter -        chr2:38609219              5.5               2664000         480096.6
20:52:10.133 INFO  ProgressMeter -        chr2:46872872              5.7               2748000         480754.4
20:52:20.251 INFO  ProgressMeter -        chr2:54303931              5.9               2820000         479212.9
20:52:30.265 INFO  ProgressMeter -        chr2:62980261              6.1               2907000         480372.8
20:52:40.277 INFO  ProgressMeter -        chr2:70351544              6.2               2982000         479543.3
20:52:50.427 INFO  ProgressMeter -        chr2:78165723              6.4               3060000         479053.2
20:53:00.494 INFO  ProgressMeter -        chr2:85029005              6.6               3122000         476253.4
20:53:10.630 INFO  ProgressMeter -        chr2:96433808              6.7               3194000         474992.5
20:53:20.806 INFO  ProgressMeter -       chr2:106558138              6.9               3294000         477814.9
20:53:30.968 INFO  ProgressMeter -       chr2:114406237              7.1               3368000         476833.2
20:53:41.081 INFO  ProgressMeter -       chr2:123731773              7.2               3458000         478164.8
20:53:51.167 INFO  ProgressMeter -       chr2:132128534              7.4               3538000         478112.4
