Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar GetPileupSummaries -I results/recal/P028/P028_dna_normal_recal.bam -L resources/whole_genome.intervals -V resources/gnomad_chr.vcf.gz -O results/mutect2/P028/P028_normal_pileup_summaries.table
11:26:58.379 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
11:26:58.990 INFO  GetPileupSummaries - ------------------------------------------------------------
11:26:58.992 INFO  GetPileupSummaries - The Genome Analysis Toolkit (GATK) v4.5.0.0
11:26:58.992 INFO  GetPileupSummaries - For support and documentation go to https://software.broadinstitute.org/gatk/
11:26:58.993 INFO  GetPileupSummaries - Executing as vsc35407@g28l25 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
11:26:58.993 INFO  GetPileupSummaries - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
11:26:58.993 INFO  GetPileupSummaries - Start Date/Time: June 26, 2024 at 11:26:58 AM CEST
11:26:58.993 INFO  GetPileupSummaries - ------------------------------------------------------------
11:26:58.993 INFO  GetPileupSummaries - ------------------------------------------------------------
11:26:58.994 INFO  GetPileupSummaries - HTSJDK Version: 4.1.0
11:26:58.994 INFO  GetPileupSummaries - Picard Version: 3.1.1
11:26:58.994 INFO  GetPileupSummaries - Built for Spark Version: 3.5.0
11:26:58.995 INFO  GetPileupSummaries - HTSJDK Defaults.COMPRESSION_LEVEL : 2
11:26:58.995 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
11:26:58.995 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
11:26:58.995 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
11:26:58.995 INFO  GetPileupSummaries - Deflater: IntelDeflater
11:26:58.995 INFO  GetPileupSummaries - Inflater: IntelInflater
11:26:58.995 INFO  GetPileupSummaries - GCS max retries/reopens: 20
11:26:58.996 INFO  GetPileupSummaries - Requester pays: disabled
11:26:58.996 INFO  GetPileupSummaries - Initializing engine
11:26:59.190 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/gnomad_chr.vcf.gz
11:26:59.470 INFO  IntervalArgumentCollection - Processing 3117292070 bp from intervals
11:26:59.474 INFO  GetPileupSummaries - Done initializing engine
11:26:59.480 INFO  ProgressMeter - Starting traversal
11:26:59.480 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
11:27:09.485 INFO  ProgressMeter -         chr1:3038661              0.2               2971000       17824217.6
11:27:19.484 INFO  ProgressMeter -         chr1:6240475              0.3               6170000       18507223.9
11:27:29.484 INFO  ProgressMeter -         chr1:9358012              0.5               9285000       18567524.3
11:27:39.487 INFO  ProgressMeter -        chr1:12526152              0.7              12449000       18670699.4
11:27:49.488 INFO  ProgressMeter -        chr1:15628728              0.8              15519000       18619820.8
11:27:59.490 INFO  ProgressMeter -        chr1:18821460              1.0              18548000       18545218.2
11:28:09.490 INFO  ProgressMeter -        chr1:21915637              1.2              21640000       18546186.9
11:28:19.490 INFO  ProgressMeter -        chr1:25015448              1.3              24739000       18551931.0
11:28:29.492 INFO  ProgressMeter -        chr1:28194689              1.5              27910000       18604392.8
11:28:39.493 INFO  ProgressMeter -        chr1:31299920              1.7              31015000       18606767.2
11:28:49.493 INFO  ProgressMeter -        chr1:34359298              1.8              34074000       18583790.9
11:28:59.494 INFO  ProgressMeter -        chr1:37393468              2.0              37107000       18551490.3
11:29:09.495 INFO  ProgressMeter -        chr1:40419274              2.2              40132000       18520467.0
11:29:19.496 INFO  ProgressMeter -        chr1:43379367              2.3              43092000       18466021.5
11:29:29.496 INFO  ProgressMeter -        chr1:46402469              2.5              46115000       18444155.6
11:29:39.495 INFO  ProgressMeter -        chr1:49282200              2.7              48994000       18371027.7
11:29:49.496 INFO  ProgressMeter -        chr1:52084953              2.8              51796000       18279220.8
11:29:59.498 INFO  ProgressMeter -        chr1:55112808              3.0              54822000       18272172.8
11:30:09.499 INFO  ProgressMeter -        chr1:57896488              3.2              57605000       18189233.7
11:30:19.501 INFO  ProgressMeter -        chr1:60660488              3.3              60369000       18108889.1
11:30:29.503 INFO  ProgressMeter -        chr1:63473807              3.5              63182000       18050109.0
11:30:39.504 INFO  ProgressMeter -        chr1:66235031              3.7              65943000       17982492.8
11:30:49.505 INFO  ProgressMeter -        chr1:68969668              3.8              68677000       17913792.0
11:30:59.507 INFO  ProgressMeter -        chr1:71666683              4.0              71373000       17841242.9
11:31:09.508 INFO  ProgressMeter -        chr1:74338562              4.2              74044000       17768569.9
11:31:19.509 INFO  ProgressMeter -        chr1:77059357              4.3              76763000       17712562.8
11:31:29.511 INFO  ProgressMeter -        chr1:79758219              4.5              79461000       17655972.8
11:31:39.511 INFO  ProgressMeter -        chr1:82463093              4.7              82165000       17604836.6
11:31:49.511 INFO  ProgressMeter -        chr1:85186856              4.8              84887000       17560950.4
11:31:59.514 INFO  ProgressMeter -        chr1:87926731              5.0              87626000       17523214.0
11:32:09.515 INFO  ProgressMeter -        chr1:90628512              5.2              90327000       17480671.5
11:32:19.518 INFO  ProgressMeter -        chr1:93418722              5.3              93115000       17457044.0
11:32:29.518 INFO  ProgressMeter -        chr1:96157722              5.5              95854000       17426046.2
11:32:39.520 INFO  ProgressMeter -        chr1:98829722              5.7              98526000       17384895.9
11:32:49.521 INFO  ProgressMeter -       chr1:101516955              5.8             101213000       17348817.3
11:32:59.521 INFO  ProgressMeter -       chr1:104485779              6.0             103860000       17308028.8
11:33:09.523 INFO  ProgressMeter -       chr1:107167464              6.2             106541000       17274911.3
11:33:19.525 INFO  ProgressMeter -       chr1:110070939              6.3             109380000       17268481.4
11:33:29.526 INFO  ProgressMeter -       chr1:112945254              6.5             112254000       17267809.4
11:33:39.528 INFO  ProgressMeter -       chr1:115732001              6.7             115040000       17253972.7
11:33:49.531 INFO  ProgressMeter -       chr1:118508059              6.8             117815000       17239117.2
11:33:59.536 INFO  ProgressMeter -       chr1:121643658              7.0             120858000       17263167.9
11:34:09.536 INFO  ProgressMeter -       chr1:127116652              7.2             124352000       17349182.4
11:34:19.537 INFO  ProgressMeter -       chr1:134929799              7.3             128680000       17545039.7
11:34:29.545 INFO  ProgressMeter -       chr1:144357130              7.5             134068000       17873151.7
11:34:39.545 INFO  ProgressMeter -       chr1:147799533              7.7             137182000       17890776.3
