Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar GetPileupSummaries -I results/recal/P024/P024_dna_normal_recal.bam -L resources/whole_genome.intervals -V resources/gnomad_chr.vcf.gz -O results/mutect2/P024/P024_normal_pileup_summaries.table
11:20:39.117 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
11:20:40.048 INFO  GetPileupSummaries - ------------------------------------------------------------
11:20:40.050 INFO  GetPileupSummaries - The Genome Analysis Toolkit (GATK) v4.5.0.0
11:20:40.050 INFO  GetPileupSummaries - For support and documentation go to https://software.broadinstitute.org/gatk/
11:20:40.051 INFO  GetPileupSummaries - Executing as vsc35407@i28l15 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
11:20:40.051 INFO  GetPileupSummaries - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
11:20:40.052 INFO  GetPileupSummaries - Start Date/Time: June 26, 2024 at 11:20:38 AM CEST
11:20:40.052 INFO  GetPileupSummaries - ------------------------------------------------------------
11:20:40.052 INFO  GetPileupSummaries - ------------------------------------------------------------
11:20:40.054 INFO  GetPileupSummaries - HTSJDK Version: 4.1.0
11:20:40.054 INFO  GetPileupSummaries - Picard Version: 3.1.1
11:20:40.054 INFO  GetPileupSummaries - Built for Spark Version: 3.5.0
11:20:40.054 INFO  GetPileupSummaries - HTSJDK Defaults.COMPRESSION_LEVEL : 2
11:20:40.054 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
11:20:40.054 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
11:20:40.055 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
11:20:40.055 INFO  GetPileupSummaries - Deflater: IntelDeflater
11:20:40.055 INFO  GetPileupSummaries - Inflater: IntelInflater
11:20:40.055 INFO  GetPileupSummaries - GCS max retries/reopens: 20
11:20:40.055 INFO  GetPileupSummaries - Requester pays: disabled
11:20:40.056 INFO  GetPileupSummaries - Initializing engine
11:20:40.270 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/gnomad_chr.vcf.gz
11:20:40.666 INFO  IntervalArgumentCollection - Processing 3117292070 bp from intervals
11:20:40.671 INFO  GetPileupSummaries - Done initializing engine
11:20:40.675 INFO  ProgressMeter - Starting traversal
11:20:40.677 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
11:20:50.680 INFO  ProgressMeter -         chr1:1108437              0.2               1075000        6449355.1
11:21:00.690 INFO  ProgressMeter -         chr1:2595223              0.3               2548000        7639798.1
11:21:10.707 INFO  ProgressMeter -         chr1:3975907              0.5               3925000        7842157.8
11:21:20.711 INFO  ProgressMeter -         chr1:5287466              0.7               5236000        7847329.8
11:21:30.714 INFO  ProgressMeter -         chr1:6763903              0.8               6710000        8046206.7
11:21:40.717 INFO  ProgressMeter -         chr1:8066923              1.0               8012000        8006928.9
11:21:50.720 INFO  ProgressMeter -         chr1:9342103              1.2               9287000        7955626.0
11:22:00.720 INFO  ProgressMeter -        chr1:10682794              1.3              10626000        7965318.2
11:22:10.749 INFO  ProgressMeter -        chr1:12235794              1.5              12179000        8113023.2
11:22:20.764 INFO  ProgressMeter -        chr1:13615452              1.7              13525000        8108027.1
11:22:30.843 INFO  ProgressMeter -        chr1:14853452              1.8              14763000        8040411.7
11:22:40.852 INFO  ProgressMeter -        chr1:16412236              2.0              16213000        8094695.2
11:22:50.854 INFO  ProgressMeter -        chr1:17578855              2.2              17364000        8003257.1
11:23:00.976 INFO  ProgressMeter -        chr1:18662855              2.3              18448000        7889436.1
11:23:11.040 INFO  ProgressMeter -        chr1:20030599              2.5              19814000        7906518.9
11:23:21.041 INFO  ProgressMeter -        chr1:21544169              2.7              21327000        7979471.7
11:23:31.045 INFO  ProgressMeter -        chr1:22960250              2.8              22743000        8009602.7
11:23:41.045 INFO  ProgressMeter -        chr1:24411957              3.0              24194000        8048212.5
11:23:51.107 INFO  ProgressMeter -        chr1:25927673              3.2              25701000        8097778.7
11:24:01.115 INFO  ProgressMeter -        chr1:27254989              3.3              27028000        8090681.4
11:24:11.116 INFO  ProgressMeter -        chr1:28807989              3.5              28581000        8148964.8
11:24:21.120 INFO  ProgressMeter -        chr1:30258416              3.7              30031000        8173813.6
11:24:31.128 INFO  ProgressMeter -        chr1:31401562              3.8              31174000        8116432.6
11:24:41.128 INFO  ProgressMeter -        chr1:32621871              4.0              32394000        8083310.1
11:24:51.131 INFO  ProgressMeter -        chr1:33611163              4.2              33383000        7997396.7
11:25:01.134 INFO  ProgressMeter -        chr1:34441163              4.3              34213000        7881454.5
11:25:11.137 INFO  ProgressMeter -        chr1:35113337              4.5              34885000        7739037.2
11:25:21.145 INFO  ProgressMeter -        chr1:35835729              4.7              35607000        7617366.7
11:25:31.252 INFO  ProgressMeter -        chr1:36604016              4.8              36375000        7510969.6
11:25:41.278 INFO  ProgressMeter -        chr1:37472280              5.0              37243000        7433707.8
11:25:51.293 INFO  ProgressMeter -        chr1:38313280              5.2              38084000        7356502.4
11:26:01.422 INFO  ProgressMeter -        chr1:39003280              5.3              38774000        7253238.6
11:26:11.511 INFO  ProgressMeter -        chr1:39963166              5.5              39733000        7205970.4
11:26:21.545 INFO  ProgressMeter -        chr1:40980273              5.7              40750000        7172885.6
11:26:31.594 INFO  ProgressMeter -        chr1:42007273              5.8              41777000        7143056.6
11:26:41.600 INFO  ProgressMeter -        chr1:43216273              6.0              42986000        7146011.8
11:26:51.601 INFO  ProgressMeter -        chr1:44406273              6.2              44176000        7145830.4
11:27:01.614 INFO  ProgressMeter -        chr1:45558379              6.3              45328000        7139448.3
11:27:11.614 INFO  ProgressMeter -        chr1:46724379              6.5              46494000        7135778.9
11:27:21.644 INFO  ProgressMeter -        chr1:47853342              6.7              47622000        7126090.5
11:27:31.646 INFO  ProgressMeter -        chr1:48897409              6.8              48666000        7105096.0
11:27:41.648 INFO  ProgressMeter -        chr1:50019409              7.0              49788000        7096165.8
11:27:51.654 INFO  ProgressMeter -        chr1:51247821              7.2              51016000        7102374.4
11:28:01.665 INFO  ProgressMeter -        chr1:52296133              7.3              52064000        7083762.3
11:28:11.665 INFO  ProgressMeter -        chr1:53562033              7.5              53329000        7094956.0
11:28:21.665 INFO  ProgressMeter -        chr1:54866699              7.7              54633000        7110770.8
11:28:31.678 INFO  ProgressMeter -        chr1:56139986              7.9              55906000        7121783.4
11:28:41.677 INFO  ProgressMeter -        chr1:57439986              8.0              57206000        7135883.6
11:28:51.688 INFO  ProgressMeter -        chr1:58571300              8.2              58337000        7128612.5
11:29:01.702 INFO  ProgressMeter -        chr1:59743300              8.4              59509000        7126485.0
11:29:11.702 INFO  ProgressMeter -        chr1:60803300              8.5              60569000        7111472.0
11:29:21.703 INFO  ProgressMeter -        chr1:62000300              8.7              61766000        7112812.0
11:29:31.714 INFO  ProgressMeter -        chr1:63188630              8.9              62954000        7112950.7
11:29:41.721 INFO  ProgressMeter -        chr1:64234630              9.0              64000000        7097389.5
11:29:51.722 INFO  ProgressMeter -        chr1:65311630              9.2              65077000        7085846.0
11:30:01.723 INFO  ProgressMeter -        chr1:66328971              9.4              66094000        7068297.4
11:30:11.759 INFO  ProgressMeter -        chr1:67232580              9.5              66997000        7038991.1
11:30:21.759 INFO  ProgressMeter -        chr1:68339347              9.7              68103000        7032031.7
11:30:31.758 INFO  ProgressMeter -        chr1:69441595              9.9              69205000        7024925.5
11:30:41.762 INFO  ProgressMeter -        chr1:70689472             10.0              70452000        7032494.6
