Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar GetPileupSummaries -I results/recal/P026/P026_dna_normal_recal.bam -L resources/whole_genome.intervals -V resources/gnomad_chr.vcf.gz -O results/mutect2/P026/P026_normal_pileup_summaries.table
13:39:55.603 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
13:39:55.729 INFO  GetPileupSummaries - ------------------------------------------------------------
13:39:55.731 INFO  GetPileupSummaries - The Genome Analysis Toolkit (GATK) v4.5.0.0
13:39:55.732 INFO  GetPileupSummaries - For support and documentation go to https://software.broadinstitute.org/gatk/
13:39:55.732 INFO  GetPileupSummaries - Executing as vsc35407@i28l17 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
13:39:55.733 INFO  GetPileupSummaries - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
13:39:55.733 INFO  GetPileupSummaries - Start Date/Time: June 25, 2024 at 1:39:55 PM CEST
13:39:55.733 INFO  GetPileupSummaries - ------------------------------------------------------------
13:39:55.733 INFO  GetPileupSummaries - ------------------------------------------------------------
13:39:55.734 INFO  GetPileupSummaries - HTSJDK Version: 4.1.0
13:39:55.734 INFO  GetPileupSummaries - Picard Version: 3.1.1
13:39:55.734 INFO  GetPileupSummaries - Built for Spark Version: 3.5.0
13:39:55.734 INFO  GetPileupSummaries - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:39:55.734 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:39:55.735 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:39:55.735 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:39:55.735 INFO  GetPileupSummaries - Deflater: IntelDeflater
13:39:55.735 INFO  GetPileupSummaries - Inflater: IntelInflater
13:39:55.735 INFO  GetPileupSummaries - GCS max retries/reopens: 20
13:39:55.735 INFO  GetPileupSummaries - Requester pays: disabled
13:39:55.736 INFO  GetPileupSummaries - Initializing engine
13:39:55.899 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/gnomad_chr.vcf.gz
13:39:56.026 INFO  IntervalArgumentCollection - Processing 3117292070 bp from intervals
13:39:56.029 INFO  GetPileupSummaries - Done initializing engine
13:39:56.033 INFO  ProgressMeter - Starting traversal
13:39:56.034 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
13:40:06.041 INFO  ProgressMeter -         chr1:3774377              0.2               3668000       22001399.6
13:40:16.038 INFO  ProgressMeter -         chr1:7534155              0.3               7421000       22259661.1
13:40:26.038 INFO  ProgressMeter -        chr1:11395815              0.5              11280000       22557744.2
13:40:36.038 INFO  ProgressMeter -        chr1:15101213              0.7              14944000       22413758.6
13:40:46.041 INFO  ProgressMeter -        chr1:18909670              0.8              18588000       22302923.6
13:40:56.043 INFO  ProgressMeter -        chr1:22626914              1.0              22302000       22299026.8
13:41:06.043 INFO  ProgressMeter -        chr1:26404878              1.2              26066000       22339413.5
13:41:16.044 INFO  ProgressMeter -        chr1:30158667              1.3              29817000       22359955.0
13:41:26.048 INFO  ProgressMeter -        chr1:33825750              1.5              33481000       22317443.0
13:41:36.050 INFO  ProgressMeter -        chr1:37462205              1.7              37115000       22265437.5
13:41:46.052 INFO  ProgressMeter -        chr1:41116869              1.8              40767000       22232907.3
13:41:56.054 INFO  ProgressMeter -        chr1:44699945              2.0              44348000       22170489.7
13:42:06.054 INFO  ProgressMeter -        chr1:48342004              2.2              47987000       22144439.3
13:42:16.055 INFO  ProgressMeter -        chr1:51967879              2.3              51611000       22115840.6
13:42:26.055 INFO  ProgressMeter -        chr1:55608715              2.5              55249000       22096653.8
13:42:36.056 INFO  ProgressMeter -        chr1:59071556              2.7              58711000       22013735.7
13:42:46.055 INFO  ProgressMeter -        chr1:62609297              2.8              62247000       21966815.9
13:42:56.055 INFO  ProgressMeter -        chr1:66133837              3.0              65770000       21920775.9
13:43:06.056 INFO  ProgressMeter -        chr1:69625813              3.2              69259000       21868731.0
13:43:16.056 INFO  ProgressMeter -        chr1:73332354              3.3              72963000       21886492.5
13:43:26.058 INFO  ProgressMeter -        chr1:76998392              3.5              76625000       21890459.6
13:43:36.057 INFO  ProgressMeter -        chr1:80694648              3.7              80319000       21902892.0
13:43:46.057 INFO  ProgressMeter -        chr1:84388916              3.8              84005000       21912156.6
13:43:56.058 INFO  ProgressMeter -        chr1:87932056              4.0              87544000       21883811.6
13:44:06.061 INFO  ProgressMeter -        chr1:91401479              4.2              91011000       21840368.6
13:44:16.062 INFO  ProgressMeter -        chr1:94949218              4.3              94557000       21818496.5
13:44:26.064 INFO  ProgressMeter -        chr1:98494426              4.5              98101000       21797881.0
13:44:36.064 INFO  ProgressMeter -       chr1:101985244              4.7             101589000       21766739.3
13:44:46.476 INFO  ProgressMeter -       chr1:105769425              4.8             105038000       21699002.6
13:44:56.532 INFO  ProgressMeter -       chr1:105940599              5.0             105209000       21006928.5
13:45:08.080 INFO  ProgressMeter -       chr1:106094220              5.2             105362000       20258936.2
13:45:18.548 INFO  ProgressMeter -       chr1:106161220              5.4             105429000       19613846.2
13:45:28.549 INFO  ProgressMeter -       chr1:107869398              5.5             107137000       19332120.4
13:45:38.551 INFO  ProgressMeter -       chr1:111417197              5.7             110612000       19376322.9
13:45:48.551 INFO  ProgressMeter -       chr1:114957877              5.9             114149000       19428680.0
13:45:58.552 INFO  ProgressMeter -       chr1:118378238              6.0             117566000       19458233.8
13:46:08.553 INFO  ProgressMeter -       chr1:123845865              6.2             121548000       19577255.3
