Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P018_dna_normal.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/table/P018_dna_normal_recal_data.table
06:23:46.216 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
06:23:46.432 INFO  BaseRecalibrator - ------------------------------------------------------------
06:23:46.434 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
06:23:46.434 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
06:23:46.434 INFO  BaseRecalibrator - Executing as vsc35407@i28l15 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
06:23:46.434 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
06:23:46.435 INFO  BaseRecalibrator - Start Date/Time: March 31, 2024 at 6:23:46 AM CEST
06:23:46.435 INFO  BaseRecalibrator - ------------------------------------------------------------
06:23:46.435 INFO  BaseRecalibrator - ------------------------------------------------------------
06:23:46.435 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
06:23:46.435 INFO  BaseRecalibrator - Picard Version: 3.1.1
06:23:46.435 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
06:23:46.436 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
06:23:46.436 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
06:23:46.436 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
06:23:46.436 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
06:23:46.436 INFO  BaseRecalibrator - Deflater: IntelDeflater
06:23:46.436 INFO  BaseRecalibrator - Inflater: IntelInflater
06:23:46.436 INFO  BaseRecalibrator - GCS max retries/reopens: 20
06:23:46.436 INFO  BaseRecalibrator - Requester pays: disabled
06:23:46.437 INFO  BaseRecalibrator - Initializing engine
06:23:46.626 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
06:23:46.771 INFO  BaseRecalibrator - Done initializing engine
06:23:46.774 INFO  BaseRecalibrationEngine - The covariates being used here: 
06:23:46.775 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
06:23:46.775 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
06:23:46.775 INFO  BaseRecalibrationEngine - 	ContextCovariate
06:23:46.775 INFO  BaseRecalibrationEngine - 	CycleCovariate
06:23:46.777 INFO  ProgressMeter - Starting traversal
06:23:46.778 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
06:23:56.792 INFO  ProgressMeter -         chr1:2938648              0.2                582000        3487814.6
06:24:06.800 INFO  ProgressMeter -         chr1:5758584              0.3               1222000        3661971.8
06:24:16.812 INFO  ProgressMeter -         chr1:8562777              0.5               1866000        3727775.2
06:24:26.817 INFO  ProgressMeter -        chr1:11406977              0.7               2522000        3779315.2
06:24:36.830 INFO  ProgressMeter -        chr1:14213561              0.8               3171000        3801246.7
06:24:46.834 INFO  ProgressMeter -        chr1:17249766              1.0               3812000        3808445.5
06:24:56.843 INFO  ProgressMeter -        chr1:20069436              1.2               4467000        3825305.1
06:25:06.853 INFO  ProgressMeter -        chr1:22875545              1.3               5125000        3840149.9
06:25:16.863 INFO  ProgressMeter -        chr1:25712238              1.5               5779000        3849074.2
06:25:26.873 INFO  ProgressMeter -        chr1:28536804              1.7               6450000        3866327.0
06:25:36.885 INFO  ProgressMeter -        chr1:31322676              1.8               7109000        3873868.1
06:25:46.889 INFO  ProgressMeter -        chr1:34144538              2.0               7773000        3882908.3
06:25:56.894 INFO  ProgressMeter -        chr1:37023257              2.2               8444000        3893786.3
06:26:06.901 INFO  ProgressMeter -        chr1:39854228              2.3               9107000        3899573.9
06:26:16.915 INFO  ProgressMeter -        chr1:42614296              2.5               9765000        3902461.8
06:26:26.927 INFO  ProgressMeter -        chr1:45411741              2.7              10437000        3910233.6
06:26:36.929 INFO  ProgressMeter -        chr1:48183383              2.8              11102000        3914898.6
06:26:46.928 INFO  ProgressMeter -        chr1:51148715              3.0              11785000        3925062.4
06:26:56.936 INFO  ProgressMeter -        chr1:53985731              3.2              12452000        3928943.3
06:27:06.949 INFO  ProgressMeter -        chr1:56768560              3.3              13114000        3930858.8
06:27:16.952 INFO  ProgressMeter -        chr1:59616995              3.5              13774000        3932189.2
06:27:26.956 INFO  ProgressMeter -        chr1:62417288              3.7              14434000        3933363.0
06:27:36.968 INFO  ProgressMeter -        chr1:65261315              3.8              15097000        3935097.1
06:27:46.972 INFO  ProgressMeter -        chr1:68037318              4.0              15758000        3936318.1
06:27:56.972 INFO  ProgressMeter -        chr1:70970345              4.2              16424000        3938703.6
06:28:06.978 INFO  ProgressMeter -        chr1:74099373              4.3              17096000        3942213.5
06:28:16.982 INFO  ProgressMeter -        chr1:77056326              4.5              17762000        3944131.1
06:28:26.996 INFO  ProgressMeter -        chr1:79954341              4.7              18414000        3942801.5
06:28:37.009 INFO  ProgressMeter -        chr1:83051651              4.8              19076000        3943617.3
06:28:47.011 INFO  ProgressMeter -        chr1:85946179              5.0              19738000        3944536.4
06:28:57.011 INFO  ProgressMeter -        chr1:88787936              5.2              20407000        3946775.5
06:29:07.012 INFO  ProgressMeter -        chr1:91624143              5.3              21075000        3948687.4
06:29:17.021 INFO  ProgressMeter -        chr1:94467702              5.5              21747000        3951090.6
06:29:27.030 INFO  ProgressMeter -        chr1:97318417              5.7              22410000        3951788.5
06:29:37.031 INFO  ProgressMeter -       chr1:100227343              5.8              23074000        3952685.6
06:29:47.041 INFO  ProgressMeter -       chr1:103138882              6.0              23730000        3952123.7
06:29:57.042 INFO  ProgressMeter -       chr1:106550870              6.2              24380000        3950694.6
06:30:07.055 INFO  ProgressMeter -       chr1:109551838              6.3              25048000        3952076.9
06:30:17.056 INFO  ProgressMeter -       chr1:112287613              6.5              25709000        3952413.4
06:30:27.060 INFO  ProgressMeter -       chr1:115094537              6.7              26366000        3952123.6
