Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P013test_dna_tumor.marked.bam --bqsr-recal-file results/recal/table/P013test_dna_tumor_recal_data.table -O results/recal/P013test_dna_tumor_recal.bam --create-output-bam-index false
23:10:50.117 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
23:10:50.202 INFO  ApplyBQSR - ------------------------------------------------------------
23:10:50.204 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
23:10:50.204 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
23:10:50.204 INFO  ApplyBQSR - Executing as vsc35407@i28l15 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
23:10:50.204 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
23:10:50.205 INFO  ApplyBQSR - Start Date/Time: March 30, 2024 at 11:10:50 PM CET
23:10:50.205 INFO  ApplyBQSR - ------------------------------------------------------------
23:10:50.205 INFO  ApplyBQSR - ------------------------------------------------------------
23:10:50.205 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
23:10:50.205 INFO  ApplyBQSR - Picard Version: 3.1.1
23:10:50.205 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
23:10:50.205 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
23:10:50.205 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
23:10:50.206 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
23:10:50.206 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
23:10:50.206 INFO  ApplyBQSR - Deflater: IntelDeflater
23:10:50.206 INFO  ApplyBQSR - Inflater: IntelInflater
23:10:50.206 INFO  ApplyBQSR - GCS max retries/reopens: 20
23:10:50.206 INFO  ApplyBQSR - Requester pays: disabled
23:10:50.206 INFO  ApplyBQSR - Initializing engine
23:10:50.290 INFO  ApplyBQSR - Done initializing engine
23:10:50.299 INFO  ProgressMeter - Starting traversal
23:10:50.299 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
23:11:00.305 INFO  ProgressMeter -        chr1:40635155              0.2                875000        5247900.8
23:11:10.304 INFO  ProgressMeter -        chr1:84054913              0.3               1769000        5305938.8
23:11:20.309 INFO  ProgressMeter -       chr1:128575696              0.5               2677000        5352394.3
23:11:30.314 INFO  ProgressMeter -       chr1:174850619              0.7               3578000        5364988.1
23:11:40.323 INFO  ProgressMeter -       chr1:218146581              0.8               4474000        5366331.5
23:11:50.323 INFO  ProgressMeter -        chr2:12871455              1.0               5371000        5368852.5
23:12:00.328 INFO  ProgressMeter -        chr2:57020679              1.2               6273000        5374707.3
23:12:10.335 INFO  ProgressMeter -       chr2:100988757              1.3               7181000        5383327.5
23:12:20.341 INFO  ProgressMeter -       chr2:144754213              1.5               8085000        5387545.7
23:12:30.349 INFO  ProgressMeter -       chr2:189179776              1.7               8989000        5390704.6
23:12:40.359 INFO  ProgressMeter -       chr2:233347613              1.8               9895000        5394379.4
23:12:50.358 INFO  ProgressMeter -        chr3:34034573              2.0              10799000        5396846.6
23:13:00.369 INFO  ProgressMeter -        chr3:77446694              2.2              11701000        5397596.7
23:13:10.372 INFO  ProgressMeter -       chr3:123368684              2.3              12610000        5401469.2
23:13:20.378 INFO  ProgressMeter -       chr3:167410372              2.5              13517000        5403953.9
23:13:30.384 INFO  ProgressMeter -         chr4:9814747              2.7              14421000        5405003.6
23:13:40.393 INFO  ProgressMeter -        chr4:56943549              2.8              15329000        5407245.4
23:13:50.398 INFO  ProgressMeter -       chr4:101511477              3.0              16232000        5407692.4
23:14:00.399 INFO  ProgressMeter -       chr4:146687129              3.2              17136000        5408521.8
23:14:10.404 INFO  ProgressMeter -       chr4:191611641              3.3              18043000        5410059.7
23:14:20.407 INFO  ProgressMeter -        chr5:42673130              3.5              18951000        5411788.2
23:14:30.414 INFO  ProgressMeter -        chr5:87110545              3.7              19858000        5412988.7
23:14:40.417 INFO  ProgressMeter -       chr5:132198727              3.8              20765000        5414202.3
23:14:50.425 INFO  ProgressMeter -       chr5:175870996              4.0              21671000        5414907.2
23:15:00.433 INFO  ProgressMeter -        chr6:37126700              4.2              22576000        5415337.4
23:15:10.435 INFO  ProgressMeter -        chr6:81462075              4.3              23484000        5416551.3
23:15:20.437 INFO  ProgressMeter -       chr6:126362008              4.5              24389000        5417009.1
23:15:30.446 INFO  ProgressMeter -       chr6:170571867              4.7              25295000        5417512.9
23:15:40.446 INFO  ProgressMeter -        chr7:42426345              4.8              26201000        5418150.1
23:15:50.456 INFO  ProgressMeter -        chr7:87095774              5.0              27117000        5420563.2
23:16:00.464 INFO  ProgressMeter -       chr7:131709418              5.2              28023000        5420921.1
23:16:10.464 INFO  ProgressMeter -        chr8:15289364              5.3              28927000        5421017.3
23:16:20.469 INFO  ProgressMeter -        chr8:59074588              5.5              29834000        5421570.7
23:16:30.470 INFO  ProgressMeter -       chr8:103736235              5.7              30736000        5421273.4
23:16:40.473 INFO  ProgressMeter -         chr9:1315964              5.8              31643000        5421818.9
23:16:50.474 INFO  ProgressMeter -        chr9:45869979              6.0              32547000        5421879.4
23:17:00.483 INFO  ProgressMeter -       chr9:106475387              6.2              33472000        5425194.0
23:17:10.490 INFO  ProgressMeter -       chr9:149450955              6.3              34377000        5425220.5
23:17:20.499 INFO  ProgressMeter -       chr10:43322476              6.5              35288000        5426140.4
23:17:30.504 INFO  ProgressMeter -       chr10:87095748              6.7              36192000        5426019.2
23:17:40.505 INFO  ProgressMeter -      chr10:129976015              6.8              37091000        5425225.4
23:17:50.507 INFO  ProgressMeter -       chr11:38537415              7.0              37995000        5425183.3
23:18:00.515 INFO  ProgressMeter -       chr11:82024154              7.2              38901000        5425321.2
23:18:10.523 INFO  ProgressMeter -      chr11:125928724              7.3              39803000        5424920.0
23:18:20.533 INFO  ProgressMeter -       chr12:42470854              7.5              40713000        5425578.7
23:18:30.534 INFO  ProgressMeter -       chr12:86570238              7.7              41616000        5425402.2
23:18:40.542 INFO  ProgressMeter -      chr12:130053957              7.8              42519000        5425152.5
23:18:50.550 INFO  ProgressMeter -       chr13:48090887              8.0              43431000        5426037.6
23:19:00.555 INFO  ProgressMeter -       chr13:93858412              8.2              44336000        5426063.1
23:19:10.564 INFO  ProgressMeter -       chr14:26080500              8.3              45244000        5426404.0
23:19:20.567 INFO  ProgressMeter -       chr14:70331656              8.5              46149000        5426442.6
23:19:30.569 INFO  ProgressMeter -       chr15:16530649              8.7              47060000        5427182.0
23:19:40.569 INFO  ProgressMeter -       chr15:58423700              8.8              47964000        5427122.0
23:19:50.569 INFO  ProgressMeter -        chr16:1474556              9.0              48868000        5427064.2
23:20:00.570 INFO  ProgressMeter -       chr16:46784909              9.2              49780000        5427871.0
23:20:10.577 INFO  ProgressMeter -       chr16:91083330              9.3              50685000        5427841.2
23:20:20.584 INFO  ProgressMeter -       chr17:38815222              9.5              51591000        5427917.6
23:20:30.587 INFO  ProgressMeter -       chr17:81659284              9.7              52496000        5427925.4
23:20:40.592 INFO  ProgressMeter -       chr18:43218795              9.8              53409000        5428727.8
23:20:50.595 INFO  ProgressMeter -        chr19:5624002             10.0              54292000        5426522.9
23:21:00.597 INFO  ProgressMeter -       chr19:50554477             10.2              55208000        5427643.5
23:21:10.605 INFO  ProgressMeter -       chr20:31627349             10.3              56113000        5427611.5
23:21:20.609 INFO  ProgressMeter -       chr21:10904579             10.5              57020000        5427805.4
23:21:30.611 INFO  ProgressMeter -        chr22:7971300             10.7              57928000        5428103.8
23:21:40.617 INFO  ProgressMeter -       chr22:51038525             10.8              58829000        5427713.8
23:21:50.622 INFO  ProgressMeter -        chrX:44334008             11.0              59735000        5427798.2
23:22:00.624 INFO  ProgressMeter -        chrX:89492414             11.2              60642000        5427993.9
23:22:10.624 INFO  ProgressMeter -       chrX:134023268             11.3              61545000        5427847.0
23:22:16.114 INFO  ApplyBQSR - 0 read(s) filtered by: WellformedReadFilter 

23:22:16.115 INFO  ProgressMeter -             unmapped             11.4              62043639        5428013.3
23:22:16.115 INFO  ProgressMeter - Traversal complete. Processed 62043639 total reads in 11.4 minutes.
23:22:16.163 INFO  ApplyBQSR - Shutting down engine
[March 30, 2024 at 11:22:16 PM CET] org.broadinstitute.hellbender.tools.walkers.bqsr.ApplyBQSR done. Elapsed time: 11.43 minutes.
Runtime.totalMemory()=285212672
