Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx200g -XX:+UseParallelGC -XX:ParallelGCThreads=4 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar Mutect2 -R resources/genome.fa -I results/recal/P056/P056_dna_normal_recal.bam --max-mnp-distance 0 -O results/mutect2/pon/P056_normal_for_pon.vcf.gz
14:49:46.927 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
14:49:47.041 INFO  Mutect2 - ------------------------------------------------------------
14:49:47.044 INFO  Mutect2 - The Genome Analysis Toolkit (GATK) v4.5.0.0
14:49:47.044 INFO  Mutect2 - For support and documentation go to https://software.broadinstitute.org/gatk/
14:49:47.044 INFO  Mutect2 - Executing as vsc35407@i28l20 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
14:49:47.044 INFO  Mutect2 - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
14:49:47.045 INFO  Mutect2 - Start Date/Time: June 24, 2024 at 2:49:46 PM CEST
14:49:47.045 INFO  Mutect2 - ------------------------------------------------------------
14:49:47.045 INFO  Mutect2 - ------------------------------------------------------------
14:49:47.045 INFO  Mutect2 - HTSJDK Version: 4.1.0
14:49:47.045 INFO  Mutect2 - Picard Version: 3.1.1
14:49:47.045 INFO  Mutect2 - Built for Spark Version: 3.5.0
14:49:47.046 INFO  Mutect2 - HTSJDK Defaults.COMPRESSION_LEVEL : 2
14:49:47.046 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
14:49:47.046 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
14:49:47.046 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
14:49:47.046 INFO  Mutect2 - Deflater: IntelDeflater
14:49:47.046 INFO  Mutect2 - Inflater: IntelInflater
14:49:47.046 INFO  Mutect2 - GCS max retries/reopens: 20
14:49:47.047 INFO  Mutect2 - Requester pays: disabled
14:49:47.047 INFO  Mutect2 - Initializing engine
14:49:47.226 INFO  Mutect2 - Done initializing engine
14:49:47.233 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
14:49:47.234 INFO  NativeLibraryLoader - Loading libgkl_smithwaterman.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_smithwaterman.so
14:49:47.235 INFO  IntelSmithWaterman - Using CPU-supported AVX-512 instructions
14:49:47.235 INFO  SmithWatermanAligner - Using AVX accelerated SmithWaterman implementation
14:49:47.245 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
14:49:47.271 INFO  IntelPairHmm - Using CPU-supported AVX-512 instructions
14:49:47.271 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
14:49:47.272 INFO  IntelPairHmm - Available threads: 4
14:49:47.272 INFO  IntelPairHmm - Requested threads: 4
14:49:47.272 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
14:49:47.317 INFO  ProgressMeter - Starting traversal
14:49:47.318 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
14:49:57.378 INFO  ProgressMeter -          chr1:326964              0.2                  1630           9721.7
14:50:07.414 INFO  ProgressMeter -          chr1:856695              0.3                  4290          12808.5
14:50:17.437 INFO  ProgressMeter -         chr1:1282054              0.5                  6680          13307.2
14:50:27.466 INFO  ProgressMeter -         chr1:1723303              0.7                  9160          13689.3
14:50:37.479 INFO  ProgressMeter -         chr1:2135842              0.8                 11610          13887.3
14:50:48.116 INFO  ProgressMeter -         chr1:2244930              1.0                 12400          12237.4
14:50:58.131 INFO  ProgressMeter -         chr1:2721078              1.2                 14910          12633.3
14:51:08.131 INFO  ProgressMeter -         chr1:3250765              1.3                 17730          13163.7
14:51:18.149 INFO  ProgressMeter -         chr1:3705041              1.5                 20300          13409.7
14:51:28.155 INFO  ProgressMeter -         chr1:4254923              1.7                 23150          13774.7
14:51:38.166 INFO  ProgressMeter -         chr1:4766152              1.8                 25910          14024.6
14:51:48.168 INFO  ProgressMeter -         chr1:5279155              2.0                 28650          14224.4
14:51:58.180 INFO  ProgressMeter -         chr1:5881520              2.2                 31700          14534.4
14:52:08.185 INFO  ProgressMeter -         chr1:6428165              2.3                 34560          14720.3
14:52:18.187 INFO  ProgressMeter -         chr1:7043424              2.5                 37610          14957.3
14:52:28.204 INFO  ProgressMeter -         chr1:7643830              2.7                 40700          15178.4
14:52:38.206 INFO  ProgressMeter -         chr1:8367649              2.8                 44020          15455.7
14:52:48.215 INFO  ProgressMeter -         chr1:8872639              3.0                 46790          15519.3
14:52:58.227 INFO  ProgressMeter -         chr1:9532557              3.2                 49980          15708.0
14:53:08.233 INFO  ProgressMeter -        chr1:10057450              3.3                 52810          15770.8
14:53:18.241 INFO  ProgressMeter -        chr1:10685173              3.5                 55900          15901.5
14:53:28.279 INFO  ProgressMeter -        chr1:11272883              3.7                 58910          15996.5
14:53:38.286 INFO  ProgressMeter -        chr1:11688875              3.8                 61320          15929.5
14:53:48.291 INFO  ProgressMeter -        chr1:12325009              4.0                 64370          16027.5
14:53:58.319 INFO  ProgressMeter -        chr1:12494132              4.2                 65560          15671.7
14:54:08.382 INFO  ProgressMeter -        chr1:12633668              4.4                 66560          15297.4
14:54:18.415 INFO  ProgressMeter -        chr1:12942191              4.5                 68480          15156.3
14:54:28.414 INFO  ProgressMeter -        chr1:13595896              4.7                 71650          15293.7
14:54:38.430 INFO  ProgressMeter -        chr1:14166460              4.9                 74630          15381.7
14:54:48.450 INFO  ProgressMeter -        chr1:14696091              5.0                 77450          15431.8
14:54:58.476 INFO  ProgressMeter -        chr1:15261126              5.2                 80360          15495.7
14:55:08.488 INFO  ProgressMeter -        chr1:15804153              5.4                 83230          15548.8
14:55:18.527 INFO  ProgressMeter -        chr1:16455046              5.5                 86460          15662.7
14:55:28.526 INFO  ProgressMeter -        chr1:17102469              5.7                 89580          15752.3
14:55:38.542 INFO  ProgressMeter -        chr1:17570936              5.9                 92160          15743.8
14:55:48.567 INFO  ProgressMeter -        chr1:18097784              6.0                 95050          15786.9
14:55:58.588 INFO  ProgressMeter -        chr1:18664233              6.2                 97990          15836.0
14:56:08.617 INFO  ProgressMeter -        chr1:19164007              6.4                100680          15842.7
14:56:18.623 INFO  ProgressMeter -        chr1:19607186              6.5                103280          15836.2
14:56:28.634 INFO  ProgressMeter -        chr1:20183131              6.7                106260          15886.7
14:56:38.638 INFO  ProgressMeter -        chr1:20667798              6.9                108950          15892.7
14:56:48.655 INFO  ProgressMeter -        chr1:21220129              7.0                111900          15935.0
14:56:58.666 INFO  ProgressMeter -        chr1:21680291              7.2                114540          15932.4
14:57:08.695 INFO  ProgressMeter -        chr1:22104815              7.4                117010          15906.1
14:57:18.752 INFO  ProgressMeter -        chr1:22770791              7.5                120250          15982.4
14:57:28.787 INFO  ProgressMeter -        chr1:23404007              7.7                123370          16040.5
14:57:38.799 INFO  ProgressMeter -        chr1:23902591              7.9                126200          16060.1
14:57:48.843 INFO  ProgressMeter -        chr1:24393113              8.0                128970          16070.2
14:57:58.861 INFO  ProgressMeter -        chr1:24970349              8.2                131920          16102.8
14:58:08.884 INFO  ProgressMeter -        chr1:25655349              8.4                135230          16176.9
14:58:18.930 INFO  ProgressMeter -        chr1:26147783              8.5                137950          16178.3
