Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar GetPileupSummaries -I results/recal/P066/P066_dna_normal_recal.bam -L resources/filtered_gnomad_chr.vcf.gz -V resources/filtered_gnomad_chr.vcf.gz -O results/mutect2/P066/P066_normal_pileup_summaries.table
16:31:37.808 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:31:37.916 INFO  GetPileupSummaries - ------------------------------------------------------------
16:31:37.919 INFO  GetPileupSummaries - The Genome Analysis Toolkit (GATK) v4.5.0.0
16:31:37.919 INFO  GetPileupSummaries - For support and documentation go to https://software.broadinstitute.org/gatk/
16:31:37.919 INFO  GetPileupSummaries - Executing as vsc35407@i28l15 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
16:31:37.919 INFO  GetPileupSummaries - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
16:31:37.919 INFO  GetPileupSummaries - Start Date/Time: July 14, 2024 at 4:31:37 PM CEST
16:31:37.919 INFO  GetPileupSummaries - ------------------------------------------------------------
16:31:37.919 INFO  GetPileupSummaries - ------------------------------------------------------------
16:31:37.919 INFO  GetPileupSummaries - HTSJDK Version: 4.1.0
16:31:37.920 INFO  GetPileupSummaries - Picard Version: 3.1.1
16:31:37.920 INFO  GetPileupSummaries - Built for Spark Version: 3.5.0
16:31:37.920 INFO  GetPileupSummaries - HTSJDK Defaults.COMPRESSION_LEVEL : 2
16:31:37.920 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
16:31:37.920 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
16:31:37.920 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
16:31:37.920 INFO  GetPileupSummaries - Deflater: IntelDeflater
16:31:37.920 INFO  GetPileupSummaries - Inflater: IntelInflater
16:31:37.920 INFO  GetPileupSummaries - GCS max retries/reopens: 20
16:31:37.920 INFO  GetPileupSummaries - Requester pays: disabled
16:31:37.921 INFO  GetPileupSummaries - Initializing engine
16:31:38.070 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/filtered_gnomad_chr.vcf.gz
16:31:38.144 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/filtered_gnomad_chr.vcf.gz
16:32:38.568 INFO  IntervalArgumentCollection - Processing 8916026 bp from intervals
16:32:38.716 INFO  GetPileupSummaries - Done initializing engine
16:32:38.721 INFO  ProgressMeter - Starting traversal
16:32:38.721 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
16:33:08.910 INFO  ProgressMeter -          chr1:256683              0.5                  1000           1987.7
16:33:18.998 INFO  ProgressMeter -        chr1:12401602              0.7                 47000          70016.9
16:33:29.188 INFO  ProgressMeter -        chr1:26775834              0.8                 94000         111758.4
16:33:39.259 INFO  ProgressMeter -        chr1:42316548              1.0                137000         135784.7
16:33:49.452 INFO  ProgressMeter -        chr1:57820539              1.2                178000         150998.9
16:33:59.647 INFO  ProgressMeter -        chr1:73133778              1.3                220000         163114.0
16:34:09.810 INFO  ProgressMeter -        chr1:88874722              1.5                264000         173897.8
16:34:19.812 INFO  ProgressMeter -       chr1:104988244              1.7                308000         182807.4
16:34:29.833 INFO  ProgressMeter -       chr1:120595300              1.9                352000         190080.2
16:34:39.986 INFO  ProgressMeter -       chr1:157059139              2.0                398000         196927.3
16:34:50.141 INFO  ProgressMeter -       chr1:171432808              2.2                442000         201797.3
16:35:00.270 INFO  ProgressMeter -       chr1:188035809              2.4                485000         205584.0
16:35:10.371 INFO  ProgressMeter -       chr1:203929403              2.5                530000         209694.8
16:35:20.374 INFO  ProgressMeter -       chr1:218320970              2.7                573000         212680.4
16:35:30.438 INFO  ProgressMeter -       chr1:233395799              2.9                617000         215588.5
16:35:40.565 INFO  ProgressMeter -       chr1:247192643              3.0                663000         218760.1
16:35:50.704 INFO  ProgressMeter -        chr2:11958365              3.2                711000         222208.3
16:36:00.800 INFO  ProgressMeter -        chr2:27627704              3.4                756000         224467.8
16:36:10.879 INFO  ProgressMeter -        chr2:41633621              3.5                802000         226813.2
16:36:20.971 INFO  ProgressMeter -        chr2:54919047              3.7                847000         228662.4
16:36:31.131 INFO  ProgressMeter -        chr2:70427399              3.9                892000         230283.7
16:36:41.320 INFO  ProgressMeter -        chr2:84891533              4.0                938000         231988.7
16:36:51.367 INFO  ProgressMeter -       chr2:105431671              4.2                983000         233450.1
16:37:01.491 INFO  ProgressMeter -       chr2:121121657              4.4               1028000         234730.9
16:37:11.566 INFO  ProgressMeter -       chr2:135246991              4.5               1074000         236178.9
16:37:21.770 INFO  ProgressMeter -       chr2:151241543              4.7               1117000         236780.5
16:37:31.961 INFO  ProgressMeter -       chr2:167068908              4.9               1157000         236735.2
16:37:42.168 INFO  ProgressMeter -       chr2:182122030              5.1               1200000         237275.3
16:37:52.359 INFO  ProgressMeter -       chr2:198722541              5.2               1242000         237599.5
16:38:02.571 INFO  ProgressMeter -       chr2:214237435              5.4               1282000         237518.1
16:38:12.755 INFO  ProgressMeter -       chr2:229297954              5.6               1326000         238180.8
16:38:22.803 INFO  ProgressMeter -       chr2:241593754              5.7               1370000         238897.9
16:38:32.908 INFO  ProgressMeter -        chr3:10058092              5.9               1414000         239535.2
16:38:43.009 INFO  ProgressMeter -        chr3:23318575              6.1               1457000         239975.6
16:38:53.129 INFO  ProgressMeter -        chr3:37196329              6.2               1501000         240540.4
16:39:03.150 INFO  ProgressMeter -        chr3:53625604              6.4               1540000         240357.7
16:39:13.243 INFO  ProgressMeter -        chr3:66851896              6.6               1583000         240748.3
16:39:23.372 INFO  ProgressMeter -        chr3:82007195              6.7               1628000         241393.8
16:39:33.644 INFO  ProgressMeter -       chr3:103740656              6.9               1677000         242503.4
16:39:43.779 INFO  ProgressMeter -       chr3:119465874              7.1               1721000         242932.1
