Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P105/P105_dna_tumor.marked.bam --bqsr-recal-file results/recal/P105/P105_dna_tumor_recal_data.table -O results/recal/P105/P105_dna_tumor_recal.bam --create-output-bam-index false
20:24:54.818 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
20:24:54.960 INFO  ApplyBQSR - ------------------------------------------------------------
20:24:54.963 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
20:24:54.963 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
20:24:54.963 INFO  ApplyBQSR - Executing as vsc35407@g28l05 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
20:24:54.963 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
20:24:54.964 INFO  ApplyBQSR - Start Date/Time: June 21, 2024 at 8:24:54 PM CEST
20:24:54.964 INFO  ApplyBQSR - ------------------------------------------------------------
20:24:54.964 INFO  ApplyBQSR - ------------------------------------------------------------
20:24:54.965 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
20:24:54.965 INFO  ApplyBQSR - Picard Version: 3.1.1
20:24:54.965 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
20:24:54.965 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
20:24:54.965 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
20:24:54.965 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
20:24:54.965 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
20:24:54.966 INFO  ApplyBQSR - Deflater: IntelDeflater
20:24:54.966 INFO  ApplyBQSR - Inflater: IntelInflater
20:24:54.966 INFO  ApplyBQSR - GCS max retries/reopens: 20
20:24:54.966 INFO  ApplyBQSR - Requester pays: disabled
20:24:54.966 INFO  ApplyBQSR - Initializing engine
20:24:55.114 INFO  ApplyBQSR - Done initializing engine
20:24:55.142 INFO  ProgressMeter - Starting traversal
20:24:55.142 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
20:25:05.153 INFO  ProgressMeter -         chr1:1418367              0.2                574000        3440903.2
20:25:15.153 INFO  ProgressMeter -         chr1:2874753              0.3               1184000        3550224.9
20:25:25.161 INFO  ProgressMeter -         chr1:4381648              0.5               1760000        3518006.5
20:25:35.173 INFO  ProgressMeter -         chr1:6035855              0.7               2375000        3559830.1
20:25:45.177 INFO  ProgressMeter -         chr1:7798782              0.8               3016000        3616668.3
20:25:55.193 INFO  ProgressMeter -         chr1:9420368              1.0               3620000        3616925.6
20:26:05.204 INFO  ProgressMeter -        chr1:11036372              1.2               4219000        3613137.1
20:26:15.206 INFO  ProgressMeter -        chr1:12604463              1.3               4814000        3607659.0
20:26:25.206 INFO  ProgressMeter -        chr1:14362005              1.5               5442000        3625421.9
20:26:35.213 INFO  ProgressMeter -        chr1:15970120              1.7               6047000        3625625.8
20:26:45.217 INFO  ProgressMeter -        chr1:17494739              1.8               6665000        3632977.5
20:26:55.229 INFO  ProgressMeter -        chr1:19162438              2.0               7280000        3637362.9
20:27:05.244 INFO  ProgressMeter -        chr1:20904064              2.2               7915000        3650241.0
20:27:15.257 INFO  ProgressMeter -        chr1:22523270              2.3               8519000        3648029.5
20:27:25.267 INFO  ProgressMeter -        chr1:24180039              2.5               9126000        3647360.5
20:27:35.269 INFO  ProgressMeter -        chr1:25807107              2.7               9721000        3642506.5
20:27:45.271 INFO  ProgressMeter -        chr1:27431090              2.8              10330000        3643139.3
20:27:55.275 INFO  ProgressMeter -        chr1:29024734              3.0              10910000        3634001.7
20:28:05.288 INFO  ProgressMeter -        chr1:30383069              3.2              11412000        3601098.1
20:28:15.303 INFO  ProgressMeter -        chr1:31769912              3.3              11927000        3575239.8
20:28:25.304 INFO  ProgressMeter -        chr1:33239398              3.5              12472000        3560698.7
20:28:35.305 INFO  ProgressMeter -        chr1:34704340              3.7              12999000        3542573.2
20:28:45.317 INFO  ProgressMeter -        chr1:36421129              3.8              13616000        3549299.4
20:28:55.326 INFO  ProgressMeter -        chr1:38067052              4.0              14226000        3553775.4
20:29:05.338 INFO  ProgressMeter -        chr1:39730617              4.2              14828000        3555932.1
20:29:15.350 INFO  ProgressMeter -        chr1:41403874              4.3              15439000        3559998.2
20:29:25.364 INFO  ProgressMeter -        chr1:43071710              4.5              16040000        3561516.1
20:29:35.369 INFO  ProgressMeter -        chr1:44709188              4.7              16653000        3565609.3
20:29:45.372 INFO  ProgressMeter -        chr1:46425032              4.8              17276000        3571512.2
20:29:55.386 INFO  ProgressMeter -        chr1:48069037              5.0              17871000        3571295.3
20:30:05.394 INFO  ProgressMeter -        chr1:49847974              5.2              18465000        3570968.1
20:30:15.401 INFO  ProgressMeter -        chr1:51563099              5.3              19061000        3571047.2
20:30:25.417 INFO  ProgressMeter -        chr1:53256016              5.5              19657000        3571035.0
20:30:35.417 INFO  ProgressMeter -        chr1:54847936              5.7              20251000        3570828.2
