Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar GetPileupSummaries -I results/recal/P022/P022_dna_normal_recal.bam -L resources/filtered_gnomad_chr.vcf.gz -V resources/filtered_gnomad_chr.vcf.gz -O results/mutect2/P022/P022_normal_pileup_summaries.table
13:59:56.921 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
13:59:57.059 INFO  GetPileupSummaries - ------------------------------------------------------------
13:59:57.061 INFO  GetPileupSummaries - The Genome Analysis Toolkit (GATK) v4.5.0.0
13:59:57.061 INFO  GetPileupSummaries - For support and documentation go to https://software.broadinstitute.org/gatk/
13:59:57.062 INFO  GetPileupSummaries - Executing as vsc35407@g28l12 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
13:59:57.062 INFO  GetPileupSummaries - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
13:59:57.062 INFO  GetPileupSummaries - Start Date/Time: July 14, 2024 at 1:59:56 PM CEST
13:59:57.062 INFO  GetPileupSummaries - ------------------------------------------------------------
13:59:57.062 INFO  GetPileupSummaries - ------------------------------------------------------------
13:59:57.063 INFO  GetPileupSummaries - HTSJDK Version: 4.1.0
13:59:57.063 INFO  GetPileupSummaries - Picard Version: 3.1.1
13:59:57.063 INFO  GetPileupSummaries - Built for Spark Version: 3.5.0
13:59:57.063 INFO  GetPileupSummaries - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:59:57.063 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:59:57.063 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:59:57.064 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:59:57.064 INFO  GetPileupSummaries - Deflater: IntelDeflater
13:59:57.064 INFO  GetPileupSummaries - Inflater: IntelInflater
13:59:57.064 INFO  GetPileupSummaries - GCS max retries/reopens: 20
13:59:57.064 INFO  GetPileupSummaries - Requester pays: disabled
13:59:57.064 INFO  GetPileupSummaries - Initializing engine
13:59:57.173 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/filtered_gnomad_chr.vcf.gz
13:59:57.278 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/filtered_gnomad_chr.vcf.gz
14:01:21.484 INFO  IntervalArgumentCollection - Processing 8916026 bp from intervals
14:01:21.676 INFO  GetPileupSummaries - Done initializing engine
14:01:21.683 INFO  ProgressMeter - Starting traversal
14:01:21.683 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
14:02:02.349 INFO  ProgressMeter -          chr1:264304              0.7                  1000           1475.5
14:02:12.577 INFO  ProgressMeter -         chr1:8761633              0.8                 34000          40083.3
14:02:22.818 INFO  ProgressMeter -        chr1:18390306              1.0                 69000          67720.1
14:02:33.055 INFO  ProgressMeter -        chr1:29328248              1.2                100000          84066.6
14:02:43.148 INFO  ProgressMeter -        chr1:40210287              1.4                131000          96484.3
14:02:53.408 INFO  ProgressMeter -        chr1:51781496              1.5                159000         104006.5
14:03:03.690 INFO  ProgressMeter -        chr1:61878804              1.7                190000         111757.0
14:03:13.802 INFO  ProgressMeter -        chr1:73268673              1.9                220000         117733.1
14:03:24.115 INFO  ProgressMeter -        chr1:84716142              2.0                252000         123497.1
14:03:34.428 INFO  ProgressMeter -        chr1:96657689              2.2                283000         127914.4
14:03:44.436 INFO  ProgressMeter -       chr1:107820921              2.4                316000         132816.8
14:03:54.561 INFO  ProgressMeter -       chr1:119034199              2.5                347000         136187.0
14:04:04.565 INFO  ProgressMeter -       chr1:150291011              2.7                380000         139978.6
14:04:14.688 INFO  ProgressMeter -       chr1:161316286              2.9                411000         142539.2
14:04:24.914 INFO  ProgressMeter -       chr1:171888766              3.1                443000         145063.6
14:04:35.050 INFO  ProgressMeter -       chr1:183608141              3.2                473000         146767.5
14:04:45.220 INFO  ProgressMeter -       chr1:195592169              3.4                507000         149456.9
14:04:55.268 INFO  ProgressMeter -       chr1:206397699              3.6                537000         150853.3
14:05:05.388 INFO  ProgressMeter -       chr1:216572485              3.7                568000         152344.2
14:05:15.467 INFO  ProgressMeter -       chr1:227460502              3.9                599000         153731.6
14:05:25.522 INFO  ProgressMeter -       chr1:237756442              4.1                631000         155267.0
14:05:35.581 INFO  ProgressMeter -       chr1:247406242              4.2                664000         156913.4
14:05:45.595 INFO  ProgressMeter -         chr2:7981338              4.4                698000         158689.3
14:05:55.679 INFO  ProgressMeter -        chr2:18326233              4.6                731000         160075.3
14:06:05.924 INFO  ProgressMeter -        chr2:29865327              4.7                762000         160850.0
14:06:16.177 INFO  ProgressMeter -        chr2:39905746              4.9                796000         162176.5
14:06:26.253 INFO  ProgressMeter -        chr2:49388159              5.1                828000         163115.2
14:06:36.433 INFO  ProgressMeter -        chr2:59356822              5.2                861000         164130.3
14:06:46.465 INFO  ProgressMeter -        chr2:70452434              5.4                892000         164787.5
14:06:56.733 INFO  ProgressMeter -        chr2:80847998              5.6                924000         165468.3
14:07:06.865 INFO  ProgressMeter -        chr2:95648779              5.8                961000         167042.3
14:07:17.084 INFO  ProgressMeter -       chr2:107860700              5.9                991000         167304.0
14:07:27.266 INFO  ProgressMeter -       chr2:119312711              6.1               1023000         167896.2
14:07:37.375 INFO  ProgressMeter -       chr2:129897295              6.3               1056000         168648.8
14:07:47.628 INFO  ProgressMeter -       chr2:140473076              6.4               1090000         169454.2
14:07:58.081 INFO  ProgressMeter -       chr2:152611115              6.6               1121000         169678.4
14:08:08.391 INFO  ProgressMeter -       chr2:164873625              6.8               1152000         169949.9
14:08:18.769 INFO  ProgressMeter -       chr2:175716757              7.0               1183000         170180.7
14:08:28.883 INFO  ProgressMeter -       chr2:187272216              7.1               1214000         170505.6
14:08:39.149 INFO  ProgressMeter -       chr2:199729869              7.3               1245000         170756.1
