Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P028/P028_dna_tumor.marked.bam --bqsr-recal-file results/recal/P028/P028_dna_tumor_recal_data.table -O results/recal/P028/P028_dna_tumor_recal.bam --create-output-bam-index false
16:47:30.044 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:47:30.156 INFO  ApplyBQSR - ------------------------------------------------------------
16:47:30.159 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
16:47:30.159 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
16:47:30.159 INFO  ApplyBQSR - Executing as vsc35407@i28l07 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
16:47:30.159 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
16:47:30.159 INFO  ApplyBQSR - Start Date/Time: June 25, 2024 at 4:47:30 PM CEST
16:47:30.159 INFO  ApplyBQSR - ------------------------------------------------------------
16:47:30.159 INFO  ApplyBQSR - ------------------------------------------------------------
16:47:30.160 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
16:47:30.160 INFO  ApplyBQSR - Picard Version: 3.1.1
16:47:30.160 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
16:47:30.160 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
16:47:30.161 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
16:47:30.161 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
16:47:30.161 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
16:47:30.161 INFO  ApplyBQSR - Deflater: IntelDeflater
16:47:30.161 INFO  ApplyBQSR - Inflater: IntelInflater
16:47:30.161 INFO  ApplyBQSR - GCS max retries/reopens: 20
16:47:30.161 INFO  ApplyBQSR - Requester pays: disabled
16:47:30.162 INFO  ApplyBQSR - Initializing engine
16:47:30.310 INFO  ApplyBQSR - Done initializing engine
16:47:30.322 INFO  ProgressMeter - Starting traversal
16:47:30.323 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
16:47:40.335 INFO  ProgressMeter -          chr1:879823              0.2                647000        3878121.9
16:47:50.345 INFO  ProgressMeter -         chr1:1829971              0.3               1318000        3949852.7
16:48:00.349 INFO  ProgressMeter -         chr1:2735005              0.5               2012000        4020649.5
16:48:10.360 INFO  ProgressMeter -         chr1:3654918              0.7               2678000        4013388.0
16:48:20.360 INFO  ProgressMeter -         chr1:4498872              0.8               3354000        4021904.2
16:48:30.365 INFO  ProgressMeter -         chr1:5334155              1.0               4031000        4028247.4
16:48:40.370 INFO  ProgressMeter -         chr1:6260470              1.2               4707000        4031864.3
16:48:50.373 INFO  ProgressMeter -         chr1:7118756              1.3               5384000        4035477.8
16:49:00.379 INFO  ProgressMeter -         chr1:7977716              1.5               6060000        4037487.8
16:49:10.389 INFO  ProgressMeter -         chr1:8822387              1.7               6736000        4038934.3
16:49:20.399 INFO  ProgressMeter -         chr1:9716936              1.8               7412000        4040154.4
16:49:30.399 INFO  ProgressMeter -        chr1:10605675              2.0               8087000        4040940.7
16:49:40.400 INFO  ProgressMeter -        chr1:11496207              2.2               8762000        4041606.1
16:49:50.402 INFO  ProgressMeter -        chr1:12354400              2.3               9437000        4042176.5
16:50:00.414 INFO  ProgressMeter -        chr1:13169920              2.5              10109000        4041175.3
16:50:10.420 INFO  ProgressMeter -        chr1:13977172              2.7              10784000        4041549.8
16:50:20.422 INFO  ProgressMeter -        chr1:14831793              2.8              11457000        4041293.6
16:50:30.422 INFO  ProgressMeter -        chr1:15729346              3.0              12128000        4040444.4
16:50:40.436 INFO  ProgressMeter -        chr1:16459712              3.2              12786000        4035284.3
16:50:50.446 INFO  ProgressMeter -        chr1:17200408              3.3              13456000        4034318.9
16:51:00.456 INFO  ProgressMeter -        chr1:18083149              3.5              14129000        4034302.1
16:51:10.464 INFO  ProgressMeter -        chr1:18949488              3.7              14801000        4034050.9
16:51:20.477 INFO  ProgressMeter -        chr1:19809029              3.8              15474000        4033994.6
16:51:30.492 INFO  ProgressMeter -        chr1:20669320              4.0              16147000        4033926.3
16:51:40.499 INFO  ProgressMeter -        chr1:21521708              4.2              16819000        4033720.3
16:51:50.508 INFO  ProgressMeter -        chr1:22392324              4.3              17490000        4033299.5
16:52:00.517 INFO  ProgressMeter -        chr1:23252830              4.5              18164000        4033561.2
16:52:10.524 INFO  ProgressMeter -        chr1:24118122              4.7              18837000        4033604.4
16:52:20.530 INFO  ProgressMeter -        chr1:24942810              4.8              19538000        4039461.5
16:52:30.536 INFO  ProgressMeter -        chr1:25786628              5.0              20211000        4039332.1
16:52:40.548 INFO  ProgressMeter -        chr1:26667909              5.2              20885000        4039326.3
16:52:50.554 INFO  ProgressMeter -        chr1:27566773              5.3              21557000        4039034.4
16:53:00.562 INFO  ProgressMeter -        chr1:28433708              5.5              22231000        4039074.7
16:53:10.575 INFO  ProgressMeter -        chr1:29304253              5.7              22905000        4039065.2
16:53:20.578 INFO  ProgressMeter -        chr1:30147045              5.8              23576000        4038669.1
16:53:30.584 INFO  ProgressMeter -        chr1:31007500              6.0              24249000        4038572.0
16:53:40.588 INFO  ProgressMeter -        chr1:31861143              6.2              24917000        4037713.6
16:53:50.601 INFO  ProgressMeter -        chr1:32741294              6.3              25590000        4037572.5
16:54:00.606 INFO  ProgressMeter -        chr1:33577817              6.5              26263000        4037542.1
16:54:10.607 INFO  ProgressMeter -        chr1:34400164              6.7              26936000        4037533.4
16:54:20.619 INFO  ProgressMeter -        chr1:35234562              6.8              27608000        4037290.2
16:54:30.621 INFO  ProgressMeter -        chr1:36078504              7.0              28282000        4037430.7
16:54:40.625 INFO  ProgressMeter -        chr1:36950620              7.2              28955000        4037397.0
16:54:50.633 INFO  ProgressMeter -        chr1:37814444              7.3              29628000        4037337.3
16:55:00.636 INFO  ProgressMeter -        chr1:38648609              7.5              30301000        4037334.1
16:55:10.647 INFO  ProgressMeter -        chr1:39491686              7.7              30975000        4037373.7
16:55:20.651 INFO  ProgressMeter -        chr1:40328238              7.8              31648000        4037361.2
16:55:30.656 INFO  ProgressMeter -        chr1:41159597              8.0              32322000        4037449.0
16:55:40.658 INFO  ProgressMeter -        chr1:41990936              8.2              32997000        4037696.8
16:55:50.664 INFO  ProgressMeter -        chr1:42795891              8.3              33671000        4037766.2
16:56:00.668 INFO  ProgressMeter -        chr1:43655757              8.5              34346000        4037974.3
16:56:10.673 INFO  ProgressMeter -        chr1:44496286              8.7              35021000        4038166.6
16:56:20.687 INFO  ProgressMeter -        chr1:45340394              8.8              35694000        4038056.9
16:56:30.695 INFO  ProgressMeter -        chr1:46175291              9.0              36370000        4038329.2
16:56:40.707 INFO  ProgressMeter -        chr1:46995657              9.2              37045000        4038453.2
16:56:50.712 INFO  ProgressMeter -        chr1:47844055              9.3              37721000        4038730.2
16:57:00.721 INFO  ProgressMeter -        chr1:48631789              9.5              38384000        4037601.8
16:57:10.730 INFO  ProgressMeter -        chr1:49415624              9.7              39062000        4038062.9
16:57:20.743 INFO  ProgressMeter -        chr1:50198687              9.8              39741000        4038582.7
16:57:30.754 INFO  ProgressMeter -        chr1:50988660             10.0              40418000        4038898.7
16:57:40.768 INFO  ProgressMeter -        chr1:51791817             10.2              41096000        4039282.8
16:57:50.771 INFO  ProgressMeter -        chr1:52622911             10.3              41773000        4039635.9
16:58:00.771 INFO  ProgressMeter -        chr1:53485967             10.5              42451000        4040079.4
16:58:10.772 INFO  ProgressMeter -        chr1:54333800             10.7              43128000        4040415.4
16:58:20.783 INFO  ProgressMeter -        chr1:55175280             10.8              43801000        4040309.9
16:58:30.791 INFO  ProgressMeter -        chr1:55967915             11.0              44477000        4040498.6
16:58:40.791 INFO  ProgressMeter -        chr1:56755637             11.2              45152000        4040640.3
16:58:50.796 INFO  ProgressMeter -        chr1:57542589             11.3              45827000        4040748.1
16:59:00.806 INFO  ProgressMeter -        chr1:58332773             11.5              46504000        4040997.4
16:59:10.807 INFO  ProgressMeter -        chr1:59125752             11.7              47179000        4041120.1
16:59:20.808 INFO  ProgressMeter -        chr1:59907749             11.8              47854000        4041239.4
16:59:30.819 INFO  ProgressMeter -        chr1:60684533             12.0              48531000        4041465.9
16:59:40.833 INFO  ProgressMeter -        chr1:61467848             12.2              49206000        4041505.2
16:59:50.843 INFO  ProgressMeter -        chr1:62289654             12.3              49881000        4041565.4
17:00:00.848 INFO  ProgressMeter -        chr1:63061830             12.5              50548000        4041011.3
17:00:10.857 INFO  ProgressMeter -        chr1:63856144             12.7              51222000        4041008.1
17:00:20.866 INFO  ProgressMeter -        chr1:64647622             12.8              51897000        4041072.3
17:00:30.875 INFO  ProgressMeter -        chr1:65445391             13.0              52574000        4041293.9
17:00:40.884 INFO  ProgressMeter -        chr1:66214620             13.2              53251000        4041509.8
17:00:50.887 INFO  ProgressMeter -        chr1:66985138             13.3              53926000        4041600.7
17:01:00.890 INFO  ProgressMeter -        chr1:67785523             13.5              54600000        4041615.3
17:01:10.893 INFO  ProgressMeter -        chr1:68568079             13.7              55276000        4041780.8
17:01:20.903 INFO  ProgressMeter -        chr1:69343892             13.8              55953000        4041970.7
17:01:30.913 INFO  ProgressMeter -        chr1:70107592             14.0              56630000        4042160.9
17:01:40.919 INFO  ProgressMeter -        chr1:70891849             14.2              57306000        4042295.0
17:01:50.930 INFO  ProgressMeter -        chr1:71657308             14.3              57983000        4042472.3
17:02:00.940 INFO  ProgressMeter -        chr1:72414085             14.5              58658000        4042517.0
17:02:10.953 INFO  ProgressMeter -        chr1:73186553             14.7              59335000        4042674.0
17:02:20.953 INFO  ProgressMeter -        chr1:73959030             14.8              60011000        4042823.6
17:02:30.961 INFO  ProgressMeter -        chr1:74727872             15.0              60687000        4042934.0
17:02:40.970 INFO  ProgressMeter -        chr1:75489513             15.2              61363000        4043037.5
17:02:50.972 INFO  ProgressMeter -        chr1:76265054             15.3              62038000        4043104.4
17:03:00.975 INFO  ProgressMeter -        chr1:77034779             15.5              62713000        4043165.4
17:03:10.988 INFO  ProgressMeter -        chr1:77823430             15.7              63389000        4043250.3
17:03:21.000 INFO  ProgressMeter -        chr1:78595739             15.8              64065000        4043329.1
17:03:31.006 INFO  ProgressMeter -        chr1:79368459             16.0              64740000        4043373.3
17:03:41.019 INFO  ProgressMeter -        chr1:80134548             16.2              65402000        4042583.9
17:03:51.026 INFO  ProgressMeter -        chr1:80918513             16.3              66080000        4042814.2
17:04:01.034 INFO  ProgressMeter -        chr1:81703723             16.5              66756000        4042914.6
17:04:11.046 INFO  ProgressMeter -        chr1:82475720             16.7              67432000        4042996.9
17:04:21.053 INFO  ProgressMeter -        chr1:83242118             16.8              68106000        4042978.8
17:04:31.059 INFO  ProgressMeter -        chr1:84002667             17.0              68779000        4042906.3
17:04:41.068 INFO  ProgressMeter -        chr1:84787238             17.2              69456000        4043056.2
17:04:51.080 INFO  ProgressMeter -        chr1:85577768             17.3              70133000        4043191.6
17:05:01.091 INFO  ProgressMeter -        chr1:86346256             17.5              70809000        4043271.2
17:05:11.099 INFO  ProgressMeter -        chr1:87124665             17.7              71486000        4043417.3
