Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P016_dna_normal.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/table/P016_dna_normal_recal_data.table
06:12:20.460 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
06:12:20.676 INFO  BaseRecalibrator - ------------------------------------------------------------
06:12:20.679 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
06:12:20.679 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
06:12:20.679 INFO  BaseRecalibrator - Executing as vsc35407@g28l05 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
06:12:20.679 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
06:12:20.679 INFO  BaseRecalibrator - Start Date/Time: March 31, 2024 at 6:12:20 AM CEST
06:12:20.679 INFO  BaseRecalibrator - ------------------------------------------------------------
06:12:20.679 INFO  BaseRecalibrator - ------------------------------------------------------------
06:12:20.680 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
06:12:20.680 INFO  BaseRecalibrator - Picard Version: 3.1.1
06:12:20.680 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
06:12:20.681 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
06:12:20.681 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
06:12:20.681 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
06:12:20.681 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
06:12:20.681 INFO  BaseRecalibrator - Deflater: IntelDeflater
06:12:20.681 INFO  BaseRecalibrator - Inflater: IntelInflater
06:12:20.681 INFO  BaseRecalibrator - GCS max retries/reopens: 20
06:12:20.681 INFO  BaseRecalibrator - Requester pays: disabled
06:12:20.682 INFO  BaseRecalibrator - Initializing engine
06:12:20.880 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
06:12:20.981 INFO  BaseRecalibrator - Done initializing engine
06:12:20.986 INFO  BaseRecalibrationEngine - The covariates being used here: 
06:12:20.986 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
06:12:20.986 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
06:12:20.986 INFO  BaseRecalibrationEngine - 	ContextCovariate
06:12:20.986 INFO  BaseRecalibrationEngine - 	CycleCovariate
06:12:20.989 INFO  ProgressMeter - Starting traversal
06:12:20.989 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
06:12:31.006 INFO  ProgressMeter -         chr1:2444100              0.2                425000        2546435.0
06:12:41.004 INFO  ProgressMeter -         chr1:5022143              0.3                891000        2671130.2
06:12:51.007 INFO  ProgressMeter -         chr1:7589161              0.5               1357000        2712372.6
06:13:01.022 INFO  ProgressMeter -        chr1:10312631              0.7               1838000        2754796.2
06:13:11.026 INFO  ProgressMeter -        chr1:12927460              0.8               2311000        2771204.7
06:13:21.040 INFO  ProgressMeter -        chr1:15547456              1.0               2785000        2782681.1
06:13:31.055 INFO  ProgressMeter -        chr1:18266092              1.2               3256000        2788268.0
06:13:41.068 INFO  ProgressMeter -        chr1:20828203              1.3               3723000        2789530.2
06:13:51.087 INFO  ProgressMeter -        chr1:23332236              1.5               4185000        2786965.3
06:14:01.093 INFO  ProgressMeter -        chr1:25894475              1.7               4647000        2785303.3
06:14:11.104 INFO  ProgressMeter -        chr1:28470252              1.8               5120000        2789810.7
06:14:21.108 INFO  ProgressMeter -        chr1:30991343              2.0               5588000        2791232.0
06:14:31.108 INFO  ProgressMeter -        chr1:33546702              2.2               6056000        2792520.7
06:14:41.126 INFO  ProgressMeter -        chr1:36210713              2.3               6527000        2794551.0
06:14:51.137 INFO  ProgressMeter -        chr1:38768309              2.5               6997000        2796041.2
06:15:01.158 INFO  ProgressMeter -        chr1:41347876              2.7               7463000        2795672.1
06:15:11.159 INFO  ProgressMeter -        chr1:43875779              2.8               7929000        2795674.9
06:15:21.165 INFO  ProgressMeter -        chr1:46444677              3.0               8403000        2798263.9
06:15:31.167 INFO  ProgressMeter -        chr1:49036918              3.2               8873000        2799392.1
06:15:41.176 INFO  ProgressMeter -        chr1:51805997              3.3               9353000        2803278.9
06:15:51.178 INFO  ProgressMeter -        chr1:54411209              3.5               9824000        2804346.6
06:16:01.178 INFO  ProgressMeter -        chr1:57000660              3.7              10289000        2803682.3
06:16:11.178 INFO  ProgressMeter -        chr1:59667143              3.8              10751000        2802305.9
06:16:21.195 INFO  ProgressMeter -        chr1:62263677              4.0              11213000        2800845.9
06:16:31.200 INFO  ProgressMeter -        chr1:64951337              4.2              11680000        2800836.1
06:16:41.202 INFO  ProgressMeter -        chr1:67595302              4.3              12146000        2800628.7
06:16:51.219 INFO  ProgressMeter -        chr1:70347202              4.5              12617000        2801391.4
06:17:01.224 INFO  ProgressMeter -        chr1:73303318              4.7              13087000        2802005.5
06:17:11.237 INFO  ProgressMeter -        chr1:76208461              4.8              13556000        2802302.9
06:17:21.253 INFO  ProgressMeter -        chr1:78974596              5.0              14026000        2802742.9
06:17:31.258 INFO  ProgressMeter -        chr1:81887280              5.2              14480000        2800159.9
06:17:41.264 INFO  ProgressMeter -        chr1:84730197              5.3              14947000        2800156.1
06:17:51.280 INFO  ProgressMeter -        chr1:87447400              5.5              15412000        2799713.0
06:18:01.297 INFO  ProgressMeter -        chr1:90120012              5.7              15885000        2800706.4
06:18:11.312 INFO  ProgressMeter -        chr1:92889976              5.8              16355000        2801137.2
06:18:21.316 INFO  ProgressMeter -        chr1:95474596              6.0              16826000        2801788.4
06:18:31.337 INFO  ProgressMeter -        chr1:98275838              6.2              17291000        2801318.8
06:18:41.336 INFO  ProgressMeter -       chr1:100992887              6.3              17760000        2801652.2
06:18:51.342 INFO  ProgressMeter -       chr1:104200774              6.5              18218000        2800241.8
06:19:01.356 INFO  ProgressMeter -       chr1:107160403              6.7              18677000        2798988.9
