Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P023/P023_dna_tumor.marked.bam --bqsr-recal-file results/recal/P023/P023_dna_tumor_recal_data.table -O results/recal/P023/P023_dna_tumor_recal.bam --create-output-bam-index false
00:04:43.646 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
00:04:43.928 INFO  ApplyBQSR - ------------------------------------------------------------
00:04:43.931 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
00:04:43.931 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
00:04:43.931 INFO  ApplyBQSR - Executing as vsc35407@i28l17 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
00:04:43.932 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
00:04:43.932 INFO  ApplyBQSR - Start Date/Time: June 25, 2024 at 12:04:43 AM CEST
00:04:43.932 INFO  ApplyBQSR - ------------------------------------------------------------
00:04:43.933 INFO  ApplyBQSR - ------------------------------------------------------------
00:04:43.933 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
00:04:43.933 INFO  ApplyBQSR - Picard Version: 3.1.1
00:04:43.933 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
00:04:43.934 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
00:04:43.934 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
00:04:43.934 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
00:04:43.934 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
00:04:43.934 INFO  ApplyBQSR - Deflater: IntelDeflater
00:04:43.935 INFO  ApplyBQSR - Inflater: IntelInflater
00:04:43.935 INFO  ApplyBQSR - GCS max retries/reopens: 20
00:04:43.935 INFO  ApplyBQSR - Requester pays: disabled
00:04:43.935 INFO  ApplyBQSR - Initializing engine
00:04:44.101 INFO  ApplyBQSR - Done initializing engine
00:04:44.132 INFO  ProgressMeter - Starting traversal
00:04:44.133 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
00:04:54.143 INFO  ProgressMeter -         chr1:1686291              0.2                626000        3752622.6
00:05:04.155 INFO  ProgressMeter -         chr1:3404634              0.3               1288000        3859754.3
00:05:14.169 INFO  ProgressMeter -         chr1:5214558              0.5               1944000        3883469.3
00:05:24.173 INFO  ProgressMeter -         chr1:7027825              0.7               2600000        3896103.9
00:05:34.176 INFO  ProgressMeter -         chr1:8903886              0.8               3256000        3903842.7
00:05:44.176 INFO  ProgressMeter -        chr1:10792237              1.0               3911000        3908199.1
00:05:54.178 INFO  ProgressMeter -        chr1:12638606              1.2               4565000        3910399.2
00:06:04.192 INFO  ProgressMeter -        chr1:14478538              1.3               5220000        3912163.7
00:06:14.196 INFO  ProgressMeter -        chr1:16259634              1.5               5873000        3912594.5
00:06:24.202 INFO  ProgressMeter -        chr1:17821018              1.7               6524000        3911700.9
00:06:34.216 INFO  ProgressMeter -        chr1:19642951              1.8               7180000        3913410.8
00:06:44.218 INFO  ProgressMeter -        chr1:21501166              2.0               7834000        3914227.4
00:06:54.228 INFO  ProgressMeter -        chr1:23350586              2.2               8488000        3914677.7
00:07:04.242 INFO  ProgressMeter -        chr1:25242226              2.3               9137000        3912838.7
00:07:14.253 INFO  ProgressMeter -        chr1:27127345              2.5               9793000        3914068.7
00:07:24.262 INFO  ProgressMeter -        chr1:29036590              2.7              10440000        3911846.1
00:07:34.263 INFO  ProgressMeter -        chr1:30817974              2.8              11095000        3912890.1
00:07:44.267 INFO  ProgressMeter -        chr1:32709019              3.0              11744000        3911754.6
00:07:54.269 INFO  ProgressMeter -        chr1:34504141              3.2              12398000        3912357.5
00:08:04.281 INFO  ProgressMeter -        chr1:36393875              3.3              13054000        3913304.2
00:08:14.294 INFO  ProgressMeter -        chr1:38213414              3.5              13710000        3914142.0
00:08:24.294 INFO  ProgressMeter -        chr1:40101706              3.7              14364000        3914589.8
00:08:34.305 INFO  ProgressMeter -        chr1:41931165              3.8              15019000        3915072.2
00:08:44.315 INFO  ProgressMeter -        chr1:43795945              4.0              15675000        3915780.5
00:08:54.325 INFO  ProgressMeter -        chr1:45671115              4.2              16330000        3916192.4
00:09:04.328 INFO  ProgressMeter -        chr1:47505388              4.3              16985000        3916677.9
00:09:14.343 INFO  ProgressMeter -        chr1:49306006              4.5              17642000        3917412.1
00:09:24.352 INFO  ProgressMeter -        chr1:51165860              4.7              18298000        3917949.6
00:09:34.363 INFO  ProgressMeter -        chr1:53078687              4.8              18953000        3918202.8
00:09:44.364 INFO  ProgressMeter -        chr1:54896605              5.0              19608000        3918582.7
00:09:54.376 INFO  ProgressMeter -        chr1:56720831              5.2              20264000        3918992.5
00:10:04.381 INFO  ProgressMeter -        chr1:58527562              5.3              20914000        3918338.3
00:10:14.396 INFO  ProgressMeter -        chr1:60357755              5.5              21571000        3918876.8
00:10:24.396 INFO  ProgressMeter -        chr1:62254051              5.7              22227000        3919380.0
