Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P060/P060_dna_normal.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/P060/P060_dna_normal_recal_data.table
13:02:15.005 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
13:02:15.220 INFO  BaseRecalibrator - ------------------------------------------------------------
13:02:15.222 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
13:02:15.222 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
13:02:15.222 INFO  BaseRecalibrator - Executing as vsc35407@i28l15 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
13:02:15.222 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
13:02:15.222 INFO  BaseRecalibrator - Start Date/Time: June 21, 2024 at 1:02:14 PM CEST
13:02:15.222 INFO  BaseRecalibrator - ------------------------------------------------------------
13:02:15.222 INFO  BaseRecalibrator - ------------------------------------------------------------
13:02:15.223 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
13:02:15.223 INFO  BaseRecalibrator - Picard Version: 3.1.1
13:02:15.223 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
13:02:15.223 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:02:15.223 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:02:15.223 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:02:15.223 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:02:15.223 INFO  BaseRecalibrator - Deflater: IntelDeflater
13:02:15.223 INFO  BaseRecalibrator - Inflater: IntelInflater
13:02:15.224 INFO  BaseRecalibrator - GCS max retries/reopens: 20
13:02:15.224 INFO  BaseRecalibrator - Requester pays: disabled
13:02:15.224 INFO  BaseRecalibrator - Initializing engine
13:02:15.387 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
13:02:15.528 INFO  BaseRecalibrator - Done initializing engine
13:02:15.531 INFO  BaseRecalibrationEngine - The covariates being used here: 
13:02:15.531 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
13:02:15.531 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
13:02:15.531 INFO  BaseRecalibrationEngine - 	ContextCovariate
13:02:15.531 INFO  BaseRecalibrationEngine - 	CycleCovariate
13:02:15.533 INFO  ProgressMeter - Starting traversal
13:02:15.533 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
13:02:25.541 INFO  ProgressMeter -         chr1:3069915              0.2                607000        3639816.1
13:02:35.546 INFO  ProgressMeter -         chr1:6351077              0.3               1269000        3804527.1
13:02:45.552 INFO  ProgressMeter -         chr1:9623480              0.5               1919000        3835570.8
13:02:55.559 INFO  ProgressMeter -        chr1:12966548              0.7               2582000        3870580.9
13:03:05.561 INFO  ProgressMeter -        chr1:16424113              0.8               3245000        3891820.6
13:03:15.565 INFO  ProgressMeter -        chr1:19704710              1.0               3917000        3914912.0
13:03:25.581 INFO  ProgressMeter -        chr1:23093303              1.2               4593000        3934215.6
13:03:35.581 INFO  ProgressMeter -        chr1:26450363              1.3               5263000        3944883.1
13:03:45.592 INFO  ProgressMeter -        chr1:29891865              1.5               5954000        3966732.9
13:03:55.597 INFO  ProgressMeter -        chr1:33260982              1.7               6629000        3974856.1
13:04:05.602 INFO  ProgressMeter -        chr1:36689290              1.8               7315000        3987498.8
13:04:15.615 INFO  ProgressMeter -        chr1:40091844              2.0               7993000        3993804.2
13:04:25.614 INFO  ProgressMeter -        chr1:43467759              2.2               8669000        3998585.5
13:04:35.619 INFO  ProgressMeter -        chr1:46890078              2.3               9356000        4007252.7
13:04:45.631 INFO  ProgressMeter -        chr1:50388911              2.5              10050000        4017375.3
13:04:55.633 INFO  ProgressMeter -        chr1:53786642              2.7              10719000        4017114.3
13:05:05.641 INFO  ProgressMeter -        chr1:57122642              2.8              11386000        4016036.9
13:05:15.645 INFO  ProgressMeter -        chr1:60392704              3.0              12034000        4008861.2
13:05:25.648 INFO  ProgressMeter -        chr1:63672416              3.2              12672000        3999263.6
13:05:35.653 INFO  ProgressMeter -        chr1:66906946              3.3              13316000        3992404.6
13:05:45.662 INFO  ProgressMeter -        chr1:70208197              3.5              13959000        3985837.3
13:05:55.673 INFO  ProgressMeter -        chr1:73559257              3.7              14608000        3981466.3
13:06:05.684 INFO  ProgressMeter -        chr1:76885647              3.8              15255000        3976954.3
13:06:15.687 INFO  ProgressMeter -        chr1:80149479              4.0              15891000        3970219.0
13:06:25.690 INFO  ProgressMeter -        chr1:83481210              4.2              16534000        3965669.6
13:06:35.696 INFO  ProgressMeter -        chr1:86780157              4.3              17175000        3960978.3
13:06:45.701 INFO  ProgressMeter -        chr1:90088726              4.5              17828000        3959328.9
13:06:55.703 INFO  ProgressMeter -        chr1:93431930              4.7              18480000        3957597.2
13:07:05.712 INFO  ProgressMeter -        chr1:96685307              4.8              19127000        3954869.2
13:07:15.720 INFO  ProgressMeter -       chr1:100007775              5.0              19771000        3951736.8
13:07:25.732 INFO  ProgressMeter -       chr1:103318419              5.2              20414000        3948562.1
13:07:35.737 INFO  ProgressMeter -       chr1:106963877              5.3              21051000        3944547.9
13:07:45.746 INFO  ProgressMeter -       chr1:110316881              5.5              21697000        3942376.4
13:07:55.753 INFO  ProgressMeter -       chr1:113500965              5.7              22326000        3937334.7
13:08:05.759 INFO  ProgressMeter -       chr1:116744733              5.8              22971000        3935344.6
13:08:15.759 INFO  ProgressMeter -       chr1:120002670              6.0              23617000        3933697.2
13:08:25.766 INFO  ProgressMeter -       chr1:128221871              6.2              24226000        3926078.8
13:08:35.773 INFO  ProgressMeter -       chr1:142845588              6.3              24750000        3905428.2
13:08:45.787 INFO  ProgressMeter -       chr1:147625579              6.5              25360000        3898999.1
13:08:55.801 INFO  ProgressMeter -       chr1:151157433              6.7              25995000        3896639.3
