Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P024/P024_dna_tumor.marked.bam --bqsr-recal-file results/recal/P024/P024_dna_tumor_recal_data.table -O results/recal/P024/P024_dna_tumor_recal.bam --create-output-bam-index false
12:21:08.733 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
12:21:08.974 INFO  ApplyBQSR - ------------------------------------------------------------
12:21:08.976 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
12:21:08.977 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
12:21:08.977 INFO  ApplyBQSR - Executing as vsc35407@g28l12 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
12:21:08.977 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
12:21:08.977 INFO  ApplyBQSR - Start Date/Time: April 2, 2024 at 12:21:08 PM CEST
12:21:08.977 INFO  ApplyBQSR - ------------------------------------------------------------
12:21:08.977 INFO  ApplyBQSR - ------------------------------------------------------------
12:21:08.978 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
12:21:08.978 INFO  ApplyBQSR - Picard Version: 3.1.1
12:21:08.978 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
12:21:08.978 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
12:21:08.978 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
12:21:08.978 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
12:21:08.978 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
12:21:08.979 INFO  ApplyBQSR - Deflater: IntelDeflater
12:21:08.979 INFO  ApplyBQSR - Inflater: IntelInflater
12:21:08.979 INFO  ApplyBQSR - GCS max retries/reopens: 20
12:21:08.979 INFO  ApplyBQSR - Requester pays: disabled
12:21:08.979 INFO  ApplyBQSR - Initializing engine
12:21:09.124 INFO  ApplyBQSR - Done initializing engine
12:21:09.148 INFO  ProgressMeter - Starting traversal
12:21:09.148 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
12:21:19.151 INFO  ProgressMeter -          chr1:778668              0.2                637000        3821235.8
12:21:29.161 INFO  ProgressMeter -         chr1:1698942              0.3               1284000        3849690.2
12:21:39.163 INFO  ProgressMeter -         chr1:2687262              0.5               1942000        3882188.3
12:21:49.163 INFO  ProgressMeter -         chr1:3605915              0.7               2582000        3871644.9
12:21:59.166 INFO  ProgressMeter -         chr1:4470079              0.8               3227000        3871083.8
12:22:09.168 INFO  ProgressMeter -         chr1:5334155              1.0               3873000        3871709.4
12:22:19.182 INFO  ProgressMeter -         chr1:6235217              1.2               4519000        3871603.4
12:22:29.186 INFO  ProgressMeter -         chr1:7095276              1.3               5163000        3870459.9
12:22:39.195 INFO  ProgressMeter -         chr1:7958169              1.5               5807000        3869355.7
12:22:49.207 INFO  ProgressMeter -         chr1:8775843              1.7               6450000        3867718.0
12:22:59.209 INFO  ProgressMeter -         chr1:9644267              1.8               7093000        3866764.8
12:23:09.223 INFO  ProgressMeter -        chr1:10511302              2.0               7736000        3865584.0
12:23:19.227 INFO  ProgressMeter -        chr1:11395565              2.2               8378000        3864420.9
12:23:29.227 INFO  ProgressMeter -        chr1:12255085              2.3               9020000        3863534.1
12:23:39.230 INFO  ProgressMeter -        chr1:13096788              2.5               9660000        3861914.6
12:23:49.229 INFO  ProgressMeter -        chr1:13923147              2.7              10305000        3862419.7
12:23:59.231 INFO  ProgressMeter -        chr1:14783405              2.8              10950000        3862842.6
12:24:09.235 INFO  ProgressMeter -        chr1:15642238              3.0              11593000        3862466.5
12:24:19.242 INFO  ProgressMeter -        chr1:16447324              3.2              12229000        3859900.2
12:24:29.256 INFO  ProgressMeter -        chr1:17167955              3.3              12871000        3859216.0
12:24:39.267 INFO  ProgressMeter -        chr1:18076706              3.5              13515000        3859241.7
12:24:49.281 INFO  ProgressMeter -        chr1:18956209              3.7              14158000        3858939.8
12:24:59.292 INFO  ProgressMeter -        chr1:19811688              3.8              14804000        3859496.7
12:25:09.295 INFO  ProgressMeter -        chr1:20681716              4.0              15449000        3859885.8
12:25:19.295 INFO  ProgressMeter -        chr1:21531979              4.2              16093000        3860050.3
12:25:29.295 INFO  ProgressMeter -        chr1:22398007              4.3              16737000        3860202.1
12:25:39.303 INFO  ProgressMeter -        chr1:23259752              4.5              17382000        3860450.5
12:25:49.312 INFO  ProgressMeter -        chr1:24120315              4.7              18027000        3860667.3
12:25:59.322 INFO  ProgressMeter -        chr1:24931355              4.8              18690000        3864591.1
12:26:09.329 INFO  ProgressMeter -        chr1:25796212              5.0              19333000        3864281.4
12:26:19.338 INFO  ProgressMeter -        chr1:26655899              5.2              19977000        3864147.8
12:26:29.347 INFO  ProgressMeter -        chr1:27539335              5.3              20621000        3864046.6
12:26:39.351 INFO  ProgressMeter -        chr1:28392224              5.5              21266000        3864180.1
12:26:49.360 INFO  ProgressMeter -        chr1:29262094              5.7              21912000        3864414.0
12:26:59.367 INFO  ProgressMeter -        chr1:30129471              5.8              22557000        3864496.2
12:27:09.376 INFO  ProgressMeter -        chr1:30982651              6.0              23199000        3864063.5
12:27:19.382 INFO  ProgressMeter -        chr1:31829190              6.2              23844000        3864161.2
12:27:29.391 INFO  ProgressMeter -        chr1:32695812              6.3              24490000        3864370.9
12:27:39.396 INFO  ProgressMeter -        chr1:33534538              6.5              25134000        3864321.8
12:27:49.409 INFO  ProgressMeter -        chr1:34382303              6.7              25779000        3864328.5
12:27:59.417 INFO  ProgressMeter -        chr1:35222506              6.8              26424000        3864391.4
12:28:09.422 INFO  ProgressMeter -        chr1:36051893              7.0              27069000        3864478.9
12:28:19.432 INFO  ProgressMeter -        chr1:36926817              7.2              27714000        3864517.4
12:28:29.432 INFO  ProgressMeter -        chr1:37791663              7.3              28358000        3864505.6
12:28:39.447 INFO  ProgressMeter -        chr1:38637469              7.5              29003000        3864507.5
12:28:49.448 INFO  ProgressMeter -        chr1:39481475              7.7              29647000        3864479.7
12:28:59.450 INFO  ProgressMeter -        chr1:40313510              7.8              30291000        3864453.1
12:29:09.456 INFO  ProgressMeter -        chr1:41138682              8.0              30934000        3864270.4
12:29:19.467 INFO  ProgressMeter -        chr1:41963164              8.2              31578000        3864178.2
12:29:29.480 INFO  ProgressMeter -        chr1:42772293              8.3              32223000        3864201.9
12:29:39.479 INFO  ProgressMeter -        chr1:43635927              8.5              32865000        3863962.8
12:29:49.493 INFO  ProgressMeter -        chr1:44476518              8.7              33509000        3863859.6
12:29:59.495 INFO  ProgressMeter -        chr1:45315361              8.8              34150000        3863508.2
12:30:09.501 INFO  ProgressMeter -        chr1:46140097              9.0              34794000        3863481.6
12:30:19.511 INFO  ProgressMeter -        chr1:46967898              9.2              35436000        3863195.7
12:30:29.517 INFO  ProgressMeter -        chr1:47822027              9.3              36078000        3862954.6
12:30:39.520 INFO  ProgressMeter -        chr1:48651315              9.5              36723000        3863064.6
12:30:49.533 INFO  ProgressMeter -        chr1:49463528              9.7              37369000        3863194.3
12:30:59.534 INFO  ProgressMeter -        chr1:50267243              9.8              38013000        3863201.4
12:31:09.542 INFO  ProgressMeter -        chr1:51068383             10.0              38659000        3863363.1
12:31:19.551 INFO  ProgressMeter -        chr1:51864758             10.2              39304000        3863414.8
12:31:29.565 INFO  ProgressMeter -        chr1:52694088             10.3              39947000        3863246.6
12:31:39.571 INFO  ProgressMeter -        chr1:53545352             10.5              40591000        3863215.7
12:31:49.583 INFO  ProgressMeter -        chr1:54389089             10.7              41234000        3863061.8
12:31:59.594 INFO  ProgressMeter -        chr1:55228184             10.8              41876000        3862826.4
