Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx200g -XX:+UseParallelGC -XX:ParallelGCThreads=4 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar Mutect2 -R resources/genome.fa -I results/recal/P023/P023_dna_normal_recal.bam --max-mnp-distance 0 -O results/mutect2/pon/P023_normal_for_pon.vcf.gz
11:22:42.750 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
11:22:43.061 INFO  Mutect2 - ------------------------------------------------------------
11:22:43.064 INFO  Mutect2 - The Genome Analysis Toolkit (GATK) v4.5.0.0
11:22:43.064 INFO  Mutect2 - For support and documentation go to https://software.broadinstitute.org/gatk/
11:22:43.064 INFO  Mutect2 - Executing as vsc35407@g28l20 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
11:22:43.064 INFO  Mutect2 - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
11:22:43.064 INFO  Mutect2 - Start Date/Time: June 25, 2024 at 11:22:42 AM CEST
11:22:43.065 INFO  Mutect2 - ------------------------------------------------------------
11:22:43.065 INFO  Mutect2 - ------------------------------------------------------------
11:22:43.065 INFO  Mutect2 - HTSJDK Version: 4.1.0
11:22:43.065 INFO  Mutect2 - Picard Version: 3.1.1
11:22:43.065 INFO  Mutect2 - Built for Spark Version: 3.5.0
11:22:43.066 INFO  Mutect2 - HTSJDK Defaults.COMPRESSION_LEVEL : 2
11:22:43.066 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
11:22:43.066 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
11:22:43.066 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
11:22:43.066 INFO  Mutect2 - Deflater: IntelDeflater
11:22:43.066 INFO  Mutect2 - Inflater: IntelInflater
11:22:43.066 INFO  Mutect2 - GCS max retries/reopens: 20
11:22:43.066 INFO  Mutect2 - Requester pays: disabled
11:22:43.067 INFO  Mutect2 - Initializing engine
11:22:43.194 INFO  Mutect2 - Done initializing engine
11:22:43.201 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
11:22:43.282 INFO  NativeLibraryLoader - Loading libgkl_smithwaterman.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_smithwaterman.so
11:22:43.283 INFO  IntelSmithWaterman - Using CPU-supported AVX-512 instructions
11:22:43.283 INFO  SmithWatermanAligner - Using AVX accelerated SmithWaterman implementation
11:22:43.293 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
11:22:43.320 INFO  IntelPairHmm - Using CPU-supported AVX-512 instructions
11:22:43.320 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
11:22:43.323 INFO  IntelPairHmm - Available threads: 4
11:22:43.323 INFO  IntelPairHmm - Requested threads: 4
11:22:43.323 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
11:22:43.388 INFO  ProgressMeter - Starting traversal
11:22:43.389 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
11:22:53.396 INFO  ProgressMeter -          chr1:316503              0.2                  1620           9714.2
11:23:03.397 INFO  ProgressMeter -         chr1:1043147              0.3                  5130          15383.8
11:23:13.413 INFO  ProgressMeter -         chr1:1541433              0.5                  8030          16047.2
11:23:23.436 INFO  ProgressMeter -         chr1:2152944              0.7                 11360          17020.0
11:23:33.441 INFO  ProgressMeter -         chr1:2767994              0.8                 14650          17561.7
11:23:43.457 INFO  ProgressMeter -         chr1:3445237              1.0                 18180          18159.7
11:23:53.461 INFO  ProgressMeter -         chr1:3983348              1.2                 21130          18092.8
11:24:03.463 INFO  ProgressMeter -         chr1:4517259              1.3                 24210          18140.9
11:24:13.472 INFO  ProgressMeter -         chr1:5145553              1.5                 27540          18343.1
11:24:23.494 INFO  ProgressMeter -         chr1:5895871              1.7                 31350          18790.5
11:24:33.537 INFO  ProgressMeter -         chr1:6633737              1.8                 35140          19141.5
11:24:43.546 INFO  ProgressMeter -         chr1:7382329              2.0                 38910          19429.6
11:24:53.552 INFO  ProgressMeter -         chr1:8030266              2.2                 42290          19494.2
11:25:03.562 INFO  ProgressMeter -         chr1:8771750              2.3                 45960          19672.8
11:25:13.563 INFO  ProgressMeter -         chr1:9574190              2.5                 49860          19920.9
11:25:23.570 INFO  ProgressMeter -        chr1:10223793              2.7                 53320          19972.4
11:25:33.591 INFO  ProgressMeter -        chr1:10968138              2.8                 57150          20146.6
11:25:43.607 INFO  ProgressMeter -        chr1:11606664              3.0                 60540          20155.6
11:25:53.626 INFO  ProgressMeter -        chr1:12422559              3.2                 64420          20317.8
11:26:03.640 INFO  ProgressMeter -        chr1:13097372              3.3                 68100          20404.4
11:26:13.655 INFO  ProgressMeter -        chr1:13782957              3.5                 71660          20448.4
11:26:23.680 INFO  ProgressMeter -        chr1:14379965              3.7                 74960          20416.6
11:26:33.688 INFO  ProgressMeter -        chr1:15031660              3.8                 78400          20425.6
11:26:43.695 INFO  ProgressMeter -        chr1:15583147              4.0                 81550          20361.5
11:26:53.718 INFO  ProgressMeter -        chr1:16108556              4.2                 84370          20222.2
11:27:03.772 INFO  ProgressMeter -        chr1:16441292              4.3                 86280          19881.5
11:27:13.802 INFO  ProgressMeter -        chr1:16724052              4.5                 88020          19530.1
11:27:23.869 INFO  ProgressMeter -        chr1:17205540              4.7                 90810          19426.0
11:27:33.872 INFO  ProgressMeter -        chr1:17919302              4.8                 94510          19521.3
11:27:43.906 INFO  ProgressMeter -        chr1:18566459              5.0                 97990          19564.3
11:27:53.907 INFO  ProgressMeter -        chr1:19137680              5.2                101230          19560.2
11:28:03.914 INFO  ProgressMeter -        chr1:19768809              5.3                104650          19589.7
11:28:13.915 INFO  ProgressMeter -        chr1:20411414              5.5                108090          19621.5
11:28:23.934 INFO  ProgressMeter -        chr1:21032672              5.7                111450          19636.2
11:28:33.935 INFO  ProgressMeter -        chr1:21658628              5.8                114830          19654.5
11:28:43.944 INFO  ProgressMeter -        chr1:22213548              6.0                117920          19623.1
11:28:53.948 INFO  ProgressMeter -        chr1:22946443              6.2                121680          19702.1
11:29:03.959 INFO  ProgressMeter -        chr1:23650135              6.3                125350          19762.5
11:29:13.976 INFO  ProgressMeter -        chr1:24270904              6.5                128740          19776.4
11:29:24.017 INFO  ProgressMeter -        chr1:24985519              6.7                132350          19821.4
11:29:34.032 INFO  ProgressMeter -        chr1:25818389              6.8                136390          19928.3
11:29:44.051 INFO  ProgressMeter -        chr1:26477500              7.0                139820          19942.9
11:29:54.053 INFO  ProgressMeter -        chr1:27190306              7.2                143490          19991.0
11:30:04.061 INFO  ProgressMeter -        chr1:28036573              7.3                147450          20076.2
11:30:14.076 INFO  ProgressMeter -        chr1:28635474              7.5                150780          20073.4
11:30:24.090 INFO  ProgressMeter -        chr1:29359952              7.7                154490          20120.2
11:30:34.099 INFO  ProgressMeter -        chr1:30114858              7.8                158290          20176.8
11:30:44.116 INFO  ProgressMeter -        chr1:30811489              8.0                161930          20210.6
11:30:54.132 INFO  ProgressMeter -        chr1:31507189              8.2                165520          20237.1
11:31:04.139 INFO  ProgressMeter -        chr1:32473714              8.3                169910          20358.7
11:31:14.166 INFO  ProgressMeter -        chr1:33285447              8.5                173850          20421.8
