Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P105/P105_dna_tumor.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/P105/P105_dna_tumor_recal_data.table
16:06:22.108 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:06:22.227 INFO  BaseRecalibrator - ------------------------------------------------------------
16:06:22.230 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
16:06:22.230 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
16:06:22.230 INFO  BaseRecalibrator - Executing as vsc35407@g28l05 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
16:06:22.230 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
16:06:22.231 INFO  BaseRecalibrator - Start Date/Time: June 21, 2024 at 4:06:22 PM CEST
16:06:22.231 INFO  BaseRecalibrator - ------------------------------------------------------------
16:06:22.231 INFO  BaseRecalibrator - ------------------------------------------------------------
16:06:22.231 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
16:06:22.231 INFO  BaseRecalibrator - Picard Version: 3.1.1
16:06:22.232 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
16:06:22.232 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
16:06:22.232 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
16:06:22.232 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
16:06:22.232 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
16:06:22.232 INFO  BaseRecalibrator - Deflater: IntelDeflater
16:06:22.232 INFO  BaseRecalibrator - Inflater: IntelInflater
16:06:22.232 INFO  BaseRecalibrator - GCS max retries/reopens: 20
16:06:22.233 INFO  BaseRecalibrator - Requester pays: disabled
16:06:22.233 INFO  BaseRecalibrator - Initializing engine
16:06:22.367 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
16:06:22.450 INFO  BaseRecalibrator - Done initializing engine
16:06:22.455 INFO  BaseRecalibrationEngine - The covariates being used here: 
16:06:22.455 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
16:06:22.455 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
16:06:22.455 INFO  BaseRecalibrationEngine - 	ContextCovariate
16:06:22.455 INFO  BaseRecalibrationEngine - 	CycleCovariate
16:06:22.458 INFO  ProgressMeter - Starting traversal
16:06:22.458 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
16:06:32.474 INFO  ProgressMeter -         chr1:1566341              0.2                398000        2385137.8
16:06:42.479 INFO  ProgressMeter -         chr1:3127488              0.3                846000        2535464.5
16:06:52.503 INFO  ProgressMeter -         chr1:4799213              0.5               1288000        2572227.4
16:07:02.503 INFO  ProgressMeter -         chr1:6471058              0.7               1735000        2599640.4
16:07:12.515 INFO  ProgressMeter -         chr1:8161415              0.8               2174000        2605881.4
16:07:22.524 INFO  ProgressMeter -         chr1:9853197              1.0               2625000        2622159.3
16:07:32.544 INFO  ProgressMeter -        chr1:11523962              1.2               3075000        2632517.7
16:07:42.551 INFO  ProgressMeter -        chr1:13296101              1.3               3515000        2633254.7
16:07:52.568 INFO  ProgressMeter -        chr1:15015071              1.5               3963000        2638804.1
16:08:02.577 INFO  ProgressMeter -        chr1:16878624              1.7               4402000        2638113.4
16:08:12.592 INFO  ProgressMeter -        chr1:18571875              1.8               4852000        2643349.4
16:08:22.592 INFO  ProgressMeter -        chr1:20270671              2.0               5303000        2648564.5
16:08:32.607 INFO  ProgressMeter -        chr1:22000774              2.2               5755000        2653133.4
16:08:42.616 INFO  ProgressMeter -        chr1:23718244              2.3               6207000        2657144.1
16:08:52.631 INFO  ProgressMeter -        chr1:25454484              2.5               6654000        2658640.0
16:09:02.631 INFO  ProgressMeter -        chr1:27154834              2.7               7110000        2663386.9
16:09:12.642 INFO  ProgressMeter -        chr1:28896099              2.8               7568000        2668170.9
16:09:22.654 INFO  ProgressMeter -        chr1:30602855              3.0               8020000        2670440.4
16:09:32.666 INFO  ProgressMeter -        chr1:32305944              3.2               8472000        2672442.8
16:09:42.677 INFO  ProgressMeter -        chr1:34052814              3.3               8929000        2675770.0
16:09:52.679 INFO  ProgressMeter -        chr1:35843688              3.5               9385000        2678609.7
16:10:02.682 INFO  ProgressMeter -        chr1:37556918              3.7               9841000        2681179.2
16:10:12.697 INFO  ProgressMeter -        chr1:39315382              3.8              10295000        2682864.3
16:10:22.704 INFO  ProgressMeter -        chr1:41062761              4.0              10748000        2684259.8
16:10:32.723 INFO  ProgressMeter -        chr1:42800976              4.2              11199000        2684914.0
16:10:42.736 INFO  ProgressMeter -        chr1:44513808              4.3              11656000        2686973.2
16:10:52.747 INFO  ProgressMeter -        chr1:46276770              4.5              12114000        2689121.6
16:11:02.755 INFO  ProgressMeter -        chr1:48029060              4.7              12569000        2690503.3
16:11:12.759 INFO  ProgressMeter -        chr1:49960271              4.8              13030000        2693066.9
16:11:22.765 INFO  ProgressMeter -        chr1:51802174              5.0              13490000        2695241.9
16:11:32.772 INFO  ProgressMeter -        chr1:53580763              5.2              13945000        2696309.9
16:11:42.774 INFO  ProgressMeter -        chr1:55288693              5.3              14397000        2696782.9
16:11:52.792 INFO  ProgressMeter -        chr1:57154677              5.5              14849000        2697088.4
16:12:02.806 INFO  ProgressMeter -        chr1:58991141              5.7              15301000        2697439.4
16:12:12.814 INFO  ProgressMeter -        chr1:60871248              5.8              15756000        2698291.7
16:12:22.831 INFO  ProgressMeter -        chr1:62730438              6.0              16200000        2697212.9
16:12:32.848 INFO  ProgressMeter -        chr1:64589741              6.2              16649000        2697002.3
16:12:42.852 INFO  ProgressMeter -        chr1:66425810              6.3              17102000        2697518.9
16:12:52.853 INFO  ProgressMeter -        chr1:68275749              6.5              17553000        2697729.2
16:13:02.865 INFO  ProgressMeter -        chr1:70246184              6.7              18009000        2698610.9
