Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P018_dna_tumor.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/table/P018_dna_tumor_recal_data.table
11:07:02.396 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
11:07:02.642 INFO  BaseRecalibrator - ------------------------------------------------------------
11:07:02.644 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
11:07:02.644 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
11:07:02.644 INFO  BaseRecalibrator - Executing as vsc35407@i28l15 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
11:07:02.645 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
11:07:02.645 INFO  BaseRecalibrator - Start Date/Time: March 31, 2024 at 11:07:01 AM CEST
11:07:02.645 INFO  BaseRecalibrator - ------------------------------------------------------------
11:07:02.645 INFO  BaseRecalibrator - ------------------------------------------------------------
11:07:02.645 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
11:07:02.645 INFO  BaseRecalibrator - Picard Version: 3.1.1
11:07:02.645 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
11:07:02.646 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
11:07:02.646 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
11:07:02.646 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
11:07:02.646 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
11:07:02.646 INFO  BaseRecalibrator - Deflater: IntelDeflater
11:07:02.646 INFO  BaseRecalibrator - Inflater: IntelInflater
11:07:02.646 INFO  BaseRecalibrator - GCS max retries/reopens: 20
11:07:02.646 INFO  BaseRecalibrator - Requester pays: disabled
11:07:02.646 INFO  BaseRecalibrator - Initializing engine
11:07:02.799 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
11:07:02.899 INFO  BaseRecalibrator - Done initializing engine
11:07:02.902 INFO  BaseRecalibrationEngine - The covariates being used here: 
11:07:02.903 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
11:07:02.903 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
11:07:02.903 INFO  BaseRecalibrationEngine - 	ContextCovariate
11:07:02.903 INFO  BaseRecalibrationEngine - 	CycleCovariate
11:07:02.905 INFO  ProgressMeter - Starting traversal
11:07:02.905 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
11:07:12.921 INFO  ProgressMeter -         chr1:1911015              0.2                616000        3691201.4
11:07:22.929 INFO  ProgressMeter -         chr1:3804061              0.3               1295000        3880537.4
11:07:32.938 INFO  ProgressMeter -         chr1:5681310              0.5               1975000        3945791.2
11:07:42.937 INFO  ProgressMeter -         chr1:7590833              0.7               2648000        3968824.9
11:07:52.946 INFO  ProgressMeter -         chr1:9622896              0.8               3334000        3997601.9
11:08:02.949 INFO  ProgressMeter -        chr1:11588604              1.0               4014000        4011058.6
11:08:12.950 INFO  ProgressMeter -        chr1:13577541              1.2               4687000        4014904.9
11:08:22.957 INFO  ProgressMeter -        chr1:15519792              1.3               5370000        4024883.8
11:08:32.967 INFO  ProgressMeter -        chr1:17738501              1.5               6043000        4025893.3
11:08:42.973 INFO  ProgressMeter -        chr1:19652630              1.7               6727000        4033457.2
11:08:52.974 INFO  ProgressMeter -        chr1:21657021              1.8               7414000        4041501.6
11:09:02.977 INFO  ProgressMeter -        chr1:23625273              2.0               8097000        4046106.1
11:09:12.982 INFO  ProgressMeter -        chr1:25698039              2.2               8779000        4049447.6
11:09:22.994 INFO  ProgressMeter -        chr1:27761858              2.3               9473000        4057277.9
11:09:32.997 INFO  ProgressMeter -        chr1:29792694              2.5              10165000        4063507.7
11:09:43.009 INFO  ProgressMeter -        chr1:31743756              2.7              10852000        4066881.9
11:09:53.010 INFO  ProgressMeter -        chr1:33757435              2.8              11544000        4071838.0
11:10:03.016 INFO  ProgressMeter -        chr1:35767177              3.0              12237000        4076486.2
11:10:13.029 INFO  ProgressMeter -        chr1:37732448              3.2              12930000        4080516.3
11:10:23.036 INFO  ProgressMeter -        chr1:39729451              3.3              13617000        4082426.0
11:10:33.046 INFO  ProgressMeter -        chr1:41701328              3.5              14300000        4082972.9
11:10:43.060 INFO  ProgressMeter -        chr1:43715958              3.7              14994000        4086412.2
11:10:53.059 INFO  ProgressMeter -        chr1:45747402              3.8              15690000        4090304.8
11:11:03.064 INFO  ProgressMeter -        chr1:47704937              4.0              16382000        4092805.6
11:11:13.073 INFO  ProgressMeter -        chr1:49666685              4.2              17084000        4097406.5
11:11:23.086 INFO  ProgressMeter -        chr1:51727589              4.3              17786000        4101606.2
11:11:33.097 INFO  ProgressMeter -        chr1:53752999              4.5              18479000        4103526.4
11:11:43.111 INFO  ProgressMeter -        chr1:55722354              4.7              19167000        4104209.4
11:11:53.117 INFO  ProgressMeter -        chr1:57692268              4.8              19854000        4104723.4
11:12:03.118 INFO  ProgressMeter -        chr1:59680822              5.0              20545000        4106084.7
11:12:13.123 INFO  ProgressMeter -        chr1:61704157              5.2              21236000        4107305.2
11:12:23.133 INFO  ProgressMeter -        chr1:63702247              5.3              21920000        4107073.7
11:12:33.137 INFO  ProgressMeter -        chr1:65718373              5.5              22612000        4108384.4
11:12:43.137 INFO  ProgressMeter -        chr1:67750115              5.7              23302000        4109313.6
11:12:53.146 INFO  ProgressMeter -        chr1:69740744              5.8              23996000        4110781.2
11:13:03.154 INFO  ProgressMeter -        chr1:71778199              6.0              24692000        4112500.3
11:13:13.164 INFO  ProgressMeter -        chr1:73799547              6.2              25390000        4114428.3
11:13:23.176 INFO  ProgressMeter -        chr1:75789148              6.3              26084000        4115591.2
11:13:33.181 INFO  ProgressMeter -        chr1:77825416              6.5              26777000        4116635.7
11:13:43.187 INFO  ProgressMeter -        chr1:79794160              6.7              27461000        4116248.0
