Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P056/P056_dna_normal.marked.bam --bqsr-recal-file results/recal/P056/P056_dna_normal_recal_data.table -O results/recal/P056/P056_dna_normal_recal.bam --create-output-bam-index false
17:36:51.182 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
17:36:51.446 INFO  ApplyBQSR - ------------------------------------------------------------
17:36:51.453 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
17:36:51.453 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
17:36:51.454 INFO  ApplyBQSR - Executing as vsc35407@g28l15 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
17:36:51.454 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
17:36:51.456 INFO  ApplyBQSR - Start Date/Time: June 21, 2024 at 5:36:51 PM CEST
17:36:51.456 INFO  ApplyBQSR - ------------------------------------------------------------
17:36:51.456 INFO  ApplyBQSR - ------------------------------------------------------------
17:36:51.458 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
17:36:51.459 INFO  ApplyBQSR - Picard Version: 3.1.1
17:36:51.459 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
17:36:51.459 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
17:36:51.459 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
17:36:51.460 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
17:36:51.460 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
17:36:51.460 INFO  ApplyBQSR - Deflater: IntelDeflater
17:36:51.460 INFO  ApplyBQSR - Inflater: IntelInflater
17:36:51.460 INFO  ApplyBQSR - GCS max retries/reopens: 20
17:36:51.461 INFO  ApplyBQSR - Requester pays: disabled
17:36:51.461 INFO  ApplyBQSR - Initializing engine
17:36:51.636 INFO  ApplyBQSR - Done initializing engine
17:38:09.214 INFO  ProgressMeter - Starting traversal
17:38:09.215 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
17:38:19.225 INFO  ProgressMeter -         chr1:2218782              0.2                614000        3681423.0
17:38:29.230 INFO  ProgressMeter -         chr1:4653001              0.3               1277000        3828320.2
17:38:39.238 INFO  ProgressMeter -         chr1:7193805              0.5               1948000        3893015.4
17:38:49.243 INFO  ProgressMeter -         chr1:9534669              0.7               2554000        3828415.8
17:38:59.258 INFO  ProgressMeter -        chr1:11926711              0.8               3187000        3821190.2
17:39:09.268 INFO  ProgressMeter -        chr1:14214157              1.0               3802000        3798644.5
17:39:19.270 INFO  ProgressMeter -        chr1:16508905              1.2               4416000        3782171.2
17:39:29.272 INFO  ProgressMeter -        chr1:18802927              1.3               5030000        3769814.0
17:39:39.277 INFO  ProgressMeter -        chr1:21159933              1.5               5647000        3762116.8
17:39:49.289 INFO  ProgressMeter -        chr1:23628637              1.7               6293000        3773045.7
17:39:59.302 INFO  ProgressMeter -        chr1:25981944              1.8               6905000        3763387.1
17:40:09.302 INFO  ProgressMeter -        chr1:28290017              2.0               7516000        3755277.4
17:40:19.303 INFO  ProgressMeter -        chr1:30719312              2.2               8155000        3761300.0
17:40:29.306 INFO  ProgressMeter -        chr1:33290004              2.3               8826000        3780141.3
17:40:39.310 INFO  ProgressMeter -        chr1:35896737              2.5               9497000        3796395.6
17:40:49.322 INFO  ProgressMeter -        chr1:38438300              2.7              10169000        3810826.5
17:40:59.338 INFO  ProgressMeter -        chr1:40940948              2.8              10820000        3816062.5
17:41:09.351 INFO  ProgressMeter -        chr1:43269016              3.0              11431000        3807477.7
17:41:19.360 INFO  ProgressMeter -        chr1:45599812              3.2              12041000        3799521.4
17:41:29.366 INFO  ProgressMeter -        chr1:47933347              3.3              12652000        3792736.5
17:41:39.378 INFO  ProgressMeter -        chr1:50354741              3.5              13263000        3786507.6
17:41:49.390 INFO  ProgressMeter -        chr1:52748153              3.7              13872000        3780265.7
17:41:59.392 INFO  ProgressMeter -        chr1:55270511              3.8              14537000        3789344.7
17:42:09.399 INFO  ProgressMeter -        chr1:57906014              4.0              15208000        3799087.4
17:42:19.406 INFO  ProgressMeter -        chr1:60521541              4.2              15878000        3807810.8
17:42:29.414 INFO  ProgressMeter -        chr1:63191251              4.3              16551000        3816540.4
17:42:39.419 INFO  ProgressMeter -        chr1:65819309              4.5              17219000        3823569.7
17:42:49.419 INFO  ProgressMeter -        chr1:68436343              4.7              17890000        3830780.4
17:42:59.423 INFO  ProgressMeter -        chr1:71091154              4.8              18552000        3835607.0
17:43:09.436 INFO  ProgressMeter -        chr1:73827322              5.0              19225000        3842169.6
17:43:19.436 INFO  ProgressMeter -        chr1:76520100              5.2              19896000        3848095.4
17:43:29.445 INFO  ProgressMeter -        chr1:79140101              5.3              20558000        3851868.5
17:43:39.456 INFO  ProgressMeter -        chr1:81878901              5.5              21231000        3857364.8
17:43:49.470 INFO  ProgressMeter -        chr1:84563663              5.7              21902000        3862173.6
