Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P062/P062_dna_tumor.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/P062/P062_dna_tumor_recal_data.table
00:49:00.648 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
00:49:00.758 INFO  BaseRecalibrator - ------------------------------------------------------------
00:49:00.760 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
00:49:00.760 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
00:49:00.761 INFO  BaseRecalibrator - Executing as vsc35407@g28l05 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
00:49:00.761 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
00:49:00.761 INFO  BaseRecalibrator - Start Date/Time: June 23, 2024 at 12:49:00 AM CEST
00:49:00.761 INFO  BaseRecalibrator - ------------------------------------------------------------
00:49:00.761 INFO  BaseRecalibrator - ------------------------------------------------------------
00:49:00.762 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
00:49:00.762 INFO  BaseRecalibrator - Picard Version: 3.1.1
00:49:00.762 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
00:49:00.762 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
00:49:00.762 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
00:49:00.762 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
00:49:00.762 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
00:49:00.763 INFO  BaseRecalibrator - Deflater: IntelDeflater
00:49:00.763 INFO  BaseRecalibrator - Inflater: IntelInflater
00:49:00.763 INFO  BaseRecalibrator - GCS max retries/reopens: 20
00:49:00.763 INFO  BaseRecalibrator - Requester pays: disabled
00:49:00.763 INFO  BaseRecalibrator - Initializing engine
00:49:00.902 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
00:49:01.100 INFO  BaseRecalibrator - Done initializing engine
00:49:01.104 INFO  BaseRecalibrationEngine - The covariates being used here: 
00:49:01.105 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
00:49:01.105 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
00:49:01.105 INFO  BaseRecalibrationEngine - 	ContextCovariate
00:49:01.105 INFO  BaseRecalibrationEngine - 	CycleCovariate
00:49:01.108 INFO  ProgressMeter - Starting traversal
00:49:01.108 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
00:49:11.119 INFO  ProgressMeter -          chr1:752914              0.2                418000        2506245.6
00:49:21.134 INFO  ProgressMeter -         chr1:1506884              0.3                879000        2633707.9
00:49:31.139 INFO  ProgressMeter -         chr1:2230714              0.5               1362000        2721188.1
00:49:41.151 INFO  ProgressMeter -         chr1:2958454              0.7               1831000        2743619.2
00:49:51.159 INFO  ProgressMeter -         chr1:3657718              0.8               2298000        2754790.1
00:50:01.176 INFO  ProgressMeter -         chr1:4291070              1.0               2767000        2763867.6
00:50:11.196 INFO  ProgressMeter -         chr1:4922604              1.2               3241000        2774551.6
00:50:21.205 INFO  ProgressMeter -         chr1:5584790              1.3               3711000        2779879.4
00:50:31.211 INFO  ProgressMeter -         chr1:6294116              1.5               4184000        2786175.7
00:50:41.223 INFO  ProgressMeter -         chr1:6927221              1.7               4660000        2792816.2
00:50:51.229 INFO  ProgressMeter -         chr1:7563890              1.8               5119000        2789139.1
00:51:01.240 INFO  ProgressMeter -         chr1:8194279              2.0               5596000        2794925.6
00:51:11.255 INFO  ProgressMeter -         chr1:8838332              2.2               6070000        2798374.1
00:51:21.258 INFO  ProgressMeter -         chr1:9519390              2.3               6544000        2801569.7
00:51:31.266 INFO  ProgressMeter -        chr1:10168507              2.5               7021000        2805444.9
00:51:41.272 INFO  ProgressMeter -        chr1:10851949              2.7               7493000        2806997.8
00:51:51.288 INFO  ProgressMeter -        chr1:11532419              2.8               7966000        2808555.6
00:52:01.301 INFO  ProgressMeter -        chr1:12179270              3.0               8445000        2812000.5
00:52:11.306 INFO  ProgressMeter -        chr1:12855211              3.2               8901000        2807930.7
00:52:21.310 INFO  ProgressMeter -        chr1:13483452              3.3               9374000        2809376.6
00:52:31.310 INFO  ProgressMeter -        chr1:14100669              3.5               9850000        2811581.2
00:52:41.311 INFO  ProgressMeter -        chr1:14745495              3.7              10322000        2812508.5
00:52:51.312 INFO  ProgressMeter -        chr1:15411645              3.8              10799000        2814634.0
00:53:01.329 INFO  ProgressMeter -        chr1:16134355              4.0              11267000        2814158.6
00:53:11.329 INFO  ProgressMeter -        chr1:16876273              4.2              11721000        2810555.5
00:53:21.332 INFO  ProgressMeter -        chr1:17566092              4.3              12195000        2811819.1
00:53:31.336 INFO  ProgressMeter -        chr1:18240018              4.5              12670000        2813180.0
00:53:41.353 INFO  ProgressMeter -        chr1:18903229              4.7              13145000        2814333.2
00:53:51.356 INFO  ProgressMeter -        chr1:19555359              4.8              13622000        2815946.4
00:54:01.370 INFO  ProgressMeter -        chr1:20201811              5.0              14099000        2817348.9
00:54:11.373 INFO  ProgressMeter -        chr1:20844765              5.2              14577000        2818954.2
00:54:21.374 INFO  ProgressMeter -        chr1:21509177              5.3              15053000        2820093.3
00:54:31.390 INFO  ProgressMeter -        chr1:22182795              5.5              15527000        2820680.5
00:54:41.408 INFO  ProgressMeter -        chr1:22854664              5.7              16006000        2822106.4
00:54:51.424 INFO  ProgressMeter -        chr1:23494196              5.8              16483000        2823108.3
00:55:01.429 INFO  ProgressMeter -        chr1:24157146              6.0              16959000        2823981.9
00:55:11.445 INFO  ProgressMeter -        chr1:24781317              6.2              17434000        2824562.5
00:55:21.448 INFO  ProgressMeter -        chr1:25498554              6.3              17910000        2825366.8
00:55:31.468 INFO  ProgressMeter -        chr1:26156316              6.5              18388000        2826314.2
00:55:41.471 INFO  ProgressMeter -        chr1:26834022              6.7              18868000        2827633.9
00:55:51.479 INFO  ProgressMeter -        chr1:27521577              6.8              19348000        2828854.9
00:56:01.485 INFO  ProgressMeter -        chr1:28173836              7.0              19827000        2829888.4
00:56:11.499 INFO  ProgressMeter -        chr1:28847010              7.2              20307000        2830967.3
00:56:21.508 INFO  ProgressMeter -        chr1:29505803              7.3              20785000        2831743.9
00:56:31.523 INFO  ProgressMeter -        chr1:30163098              7.5              21261000        2832194.4
00:56:41.538 INFO  ProgressMeter -        chr1:30821073              7.7              21736000        2832488.8
00:56:51.541 INFO  ProgressMeter -        chr1:31473975              7.8              22212000        2832964.5
00:57:01.555 INFO  ProgressMeter -        chr1:32132605              8.0              22693000        2833991.7
00:57:11.562 INFO  ProgressMeter -        chr1:32801160              8.2              23169000        2834400.0
00:57:21.582 INFO  ProgressMeter -        chr1:33438994              8.3              23649000        2835197.9
00:57:31.586 INFO  ProgressMeter -        chr1:34082700              8.5              24127000        2835812.7
00:57:41.596 INFO  ProgressMeter -        chr1:34724082              8.7              24604000        2836261.4
00:57:51.604 INFO  ProgressMeter -        chr1:35355268              8.8              25084000        2837043.1
00:58:01.620 INFO  ProgressMeter -        chr1:35998861              9.0              25567000        2838092.1
00:58:11.630 INFO  ProgressMeter -        chr1:36669045              9.2              26045000        2838583.8
00:58:21.648 INFO  ProgressMeter -        chr1:37332134              9.3              26523000        2839012.4
00:58:31.660 INFO  ProgressMeter -        chr1:37998790              9.5              27002000        2839565.9
00:58:41.662 INFO  ProgressMeter -        chr1:38632728              9.7              27480000        2840045.9
00:58:51.666 INFO  ProgressMeter -        chr1:39269887              9.8              27957000        2840403.2
00:59:01.676 INFO  ProgressMeter -        chr1:39926987             10.0              28433000        2840610.9
00:59:11.678 INFO  ProgressMeter -        chr1:40547477             10.2              28911000        2841054.8
00:59:21.695 INFO  ProgressMeter -        chr1:41174059             10.3              29389000        2841406.6
00:59:31.700 INFO  ProgressMeter -        chr1:41809039             10.5              29860000        2841139.8
00:59:41.712 INFO  ProgressMeter -        chr1:42408078             10.7              30339000        2841599.5
00:59:51.722 INFO  ProgressMeter -        chr1:43033792             10.8              30817000        2841966.0
01:00:01.734 INFO  ProgressMeter -        chr1:43690016             11.0              31294000        2842213.3
01:00:11.744 INFO  ProgressMeter -        chr1:44329445             11.2              31775000        2842823.8
01:00:21.760 INFO  ProgressMeter -        chr1:44977700             11.3              32253000        2843126.9
01:00:31.776 INFO  ProgressMeter -        chr1:45618079             11.5              32733000        2843594.9
01:00:41.780 INFO  ProgressMeter -        chr1:46257773             11.7              33214000        2844183.9
01:00:51.791 INFO  ProgressMeter -        chr1:46894512             11.8              33690000        2844306.1
01:01:01.811 INFO  ProgressMeter -        chr1:47536099             12.0              34168000        2844555.9
01:01:11.829 INFO  ProgressMeter -        chr1:48178800             12.2              34646000        2844806.7
01:01:21.831 INFO  ProgressMeter -        chr1:48790470             12.3              35126000        2845274.1
01:01:31.844 INFO  ProgressMeter -        chr1:49394693             12.5              35610000        2846007.1
01:01:41.847 INFO  ProgressMeter -        chr1:49993233             12.7              36095000        2846837.1
01:01:51.854 INFO  ProgressMeter -        chr1:50610963             12.8              36578000        2847475.0
01:02:01.870 INFO  ProgressMeter -        chr1:51214921             13.0              37060000        2847987.0
01:02:11.878 INFO  ProgressMeter -        chr1:51811303             13.2              37541000        2848438.9
01:02:21.888 INFO  ProgressMeter -        chr1:52439926             13.3              38023000        2848947.3
01:02:31.894 INFO  ProgressMeter -        chr1:53083326             13.5              38498000        2848942.7
01:02:41.909 INFO  ProgressMeter -        chr1:53730628             13.7              38978000        2849265.5
01:02:51.928 INFO  ProgressMeter -        chr1:54382995             13.8              39457000        2849498.1
01:03:01.929 INFO  ProgressMeter -        chr1:55033682             14.0              39931000        2849429.3
01:03:11.930 INFO  ProgressMeter -        chr1:55641796             14.2              40409000        2849647.6
01:03:21.945 INFO  ProgressMeter -        chr1:56243234             14.3              40889000        2849950.5
01:03:31.947 INFO  ProgressMeter -        chr1:56852591             14.5              41367000        2850148.0
01:03:41.952 INFO  ProgressMeter -        chr1:57458315             14.7              41844000        2850269.6
01:03:51.954 INFO  ProgressMeter -        chr1:58058431             14.8              42323000        2850526.4
01:04:01.957 INFO  ProgressMeter -        chr1:58652692             15.0              42799000        2850577.6
01:04:11.958 INFO  ProgressMeter -        chr1:59244190             15.2              43278000        2850831.6
01:04:21.965 INFO  ProgressMeter -        chr1:59831463             15.3              43759000        2851191.9
01:04:31.985 INFO  ProgressMeter -        chr1:60416702             15.5              44241000        2851569.0
01:04:41.986 INFO  ProgressMeter -        chr1:61003717             15.7              44721000        2851871.2
01:04:51.994 INFO  ProgressMeter -        chr1:61590409             15.8              45200000        2852076.9
01:05:01.995 INFO  ProgressMeter -        chr1:62210621             16.0              45669000        2851677.7
01:05:12.002 INFO  ProgressMeter -        chr1:62805090             16.2              46151000        2852075.4
01:05:22.018 INFO  ProgressMeter -        chr1:63412702             16.3              46629000        2852188.3
01:05:32.038 INFO  ProgressMeter -        chr1:64020656             16.5              47108000        2852350.8
01:05:42.051 INFO  ProgressMeter -        chr1:64627435             16.7              47587000        2852532.9
01:05:52.070 INFO  ProgressMeter -        chr1:65233479             16.8              48067000        2852748.2
01:06:02.088 INFO  ProgressMeter -        chr1:65812858             17.0              48546000        2852906.0
01:06:12.108 INFO  ProgressMeter -        chr1:66375679             17.2              49026000        2853116.2
01:06:22.112 INFO  ProgressMeter -        chr1:66940811             17.4              49505000        2853305.9
01:06:32.120 INFO  ProgressMeter -        chr1:67545386             17.5              49983000        2853421.3
01:06:42.138 INFO  ProgressMeter -        chr1:68141681             17.7              50462000        2853566.8
01:06:52.138 INFO  ProgressMeter -        chr1:68731410             17.9              50941000        2853757.6
01:07:02.152 INFO  ProgressMeter -        chr1:69319312             18.0              51423000        2854074.4
01:07:12.164 INFO  ProgressMeter -        chr1:69896659             18.2              51903000        2854280.6
01:07:22.167 INFO  ProgressMeter -        chr1:70482599             18.4              52384000        2854560.9
01:07:32.176 INFO  ProgressMeter -        chr1:71053501             18.5              52864000        2854766.8
01:07:42.178 INFO  ProgressMeter -        chr1:71624218             18.7              53346000        2855096.3
01:07:52.179 INFO  ProgressMeter -        chr1:72183555             18.9              53827000        2855364.5
01:08:02.192 INFO  ProgressMeter -        chr1:72747165             19.0              54309000        2855655.5
01:08:12.206 INFO  ProgressMeter -        chr1:73320616             19.2              54791000        2855934.1
01:08:22.214 INFO  ProgressMeter -        chr1:73892531             19.4              55272000        2856175.8
01:08:32.219 INFO  ProgressMeter -        chr1:74467180             19.5              55754000        2856469.5
01:08:42.218 INFO  ProgressMeter -        chr1:75047710             19.7              56235000        2856719.5
01:08:52.219 INFO  ProgressMeter -        chr1:75629026             19.9              56713000        2856814.2
01:09:02.230 INFO  ProgressMeter -        chr1:76213604             20.0              57190000        2856828.9
01:09:12.248 INFO  ProgressMeter -        chr1:76797418             20.2              57671000        2857027.3
01:09:22.258 INFO  ProgressMeter -        chr1:77376906             20.4              58149000        2857093.7
