Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P028_dna_normal.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/table/P028_dna_normal_recal_data.table
15:25:05.764 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
15:25:06.009 INFO  BaseRecalibrator - ------------------------------------------------------------
15:25:06.011 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
15:25:06.011 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
15:25:06.011 INFO  BaseRecalibrator - Executing as vsc35407@i28l17 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
15:25:06.012 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
15:25:06.012 INFO  BaseRecalibrator - Start Date/Time: March 31, 2024 at 3:25:05 PM CEST
15:25:06.012 INFO  BaseRecalibrator - ------------------------------------------------------------
15:25:06.012 INFO  BaseRecalibrator - ------------------------------------------------------------
15:25:06.013 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
15:25:06.013 INFO  BaseRecalibrator - Picard Version: 3.1.1
15:25:06.013 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
15:25:06.013 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
15:25:06.013 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
15:25:06.013 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
15:25:06.013 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
15:25:06.014 INFO  BaseRecalibrator - Deflater: IntelDeflater
15:25:06.014 INFO  BaseRecalibrator - Inflater: IntelInflater
15:25:06.014 INFO  BaseRecalibrator - GCS max retries/reopens: 20
15:25:06.014 INFO  BaseRecalibrator - Requester pays: disabled
15:25:06.014 INFO  BaseRecalibrator - Initializing engine
15:25:06.216 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
15:25:06.352 INFO  BaseRecalibrator - Done initializing engine
15:25:06.356 INFO  BaseRecalibrationEngine - The covariates being used here: 
15:25:06.356 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
15:25:06.356 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
15:25:06.356 INFO  BaseRecalibrationEngine - 	ContextCovariate
15:25:06.356 INFO  BaseRecalibrationEngine - 	CycleCovariate
15:25:06.359 INFO  ProgressMeter - Starting traversal
15:25:06.359 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
15:25:16.374 INFO  ProgressMeter -         chr1:1421929              0.2                384000        2302618.4
15:25:26.374 INFO  ProgressMeter -         chr1:2891530              0.3                813000        2437293.9
15:25:36.378 INFO  ProgressMeter -         chr1:4215707              0.5               1241000        2480511.7
15:25:46.394 INFO  ProgressMeter -         chr1:5472307              0.7               1676000        2511864.9
15:25:56.406 INFO  ProgressMeter -         chr1:6805680              0.8               2113000        2533269.4
15:26:06.410 INFO  ProgressMeter -         chr1:8065386              1.0               2540000        2537885.1
15:26:16.416 INFO  ProgressMeter -         chr1:9377430              1.2               2977000        2549638.2
15:26:26.437 INFO  ProgressMeter -        chr1:10700870              1.3               3414000        2558037.9
15:26:36.448 INFO  ProgressMeter -        chr1:12011647              1.5               3851000        2564825.5
15:26:46.449 INFO  ProgressMeter -        chr1:13306966              1.7               4274000        2562094.1
15:26:56.462 INFO  ProgressMeter -        chr1:14536120              1.8               4709000        2566142.6
15:27:06.474 INFO  ProgressMeter -        chr1:15857122              2.0               5143000        2569059.4
15:27:16.476 INFO  ProgressMeter -        chr1:17252807              2.2               5563000        2565249.5
15:27:26.485 INFO  ProgressMeter -        chr1:18562051              2.3               5997000        2567831.8
15:27:36.502 INFO  ProgressMeter -        chr1:19849471              2.5               6433000        2570749.2
15:27:46.504 INFO  ProgressMeter -        chr1:21104604              2.7               6871000        2574292.0
15:27:56.522 INFO  ProgressMeter -        chr1:22408380              2.8               7305000        2575765.6
15:28:06.532 INFO  ProgressMeter -        chr1:23705062              3.0               7740000        2577522.7
15:28:16.555 INFO  ProgressMeter -        chr1:24949946              3.2               8170000        2577354.8
15:28:26.554 INFO  ProgressMeter -        chr1:26258872              3.3               8608000        2579884.6
15:28:36.566 INFO  ProgressMeter -        chr1:27627954              3.5               9054000        2584309.8
15:28:46.585 INFO  ProgressMeter -        chr1:28945012              3.7               9498000        2587705.4
15:28:56.597 INFO  ProgressMeter -        chr1:30214417              3.8               9936000        2589331.9
15:29:06.615 INFO  ProgressMeter -        chr1:31502093              4.0              10374000        2590747.3
15:29:16.625 INFO  ProgressMeter -        chr1:32826704              4.2              10815000        2592851.6
15:29:26.641 INFO  ProgressMeter -        chr1:34080164              4.3              11258000        2595185.2
15:29:36.648 INFO  ProgressMeter -        chr1:35313782              4.5              11698000        2596785.7
15:29:46.665 INFO  ProgressMeter -        chr1:36604547              4.7              12143000        2599230.8
15:29:56.672 INFO  ProgressMeter -        chr1:37902091              4.8              12585000        2600994.8
15:30:06.674 INFO  ProgressMeter -        chr1:39149417              5.0              13026000        2602467.4
15:30:16.689 INFO  ProgressMeter -        chr1:40411043              5.2              13466000        2603559.4
15:30:26.707 INFO  ProgressMeter -        chr1:41660870              5.3              13902000        2603793.4
15:30:36.717 INFO  ProgressMeter -        chr1:42867605              5.5              14346000        2605544.9
15:30:46.737 INFO  ProgressMeter -        chr1:44150152              5.7              14790000        2607109.2
15:30:56.741 INFO  ProgressMeter -        chr1:45413158              5.8              15233000        2608531.9
15:31:06.752 INFO  ProgressMeter -        chr1:46670820              6.0              15678000        2610150.6
15:31:16.753 INFO  ProgressMeter -        chr1:47911387              6.2              16119000        2611111.4
15:31:26.759 INFO  ProgressMeter -        chr1:49106863              6.3              16565000        2612782.9
15:31:36.769 INFO  ProgressMeter -        chr1:50284202              6.5              17016000        2615096.9
15:31:46.788 INFO  ProgressMeter -        chr1:51478021              6.7              17466000        2617093.2
