Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx200g -XX:+UseParallelGC -XX:ParallelGCThreads=4 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar Mutect2 -R resources/genome.fa -I results/recal/P024/P024_dna_normal_recal.bam --max-mnp-distance 0 -O results/mutect2/pon/P024_normal_for_pon.vcf.gz
21:51:15.723 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
21:51:15.992 INFO  Mutect2 - ------------------------------------------------------------
21:51:15.995 INFO  Mutect2 - The Genome Analysis Toolkit (GATK) v4.5.0.0
21:51:15.995 INFO  Mutect2 - For support and documentation go to https://software.broadinstitute.org/gatk/
21:51:15.995 INFO  Mutect2 - Executing as vsc35407@g28l10 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
21:51:15.995 INFO  Mutect2 - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
21:51:15.995 INFO  Mutect2 - Start Date/Time: June 25, 2024 at 9:51:15 PM CEST
21:51:15.995 INFO  Mutect2 - ------------------------------------------------------------
21:51:15.995 INFO  Mutect2 - ------------------------------------------------------------
21:51:15.996 INFO  Mutect2 - HTSJDK Version: 4.1.0
21:51:15.996 INFO  Mutect2 - Picard Version: 3.1.1
21:51:15.996 INFO  Mutect2 - Built for Spark Version: 3.5.0
21:51:15.996 INFO  Mutect2 - HTSJDK Defaults.COMPRESSION_LEVEL : 2
21:51:15.996 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
21:51:15.996 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
21:51:15.997 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
21:51:15.997 INFO  Mutect2 - Deflater: IntelDeflater
21:51:15.997 INFO  Mutect2 - Inflater: IntelInflater
21:51:15.997 INFO  Mutect2 - GCS max retries/reopens: 20
21:51:15.997 INFO  Mutect2 - Requester pays: disabled
21:51:15.997 INFO  Mutect2 - Initializing engine
21:51:16.162 INFO  Mutect2 - Done initializing engine
21:51:16.169 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
21:51:16.216 INFO  NativeLibraryLoader - Loading libgkl_smithwaterman.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_smithwaterman.so
21:51:16.217 INFO  IntelSmithWaterman - Using CPU-supported AVX-512 instructions
21:51:16.217 INFO  SmithWatermanAligner - Using AVX accelerated SmithWaterman implementation
21:51:16.230 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
21:51:16.258 INFO  IntelPairHmm - Using CPU-supported AVX-512 instructions
21:51:16.258 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
21:51:16.259 INFO  IntelPairHmm - Available threads: 4
21:51:16.259 INFO  IntelPairHmm - Requested threads: 4
21:51:16.259 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
21:51:16.304 INFO  ProgressMeter - Starting traversal
21:51:16.305 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
21:51:26.318 INFO  ProgressMeter -          chr1:140086              0.2                   880           5273.1
21:51:36.360 INFO  ProgressMeter -          chr1:452985              0.3                  2550           7631.7
21:51:46.362 INFO  ProgressMeter -         chr1:1030590              0.5                  5160          10300.4
21:51:56.375 INFO  ProgressMeter -         chr1:1360950              0.7                  6990          10466.9
21:52:06.404 INFO  ProgressMeter -         chr1:1709896              0.8                  8860          10611.0
21:52:16.433 INFO  ProgressMeter -         chr1:2137425              1.0                 11040          11016.5
21:52:26.470 INFO  ProgressMeter -         chr1:2582424              1.2                 13450          11501.5
21:52:36.474 INFO  ProgressMeter -         chr1:3005681              1.3                 15550          11637.9
21:52:46.497 INFO  ProgressMeter -         chr1:3360757              1.5                 17470          11622.0
21:52:56.521 INFO  ProgressMeter -         chr1:3699722              1.7                 19260          11531.1
21:53:06.567 INFO  ProgressMeter -         chr1:4068717              1.8                 21070          11465.4
21:53:16.584 INFO  ProgressMeter -         chr1:4404543              2.0                 22860          11403.5
21:53:26.601 INFO  ProgressMeter -         chr1:4745959              2.2                 24610          11332.7
21:53:36.606 INFO  ProgressMeter -         chr1:5117375              2.3                 26450          11311.5
21:53:46.649 INFO  ProgressMeter -         chr1:5483292              2.5                 28350          11314.1
21:53:56.671 INFO  ProgressMeter -         chr1:5900860              2.7                 30480          11403.9
21:54:06.713 INFO  ProgressMeter -         chr1:6258754              2.8                 32380          11400.9
21:54:16.726 INFO  ProgressMeter -         chr1:6622944              3.0                 34290          11403.4
21:54:26.754 INFO  ProgressMeter -         chr1:7083169              3.2                 36380          11461.3
21:54:36.759 INFO  ProgressMeter -         chr1:7437711              3.3                 38180          11428.1
21:54:46.766 INFO  ProgressMeter -         chr1:7800038              3.5                 40060          11420.6
21:54:56.778 INFO  ProgressMeter -         chr1:8345031              3.7                 42340          11522.5
21:55:06.800 INFO  ProgressMeter -         chr1:8720298              3.8                 44240          11516.1
21:55:16.804 INFO  ProgressMeter -         chr1:9144143              4.0                 46280          11546.0
21:55:26.828 INFO  ProgressMeter -         chr1:9698941              4.2                 48690          11661.3
21:55:36.846 INFO  ProgressMeter -        chr1:10045189              4.3                 50540          11638.9
21:55:46.848 INFO  ProgressMeter -        chr1:10461575              4.5                 52600          11665.4
21:55:56.892 INFO  ProgressMeter -        chr1:10893356              4.7                 54680          11692.6
21:56:06.901 INFO  ProgressMeter -        chr1:11297116              4.8                 56670          11700.8
21:56:16.916 INFO  ProgressMeter -        chr1:11613262              5.0                 58380          11652.3
21:56:26.972 INFO  ProgressMeter -        chr1:12096290              5.2                 60520          11688.4
21:56:37.102 INFO  ProgressMeter -        chr1:12418756              5.3                 62230          11639.1
21:56:47.113 INFO  ProgressMeter -        chr1:12601805              5.5                 63510          11519.1
21:56:57.119 INFO  ProgressMeter -        chr1:12923763              5.7                 65310          11497.8
21:57:07.131 INFO  ProgressMeter -        chr1:13257955              5.8                 67070          11470.6
21:57:17.132 INFO  ProgressMeter -        chr1:13624908              6.0                 68880          11453.7
21:57:27.174 INFO  ProgressMeter -        chr1:13979502              6.2                 70700          11438.0
21:57:37.212 INFO  ProgressMeter -        chr1:14316325              6.3                 72490          11418.5
21:57:47.285 INFO  ProgressMeter -        chr1:14673266              6.5                 74360          11411.3
21:57:57.316 INFO  ProgressMeter -        chr1:14978654              6.7                 76050          11378.8
21:58:07.335 INFO  ProgressMeter -        chr1:15514995              6.9                 78390          11443.0
21:58:17.377 INFO  ProgressMeter -        chr1:15853280              7.0                 80260          11436.5
21:58:27.399 INFO  ProgressMeter -        chr1:16232586              7.2                 82320          11457.4
21:58:37.399 INFO  ProgressMeter -        chr1:16415817              7.4                 83510          11359.5
21:58:47.402 INFO  ProgressMeter -        chr1:16533502              7.5                 84330          11216.7
21:58:57.419 INFO  ProgressMeter -        chr1:16691385              7.7                 85390          11110.9
21:59:07.450 INFO  ProgressMeter -        chr1:16998193              7.9                 86910          11067.9
21:59:17.493 INFO  ProgressMeter -        chr1:17246393              8.0                 88430          11026.5
21:59:27.503 INFO  ProgressMeter -        chr1:17594663              8.2                 90330          11033.8
21:59:37.545 INFO  ProgressMeter -        chr1:17939398              8.4                 92150          11030.6
21:59:47.627 INFO  ProgressMeter -        chr1:18262477              8.5                 93920          11020.8
21:59:57.638 INFO  ProgressMeter -        chr1:18627691              8.7                 95800          11025.6
22:00:07.667 INFO  ProgressMeter -        chr1:19005295              8.9                 97680          11029.8
22:00:17.685 INFO  ProgressMeter -        chr1:19386577              9.0                 99640          11042.9
22:00:27.686 INFO  ProgressMeter -        chr1:19767044              9.2                101560          11051.5
22:00:37.721 INFO  ProgressMeter -        chr1:20134195              9.4                103470          11058.1
22:00:47.751 INFO  ProgressMeter -        chr1:20473445              9.5                105250          11050.9
22:00:57.777 INFO  ProgressMeter -        chr1:20969083              9.7                107460          11088.4
22:01:07.795 INFO  ProgressMeter -        chr1:21402789              9.9                109530          11110.6
22:01:17.842 INFO  ProgressMeter -        chr1:21832674             10.0                111620          11133.5
22:01:27.884 INFO  ProgressMeter -        chr1:22160364             10.2                113360          11121.4
22:01:37.891 INFO  ProgressMeter -        chr1:22538099             10.4                115270          11126.7
22:01:47.925 INFO  ProgressMeter -        chr1:23036024             10.5                117520          11163.7
22:01:57.961 INFO  ProgressMeter -        chr1:23465065             10.7                119610          11184.5
22:02:07.973 INFO  ProgressMeter -        chr1:23818523             10.9                121480          11184.8
22:02:17.993 INFO  ProgressMeter -        chr1:24211361             11.0                123420          11191.4
22:02:28.009 INFO  ProgressMeter -        chr1:24702431             11.2                125620          11221.0
22:02:38.018 INFO  ProgressMeter -        chr1:25119776             11.4                127640          11234.1
22:02:48.056 INFO  ProgressMeter -        chr1:25593844             11.5                129820          11260.1
22:02:58.068 INFO  ProgressMeter -        chr1:26093024             11.7                132070          11291.8
22:03:08.108 INFO  ProgressMeter -        chr1:26497666             11.9                134080          11302.0
22:03:18.147 INFO  ProgressMeter -        chr1:27075860             12.0                136580          11352.6
22:03:28.181 INFO  ProgressMeter -        chr1:27714713             12.2                139190          11411.0
22:03:38.207 INFO  ProgressMeter -        chr1:28105240             12.4                141120          11412.8
