Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar GetPileupSummaries -I results/recal/P020/P020_dna_tumor_recal.bam -L resources/filtered_gnomad_chr.vcf.gz -V resources/filtered_gnomad_chr.vcf.gz -O results/mutect2/P020/P020_tumor_pileup_summaries.table
13:59:57.797 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
13:59:58.067 INFO  GetPileupSummaries - ------------------------------------------------------------
13:59:58.070 INFO  GetPileupSummaries - The Genome Analysis Toolkit (GATK) v4.5.0.0
13:59:58.070 INFO  GetPileupSummaries - For support and documentation go to https://software.broadinstitute.org/gatk/
13:59:58.070 INFO  GetPileupSummaries - Executing as vsc35407@g28l05 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
13:59:58.070 INFO  GetPileupSummaries - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
13:59:58.070 INFO  GetPileupSummaries - Start Date/Time: July 14, 2024 at 1:59:57 PM CEST
13:59:58.070 INFO  GetPileupSummaries - ------------------------------------------------------------
13:59:58.071 INFO  GetPileupSummaries - ------------------------------------------------------------
13:59:58.071 INFO  GetPileupSummaries - HTSJDK Version: 4.1.0
13:59:58.071 INFO  GetPileupSummaries - Picard Version: 3.1.1
13:59:58.071 INFO  GetPileupSummaries - Built for Spark Version: 3.5.0
13:59:58.072 INFO  GetPileupSummaries - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:59:58.072 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:59:58.072 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:59:58.072 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:59:58.084 INFO  GetPileupSummaries - Deflater: IntelDeflater
13:59:58.084 INFO  GetPileupSummaries - Inflater: IntelInflater
13:59:58.084 INFO  GetPileupSummaries - GCS max retries/reopens: 20
13:59:58.084 INFO  GetPileupSummaries - Requester pays: disabled
13:59:58.084 INFO  GetPileupSummaries - Initializing engine
13:59:58.261 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/filtered_gnomad_chr.vcf.gz
13:59:58.364 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/filtered_gnomad_chr.vcf.gz
14:01:24.954 INFO  IntervalArgumentCollection - Processing 8916026 bp from intervals
14:01:25.158 INFO  GetPileupSummaries - Done initializing engine
14:01:25.262 INFO  ProgressMeter - Starting traversal
14:01:25.262 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
14:02:08.913 INFO  ProgressMeter -          chr1:253809              0.7                  1000           1374.8
14:02:18.960 INFO  ProgressMeter -         chr1:5141140              0.9                 22000          24582.4
14:02:28.977 INFO  ProgressMeter -        chr1:11197609              1.1                 42000          39551.1
14:02:39.245 INFO  ProgressMeter -        chr1:17152045              1.2                 65000          52714.8
14:02:49.470 INFO  ProgressMeter -        chr1:23914517              1.4                 86000          61276.8
14:02:59.658 INFO  ProgressMeter -        chr1:30976320              1.6                106000          67375.7
14:03:10.059 INFO  ProgressMeter -        chr1:38526575              1.7                126000          72139.5
14:03:20.253 INFO  ProgressMeter -        chr1:45560740              1.9                145000          75658.1
14:03:30.327 INFO  ProgressMeter -        chr1:53309468              2.1                164000          78679.1
14:03:40.711 INFO  ProgressMeter -        chr1:60067225              2.3                185000          81949.7
14:03:50.947 INFO  ProgressMeter -        chr1:67191150              2.4                205000          84429.3
14:04:01.112 INFO  ProgressMeter -        chr1:75370594              2.6                225000          86621.8
14:04:11.208 INFO  ProgressMeter -        chr1:82345835              2.8                246000          88944.6
14:04:21.462 INFO  ProgressMeter -        chr1:90083759              2.9                267000          90919.4
14:04:31.796 INFO  ProgressMeter -        chr1:98197290              3.1                287000          92315.6
14:04:42.091 INFO  ProgressMeter -       chr1:105631866              3.3                310000          94498.3
14:04:52.380 INFO  ProgressMeter -       chr1:112914443              3.5                330000          95597.7
14:05:02.586 INFO  ProgressMeter -       chr1:120404872              3.6                351000          96906.0
14:05:12.946 INFO  ProgressMeter -       chr1:148595501              3.8                375000          98821.2
14:05:23.135 INFO  ProgressMeter -       chr1:156368203              4.0                395000          99633.0
14:05:33.574 INFO  ProgressMeter -       chr1:163518064              4.1                417000         100760.3
14:05:43.707 INFO  ProgressMeter -       chr1:170317987              4.3                438000         101685.1
14:05:54.079 INFO  ProgressMeter -       chr1:178445684              4.5                458000         102225.7
14:06:04.500 INFO  ProgressMeter -       chr1:186065679              4.7                479000         102923.0
14:06:14.670 INFO  ProgressMeter -       chr1:193897007              4.8                502000         104074.5
14:06:24.767 INFO  ProgressMeter -       chr1:201405243              5.0                523000         104773.2
14:06:35.052 INFO  ProgressMeter -       chr1:208620880              5.2                543000         105168.0
14:06:45.330 INFO  ProgressMeter -       chr1:215483307              5.3                564000         105727.5
14:06:55.678 INFO  ProgressMeter -       chr1:222882758              5.5                585000         106229.7
14:07:06.071 INFO  ProgressMeter -       chr1:230134726              5.7                606000         106687.3
14:07:16.317 INFO  ProgressMeter -       chr1:236804887              5.9                627000         107162.7
14:07:26.393 INFO  ProgressMeter -       chr1:243626178              6.0                649000         107828.2
14:07:36.649 INFO  ProgressMeter -         chr2:1384418              6.2                673000         108727.6
14:07:46.840 INFO  ProgressMeter -         chr2:7132406              6.4                695000         109283.0
14:07:56.843 INFO  ProgressMeter -        chr2:13819448              6.5                716000         109709.1
14:08:07.328 INFO  ProgressMeter -        chr2:20842967              6.7                738000         110131.2
14:08:17.333 INFO  ProgressMeter -        chr2:28492064              6.9                757000         110224.0
14:08:27.558 INFO  ProgressMeter -        chr2:35187213              7.0                779000         110680.9
14:08:37.867 INFO  ProgressMeter -        chr2:41865294              7.2                802000         111233.1
14:08:48.341 INFO  ProgressMeter -        chr2:48432189              7.4                824000         111582.8
14:08:58.613 INFO  ProgressMeter -        chr2:54925106              7.6                846000         111966.2
14:09:09.017 INFO  ProgressMeter -        chr2:62430484              7.7                868000         112300.7
14:09:19.157 INFO  ProgressMeter -        chr2:69710917              7.9                889000         112556.6
14:09:29.365 INFO  ProgressMeter -        chr2:76732676              8.1                909000         112662.0
14:09:39.472 INFO  ProgressMeter -        chr2:83347168              8.2                932000         113150.5
14:09:49.538 INFO  ProgressMeter -        chr2:92137372              8.4                957000         113866.2
14:10:00.041 INFO  ProgressMeter -       chr2:103182330              8.6                976000         113757.6
14:10:10.512 INFO  ProgressMeter -       chr2:111195167              8.8                997000         113888.6
14:10:20.575 INFO  ProgressMeter -       chr2:118162061              8.9               1018000         114101.7
14:10:30.813 INFO  ProgressMeter -       chr2:125154659              9.1               1039000         114269.8
14:10:40.882 INFO  ProgressMeter -       chr2:131778225              9.3               1061000         114574.9
14:10:51.160 INFO  ProgressMeter -       chr2:138651526              9.4               1083000         114826.3
14:11:01.228 INFO  ProgressMeter -       chr2:146149997              9.6               1104000         115006.8
14:11:11.265 INFO  ProgressMeter -       chr2:154082643              9.8               1123000         114982.3
14:11:21.534 INFO  ProgressMeter -       chr2:162223939              9.9               1143000         115014.6
14:11:31.911 INFO  ProgressMeter -       chr2:169690173             10.1               1164000         115124.2
14:11:42.370 INFO  ProgressMeter -       chr2:177219552             10.3               1185000         115214.8
14:11:52.774 INFO  ProgressMeter -       chr2:184634817             10.5               1206000         115312.7
