Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar GetPileupSummaries -I results/recal/P024/P024_dna_tumor_recal.bam -L resources/whole_genome.intervals -V resources/gnomad_chr.vcf.gz -O results/mutect2/P024/P024_tumor_pileup_summaries.table
11:20:39.117 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
11:20:40.056 INFO  GetPileupSummaries - ------------------------------------------------------------
11:20:40.058 INFO  GetPileupSummaries - The Genome Analysis Toolkit (GATK) v4.5.0.0
11:20:40.059 INFO  GetPileupSummaries - For support and documentation go to https://software.broadinstitute.org/gatk/
11:20:40.059 INFO  GetPileupSummaries - Executing as vsc35407@i28l15 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
11:20:40.059 INFO  GetPileupSummaries - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
11:20:40.059 INFO  GetPileupSummaries - Start Date/Time: June 26, 2024 at 11:20:38 AM CEST
11:20:40.059 INFO  GetPileupSummaries - ------------------------------------------------------------
11:20:40.059 INFO  GetPileupSummaries - ------------------------------------------------------------
11:20:40.060 INFO  GetPileupSummaries - HTSJDK Version: 4.1.0
11:20:40.060 INFO  GetPileupSummaries - Picard Version: 3.1.1
11:20:40.060 INFO  GetPileupSummaries - Built for Spark Version: 3.5.0
11:20:40.060 INFO  GetPileupSummaries - HTSJDK Defaults.COMPRESSION_LEVEL : 2
11:20:40.061 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
11:20:40.061 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
11:20:40.061 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
11:20:40.061 INFO  GetPileupSummaries - Deflater: IntelDeflater
11:20:40.061 INFO  GetPileupSummaries - Inflater: IntelInflater
11:20:40.061 INFO  GetPileupSummaries - GCS max retries/reopens: 20
11:20:40.061 INFO  GetPileupSummaries - Requester pays: disabled
11:20:40.062 INFO  GetPileupSummaries - Initializing engine
11:20:40.253 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/gnomad_chr.vcf.gz
11:20:40.626 INFO  IntervalArgumentCollection - Processing 3117292070 bp from intervals
11:20:40.630 INFO  GetPileupSummaries - Done initializing engine
11:20:40.680 INFO  ProgressMeter - Starting traversal
11:20:40.682 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
11:20:50.729 INFO  ProgressMeter -          chr1:646812              0.2                626000        3739546.0
11:21:00.728 INFO  ProgressMeter -         chr1:1630599              0.3               1605000        4804190.6
11:21:10.727 INFO  ProgressMeter -         chr1:2665819              0.5               2631000        5254118.8
11:21:20.733 INFO  ProgressMeter -         chr1:3517654              0.7               3480000        5213353.0
11:21:30.738 INFO  ProgressMeter -         chr1:4375751              0.8               4338000        5199880.1
11:21:40.737 INFO  ProgressMeter -         chr1:5265295              1.0               5227000        5222213.0
11:21:50.744 INFO  ProgressMeter -         chr1:6148386              1.2               6109000        5231801.3
11:22:00.754 INFO  ProgressMeter -         chr1:7072039              1.3               7031000        5268574.1
11:22:10.757 INFO  ProgressMeter -         chr1:8030537              1.5               7989000        5321624.4
11:22:20.762 INFO  ProgressMeter -         chr1:8948622              1.7               8907000        5339928.1
11:22:30.770 INFO  ProgressMeter -         chr1:9833866              1.8               9792000        5336821.5
11:22:40.781 INFO  ProgressMeter -        chr1:10756290              2.0              10713000        5352129.1
11:22:50.781 INFO  ProgressMeter -        chr1:11594290              2.2              11551000        5327214.9
11:23:00.788 INFO  ProgressMeter -        chr1:12456306              2.3              12413000        5315870.2
11:23:10.799 INFO  ProgressMeter -        chr1:13278842              2.5              13206000        5278282.9
11:23:20.806 INFO  ProgressMeter -        chr1:14095842              2.7              14023000        5254552.7
11:23:30.813 INFO  ProgressMeter -        chr1:14976842              2.8              14904000        5256184.9
11:23:40.813 INFO  ProgressMeter -        chr1:15739842              3.0              15667000        5218535.4
11:23:50.819 INFO  ProgressMeter -        chr1:16491893              3.2              16317000        5149051.2
11:24:00.818 INFO  ProgressMeter -        chr1:17125320              3.3              16940000        5078546.6
11:24:10.838 INFO  ProgressMeter -        chr1:17799710              3.5              17614000        5028835.7
11:24:20.840 INFO  ProgressMeter -        chr1:18661710              3.7              18476000        5035292.8
11:24:30.880 INFO  ProgressMeter -        chr1:19457391              3.8              19271000        5022893.3
11:24:40.884 INFO  ProgressMeter -        chr1:20253932              4.0              20067000        5012552.0
11:24:50.885 INFO  ProgressMeter -        chr1:21138001              4.2              20951000        5024160.4
11:25:00.889 INFO  ProgressMeter -        chr1:22002461              4.3              21815000        5030225.9
11:25:10.921 INFO  ProgressMeter -        chr1:22901461              4.5              22714000        5043110.1
11:25:20.938 INFO  ProgressMeter -        chr1:23766777              4.7              23579000        5048027.5
11:25:30.955 INFO  ProgressMeter -        chr1:24567154              4.8              24379000        5039204.6
11:25:40.958 INFO  ProgressMeter -        chr1:25554233              5.0              25358000        5066938.4
11:25:50.960 INFO  ProgressMeter -        chr1:26524567              5.2              26328000        5091176.3
11:26:01.006 INFO  ProgressMeter -        chr1:27447567              5.3              27251000        5104394.3
11:26:11.013 INFO  ProgressMeter -        chr1:28381567              5.5              28185000        5119426.0
11:26:21.017 INFO  ProgressMeter -        chr1:29341829              5.7              29145000        5138172.7
11:26:31.031 INFO  ProgressMeter -        chr1:30194829              5.8              29998000        5137406.2
11:26:41.035 INFO  ProgressMeter -        chr1:31199829              6.0              31003000        5162104.9
11:26:51.074 INFO  ProgressMeter -        chr1:32058181              6.2              31861000        5161194.5
11:27:01.085 INFO  ProgressMeter -        chr1:32921312              6.3              32724000        5161473.5
11:27:11.087 INFO  ProgressMeter -        chr1:33812312              6.5              33615000        5166173.6
11:27:21.089 INFO  ProgressMeter -        chr1:34695312              6.7              34498000        5169440.1
11:27:31.124 INFO  ProgressMeter -        chr1:35581851              6.8              35384000        5172607.9
11:27:41.122 INFO  ProgressMeter -        chr1:36462124              7.0              36264000        5175149.8
11:27:51.130 INFO  ProgressMeter -        chr1:37386389              7.2              37188000        5183622.6
11:28:01.132 INFO  ProgressMeter -        chr1:38354389              7.3              38156000        5197775.0
11:28:11.139 INFO  ProgressMeter -        chr1:39247389              7.5              39049000        5201262.7
11:28:21.139 INFO  ProgressMeter -        chr1:40127028              7.7              39928000        5202842.4
11:28:31.210 INFO  ProgressMeter -        chr1:41041069              7.8              40842000        5208032.7
11:28:41.209 INFO  ProgressMeter -        chr1:41879069              8.0              41680000        5204286.1
11:28:51.235 INFO  ProgressMeter -        chr1:42661069              8.2              42462000        5193567.3
11:29:01.278 INFO  ProgressMeter -        chr1:43577069              8.3              43378000        5199183.4
11:29:11.319 INFO  ProgressMeter -        chr1:44462069              8.5              44263000        5200915.7
11:29:21.324 INFO  ProgressMeter -        chr1:45377177              8.7              45178000        5206418.2
11:29:31.327 INFO  ProgressMeter -        chr1:46296177              8.8              46097000        5212185.2
11:29:41.331 INFO  ProgressMeter -        chr1:47192603              9.0              46993000        5215176.6
11:29:51.338 INFO  ProgressMeter -        chr1:48140603              9.2              47941000        5223706.3
11:30:01.354 INFO  ProgressMeter -        chr1:49028673              9.3              48829000        5225408.1
11:30:11.371 INFO  ProgressMeter -        chr1:49958673              9.5              49759000        5231475.0
11:30:21.377 INFO  ProgressMeter -        chr1:50868082              9.7              50668000        5235244.0
11:30:31.380 INFO  ProgressMeter -        chr1:51811082              9.8              51611000        5242374.3
11:30:41.382 INFO  ProgressMeter -        chr1:52660440             10.0              52460000        5239895.5
11:30:51.398 INFO  ProgressMeter -        chr1:53621578             10.2              53420000        5248266.0
11:31:01.404 INFO  ProgressMeter -        chr1:54592652             10.3              54391000        5257522.7
11:31:11.410 INFO  ProgressMeter -        chr1:55582952             10.5              55381000        5268293.1
11:31:21.410 INFO  ProgressMeter -        chr1:57035952             10.7              56834000        5322133.6
11:31:31.416 INFO  ProgressMeter -        chr1:58493263             10.8              58291000        5374638.5
11:31:41.504 INFO  ProgressMeter -        chr1:59930263             11.0              59728000        5423745.2
11:31:51.425 INFO  ProgressMeter -        chr1:61361263             11.2              61159000        5470858.4
11:32:01.430 INFO  ProgressMeter -        chr1:62849263             11.3              62647000        5521602.7
11:32:11.432 INFO  ProgressMeter -        chr1:64308568             11.5              64106000        5568390.3
11:32:21.436 INFO  ProgressMeter -        chr1:65742836             11.7              65540000        5611669.7
11:32:31.443 INFO  ProgressMeter -        chr1:67147094             11.8              66944000        5651190.3
11:32:41.442 INFO  ProgressMeter -        chr1:68588855             12.0              68385000        5692741.0
11:32:51.445 INFO  ProgressMeter -        chr1:70005864             12.2              69801000        5731078.3
11:33:01.451 INFO  ProgressMeter -        chr1:71426071             12.3              71221000        5768688.7
11:33:11.454 INFO  ProgressMeter -        chr1:72827519             12.5              72622000        5803786.0
11:33:21.461 INFO  ProgressMeter -        chr1:74243769             12.7              74038000        5839127.8
11:33:31.460 INFO  ProgressMeter -        chr1:75773864             12.8              75567000        5882394.2
11:33:41.462 INFO  ProgressMeter -        chr1:77525928             13.0              77319000        5941673.7
11:33:51.465 INFO  ProgressMeter -        chr1:79287928             13.2              79081000        6000204.9
11:34:01.482 INFO  ProgressMeter -        chr1:81085937             13.3              80879000        6059978.6
11:34:11.471 INFO  ProgressMeter -        chr1:82884734             13.5              82677000        6118262.6
11:34:21.475 INFO  ProgressMeter -        chr1:84661541             13.7              84453000        6173525.1
11:34:31.476 INFO  ProgressMeter -        chr1:86437541             13.8              86229000        6227471.8
11:34:41.475 INFO  ProgressMeter -        chr1:88207273             14.0              87998000        6279643.1
11:34:51.477 INFO  ProgressMeter -        chr1:89948273             14.2              89739000        6328598.5
11:35:01.480 INFO  ProgressMeter -        chr1:91750607             14.3              91540000        6380591.0
11:35:11.482 INFO  ProgressMeter -        chr1:93528679             14.5              93318000        6429811.7
11:35:21.487 INFO  ProgressMeter -        chr1:95326981             14.7              95116000        6479254.8
11:35:31.489 INFO  ProgressMeter -        chr1:97113981             14.8              96903000        6526868.3
11:35:41.494 INFO  ProgressMeter -        chr1:98833981             15.0              98623000        6568947.3
11:35:51.497 INFO  ProgressMeter -       chr1:100550981             15.2             100340000        6609904.3
11:36:01.502 INFO  ProgressMeter -       chr1:102270582             15.3             102059000        6650094.5
11:36:11.503 INFO  ProgressMeter -       chr1:104342981             15.5             103827000        6692607.9
11:36:21.505 INFO  ProgressMeter -       chr1:106135266             15.7             105619000        6735740.9
11:36:31.508 INFO  ProgressMeter -       chr1:107864266             15.8             107348000        6773991.0
11:36:41.513 INFO  ProgressMeter -       chr1:109744098             16.0             109186000        6818223.0
11:36:51.517 INFO  ProgressMeter -       chr1:111534098             16.2             110976000        6858590.8
11:37:01.517 INFO  ProgressMeter -       chr1:113358105             16.3             112798000        6900120.8
11:37:11.517 INFO  ProgressMeter -       chr1:114895375             16.5             114335000        6923554.4
11:37:21.518 INFO  ProgressMeter -       chr1:116705040             16.7             116144000        6962826.0
11:37:31.517 INFO  ProgressMeter -       chr1:118499047             16.8             117938000        7000430.3
11:37:41.520 INFO  ProgressMeter -       chr1:120450273             17.0             119854000        7044447.8
11:37:51.524 INFO  ProgressMeter -       chr1:124195002             17.2             122744000        7144295.6
11:38:01.526 INFO  ProgressMeter -       chr1:127955083             17.3             125503000        7234693.4
11:38:11.527 INFO  ProgressMeter -       chr1:130386063             17.5             127586000        7284766.1
11:38:21.527 INFO  ProgressMeter -       chr1:137901571             17.7             132322000        7483958.5
11:38:31.532 INFO  ProgressMeter -       chr1:142820843             17.8             135903000        7614679.9
11:38:41.535 INFO  ProgressMeter -       chr1:145665804             18.0             138370000        7681155.5
11:38:51.537 INFO  ProgressMeter -       chr1:147814536             18.2             140391000        7721895.0
11:39:01.540 INFO  ProgressMeter -       chr1:149962192             18.3             142479000        7765524.7
11:39:11.543 INFO  ProgressMeter -       chr1:151885370             18.5             144357000        7797033.1
11:39:21.544 INFO  ProgressMeter -       chr1:153849370             18.7             146321000        7832596.7
11:39:35.735 INFO  ProgressMeter -       chr1:155887982             18.9             148359000        7842400.3
11:39:52.367 INFO  ProgressMeter -       chr1:155930982             19.2             148402000        7731384.9
11:40:02.369 INFO  ProgressMeter -       chr1:156977982             19.4             149449000        7718895.0
11:40:12.369 INFO  ProgressMeter -       chr1:158785431             19.5             151254000        7745447.4
11:40:22.371 INFO  ProgressMeter -       chr1:160766839             19.7             153114000        7774329.8
11:40:32.372 INFO  ProgressMeter -       chr1:162710279             19.9             154995000        7803797.8
11:40:42.373 INFO  ProgressMeter -       chr1:164552555             20.0             156837000        7830821.6
11:40:52.372 INFO  ProgressMeter -       chr1:166376555             20.2             158661000        7856514.5
11:41:02.374 INFO  ProgressMeter -       chr1:168147247             20.4             160431000        7879128.2
11:41:12.375 INFO  ProgressMeter -       chr1:169896289             20.5             162180000        7900345.3
11:41:22.378 INFO  ProgressMeter -       chr1:171700381             20.7             163984000        7923871.9
11:41:32.382 INFO  ProgressMeter -       chr1:173458757             20.9             165742000        7944811.1
11:41:42.384 INFO  ProgressMeter -       chr1:175282957             21.0             167566000        7968569.4
11:41:52.389 INFO  ProgressMeter -       chr1:177134254             21.2             169417000        7993209.1
11:42:02.389 INFO  ProgressMeter -       chr1:178983426             21.4             171266000        8017401.8
11:42:12.394 INFO  ProgressMeter -       chr1:180773530             21.5             173055000        8038401.7
11:42:22.399 INFO  ProgressMeter -       chr1:182596530             21.7             174878000        8060646.1
11:42:32.404 INFO  ProgressMeter -       chr1:184397817             21.9             176679000        8081550.9
11:42:42.408 INFO  ProgressMeter -       chr1:186159825             22.0             178441000        8100362.7
11:42:52.409 INFO  ProgressMeter -       chr1:187931825             22.2             180213000        8119366.8
11:43:02.409 INFO  ProgressMeter -       chr1:189702825             22.4             181984000        8138048.9
11:43:12.413 INFO  ProgressMeter -       chr1:191459992             22.5             183741000        8155815.1
11:43:22.418 INFO  ProgressMeter -       chr1:193215080             22.7             185496000        8173220.2
11:43:32.419 INFO  ProgressMeter -       chr1:194975138             22.9             187256000        8190608.0
11:43:42.422 INFO  ProgressMeter -       chr1:196692138             23.0             188973000        8205870.9
11:43:52.425 INFO  ProgressMeter -       chr1:198381466             23.2             190662000        8219707.2
11:44:02.428 INFO  ProgressMeter -       chr1:200162466             23.4             192443000        8237284.1
11:44:12.432 INFO  ProgressMeter -       chr1:202099122             23.5             194379000        8261193.6
11:44:22.435 INFO  ProgressMeter -       chr1:204003906             23.7             196283000        8283427.8
11:44:32.438 INFO  ProgressMeter -       chr1:205938956             23.9             198218000        8306644.6
11:44:42.437 INFO  ProgressMeter -       chr1:207736826             24.0             200015000        8323813.7
11:44:52.442 INFO  ProgressMeter -       chr1:209577826             24.2             201856000        8342536.0
11:45:02.442 INFO  ProgressMeter -       chr1:211408596             24.4             203686000        8360579.0
11:45:12.442 INFO  ProgressMeter -       chr1:213242596             24.5             205520000        8378540.0
11:45:22.445 INFO  ProgressMeter -       chr1:215073688             24.7             207351000        8396125.7
11:45:32.445 INFO  ProgressMeter -       chr1:216916929             24.9             209194000        8413963.9
11:45:42.448 INFO  ProgressMeter -       chr1:218749015             25.0             211026000        8431113.8
11:45:52.451 INFO  ProgressMeter -       chr1:220588434             25.2             212864000        8448280.4
