Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P028_dna_normal.marked.bam --bqsr-recal-file results/recal/table/P028_dna_normal_recal_data.table -O results/recal/P028_dna_normal_recal.bam --create-output-bam-index false
22:11:08.689 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
22:11:09.028 INFO  ApplyBQSR - ------------------------------------------------------------
22:11:09.030 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
22:11:09.030 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
22:11:09.030 INFO  ApplyBQSR - Executing as vsc35407@i28l17 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
22:11:09.031 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
22:11:09.031 INFO  ApplyBQSR - Start Date/Time: March 31, 2024 at 10:11:08 PM CEST
22:11:09.031 INFO  ApplyBQSR - ------------------------------------------------------------
22:11:09.031 INFO  ApplyBQSR - ------------------------------------------------------------
22:11:09.031 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
22:11:09.032 INFO  ApplyBQSR - Picard Version: 3.1.1
22:11:09.032 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
22:11:09.032 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
22:11:09.032 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
22:11:09.032 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
22:11:09.032 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
22:11:09.032 INFO  ApplyBQSR - Deflater: IntelDeflater
22:11:09.033 INFO  ApplyBQSR - Inflater: IntelInflater
22:11:09.033 INFO  ApplyBQSR - GCS max retries/reopens: 20
22:11:09.033 INFO  ApplyBQSR - Requester pays: disabled
22:11:09.033 INFO  ApplyBQSR - Initializing engine
22:11:09.185 INFO  ApplyBQSR - Done initializing engine
22:11:09.196 INFO  ProgressMeter - Starting traversal
22:11:09.197 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
22:11:19.202 INFO  ProgressMeter -         chr1:1800266              0.2                609000        3652539.0
22:11:29.211 INFO  ProgressMeter -         chr1:3654607              0.3               1256000        3765552.4
22:11:39.211 INFO  ProgressMeter -         chr1:5341638              0.5               1893000        3784234.0
22:11:49.223 INFO  ProgressMeter -         chr1:7115810              0.7               2527000        3788132.4
22:11:59.231 INFO  ProgressMeter -         chr1:8813881              0.8               3162000        3791897.3
22:12:09.245 INFO  ProgressMeter -        chr1:10617743              1.0               3799000        3796026.4
22:12:19.251 INFO  ProgressMeter -        chr1:12357950              1.2               4436000        3799354.8
22:12:29.253 INFO  ProgressMeter -        chr1:13974148              1.3               5070000        3799887.6
22:12:39.254 INFO  ProgressMeter -        chr1:15732409              1.5               5705000        3800968.3
22:12:49.264 INFO  ProgressMeter -        chr1:17202000              1.7               6331000        3796056.6
22:12:59.269 INFO  ProgressMeter -        chr1:18959438              1.8               6963000        3795515.7
22:13:09.280 INFO  ProgressMeter -        chr1:20665783              2.0               7596000        3795469.7
22:13:19.285 INFO  ProgressMeter -        chr1:22365006              2.2               8228000        3794969.6
22:13:29.297 INFO  ProgressMeter -        chr1:24106156              2.3               8864000        3796145.6
22:13:39.299 INFO  ProgressMeter -        chr1:25755354              2.5               9517000        3804213.1
22:13:49.307 INFO  ProgressMeter -        chr1:27544395              2.7              10151000        3804009.7
22:13:59.317 INFO  ProgressMeter -        chr1:29274578              2.8              10786000        3804160.6
22:14:09.317 INFO  ProgressMeter -        chr1:30962554              3.0              11420000        3804130.6
22:14:19.317 INFO  ProgressMeter -        chr1:32701131              3.2              12053000        3803808.1
22:14:29.324 INFO  ProgressMeter -        chr1:34347377              3.3              12689000        3804284.3
22:14:39.333 INFO  ProgressMeter -        chr1:35995526              3.5              13326000        3804964.4
22:14:49.345 INFO  ProgressMeter -        chr1:37720791              3.7              13963000        3805530.8
22:14:59.352 INFO  ProgressMeter -        chr1:39377826              3.8              14598000        3805609.3
22:15:09.352 INFO  ProgressMeter -        chr1:41041554              4.0              15233000        3805792.1
22:15:19.367 INFO  ProgressMeter -        chr1:42653553              4.2              15868000        3805732.1
22:15:29.373 INFO  ProgressMeter -        chr1:44329861              4.3              16504000        3806039.0
22:15:39.376 INFO  ProgressMeter -        chr1:45978232              4.5              17139000        3806143.3
22:15:49.384 INFO  ProgressMeter -        chr1:47620941              4.7              17775000        3806400.0
22:15:59.391 INFO  ProgressMeter -        chr1:49195923              4.8              18410000        3806432.3
22:16:09.394 INFO  ProgressMeter -        chr1:50715274              5.0              19045000        3806513.1
22:16:19.402 INFO  ProgressMeter -        chr1:52285487              5.2              19679000        3806321.6
22:16:29.405 INFO  ProgressMeter -        chr1:53946661              5.3              20312000        3806026.1
22:16:39.419 INFO  ProgressMeter -        chr1:55587672              5.5              20945000        3805633.2
22:16:49.422 INFO  ProgressMeter -        chr1:57100854              5.7              21574000        3804658.7
