Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar GetPileupSummaries -I results/recal/P028/P028_dna_tumor_recal.bam -L resources/whole_genome.intervals -V resources/gnomad_chr.vcf.gz -O results/mutect2/P028/P028_tumor_pileup_summaries.table
11:26:58.379 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
11:26:58.990 INFO  GetPileupSummaries - ------------------------------------------------------------
11:26:58.992 INFO  GetPileupSummaries - The Genome Analysis Toolkit (GATK) v4.5.0.0
11:26:58.993 INFO  GetPileupSummaries - For support and documentation go to https://software.broadinstitute.org/gatk/
11:26:58.993 INFO  GetPileupSummaries - Executing as vsc35407@g28l25 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
11:26:58.993 INFO  GetPileupSummaries - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
11:26:58.993 INFO  GetPileupSummaries - Start Date/Time: June 26, 2024 at 11:26:58 AM CEST
11:26:58.993 INFO  GetPileupSummaries - ------------------------------------------------------------
11:26:58.993 INFO  GetPileupSummaries - ------------------------------------------------------------
11:26:58.994 INFO  GetPileupSummaries - HTSJDK Version: 4.1.0
11:26:58.994 INFO  GetPileupSummaries - Picard Version: 3.1.1
11:26:58.994 INFO  GetPileupSummaries - Built for Spark Version: 3.5.0
11:26:58.994 INFO  GetPileupSummaries - HTSJDK Defaults.COMPRESSION_LEVEL : 2
11:26:58.994 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
11:26:58.994 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
11:26:58.995 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
11:26:58.995 INFO  GetPileupSummaries - Deflater: IntelDeflater
11:26:58.995 INFO  GetPileupSummaries - Inflater: IntelInflater
11:26:58.995 INFO  GetPileupSummaries - GCS max retries/reopens: 20
11:26:58.995 INFO  GetPileupSummaries - Requester pays: disabled
11:26:58.995 INFO  GetPileupSummaries - Initializing engine
11:26:59.191 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/gnomad_chr.vcf.gz
11:26:59.470 INFO  IntervalArgumentCollection - Processing 3117292070 bp from intervals
11:26:59.474 INFO  GetPileupSummaries - Done initializing engine
11:26:59.480 INFO  ProgressMeter - Starting traversal
11:26:59.480 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
11:27:09.486 INFO  ProgressMeter -         chr1:1276279              0.2               1240000        7438512.3
11:27:19.487 INFO  ProgressMeter -         chr1:2609625              0.3               2555000        7662701.2
11:27:29.491 INFO  ProgressMeter -         chr1:3845294              0.5               3788000        7573475.5
11:27:39.497 INFO  ProgressMeter -         chr1:4966840              0.7               4909000        7360371.8
11:27:49.503 INFO  ProgressMeter -         chr1:6187446              0.8               6129000        7351565.3
11:27:59.511 INFO  ProgressMeter -         chr1:7343085              1.0               7283000        7279239.1
11:28:09.518 INFO  ProgressMeter -         chr1:8471394              1.2               8411000        7205619.9
11:28:19.524 INFO  ProgressMeter -         chr1:9681396              1.3               9621000        7211783.5
11:28:29.527 INFO  ProgressMeter -        chr1:10870666              1.5              10810000        7202985.1
11:28:39.531 INFO  ProgressMeter -        chr1:12053666              1.7              11993000        7192203.9
11:28:49.533 INFO  ProgressMeter -        chr1:13251843              1.8              13158000        7173634.5
11:28:59.538 INFO  ProgressMeter -        chr1:14347843              2.0              14254000        7123556.9
11:29:09.540 INFO  ProgressMeter -        chr1:15546566              2.2              15452000        7128457.1
11:29:19.545 INFO  ProgressMeter -        chr1:16824308              2.3              16582000        7103273.5
11:29:29.548 INFO  ProgressMeter -        chr1:18009683              2.5              17767000        7103579.7
11:29:39.551 INFO  ProgressMeter -        chr1:19171325              2.7              18928000        7094851.7
11:29:49.554 INFO  ProgressMeter -        chr1:20321325              2.8              20078000        7083311.3
11:29:59.561 INFO  ProgressMeter -        chr1:21486492              3.0              21243000        7077815.0
11:30:09.562 INFO  ProgressMeter -        chr1:22671315              3.2              22427000        7079192.6
11:30:19.569 INFO  ProgressMeter -        chr1:23823342              3.3              23579000        7070553.6
11:30:29.574 INFO  ProgressMeter -        chr1:24971659              3.5              24727000        7061696.2
11:30:39.579 INFO  ProgressMeter -        chr1:26141693              3.7              25889000        7057492.6
11:30:49.580 INFO  ProgressMeter -        chr1:27354693              3.8              27102000        7067014.3
11:30:59.581 INFO  ProgressMeter -        chr1:28537693              4.0              28285000        7068275.4
11:31:09.583 INFO  ProgressMeter -        chr1:29692729              4.2              29440000        7062690.2
11:31:19.588 INFO  ProgressMeter -        chr1:30841729              4.3              30589000        7056096.1
11:31:29.592 INFO  ProgressMeter -        chr1:32007996              4.5              31755000        7053740.7
11:31:39.597 INFO  ProgressMeter -        chr1:33190055              4.7              32937000        7055005.8
11:31:49.596 INFO  ProgressMeter -        chr1:34293055              4.8              34040000        7039942.6
11:31:59.600 INFO  ProgressMeter -        chr1:35414620              5.0              35161000        7029388.2
11:32:09.605 INFO  ProgressMeter -        chr1:36581901              5.2              36328000        7028391.8
11:32:19.613 INFO  ProgressMeter -        chr1:37745171              5.3              37491000        7026642.1
11:32:29.621 INFO  ProgressMeter -        chr1:38880171              5.5              38626000        7019930.9
11:32:39.623 INFO  ProgressMeter -        chr1:40026056              5.7              39771000        7015461.1
11:32:49.624 INFO  ProgressMeter -        chr1:41143056              5.8              40888000        7006508.8
11:32:59.627 INFO  ProgressMeter -        chr1:42244056              6.0              41989000        6995310.2
11:33:09.630 INFO  ProgressMeter -        chr1:43368056              6.2              43113000        6988464.1
