Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar Mutect2 -R resources/genome.fa -I results/recal/P019/P019_dna_tumor_recal.bam -I results/recal/P019/P019_dna_normal_recal.bam -normal P019_normal --germline-resource resources/gnomad_chr.vcf.gz --panel-of-normals results/mutect2/pon/mutect2.pon.vcf.gz -O results/mutect2/P019/P019_variants.vcf --f1r2-tar-gz results/mutect2/P019/P019_f1r2.tar.gz --native-pair-hmm-threads 16
13:03:50.068 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
13:03:50.428 INFO  Mutect2 - ------------------------------------------------------------
13:03:50.430 INFO  Mutect2 - The Genome Analysis Toolkit (GATK) v4.5.0.0
13:03:50.430 INFO  Mutect2 - For support and documentation go to https://software.broadinstitute.org/gatk/
13:03:50.430 INFO  Mutect2 - Executing as vsc35407@i28l15 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
13:03:50.430 INFO  Mutect2 - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
13:03:50.431 INFO  Mutect2 - Start Date/Time: June 28, 2024 at 1:03:49 PM CEST
13:03:50.431 INFO  Mutect2 - ------------------------------------------------------------
13:03:50.431 INFO  Mutect2 - ------------------------------------------------------------
13:03:50.431 INFO  Mutect2 - HTSJDK Version: 4.1.0
13:03:50.431 INFO  Mutect2 - Picard Version: 3.1.1
13:03:50.431 INFO  Mutect2 - Built for Spark Version: 3.5.0
13:03:50.431 INFO  Mutect2 - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:03:50.432 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:03:50.432 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:03:50.432 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:03:50.432 INFO  Mutect2 - Deflater: IntelDeflater
13:03:50.432 INFO  Mutect2 - Inflater: IntelInflater
13:03:50.432 INFO  Mutect2 - GCS max retries/reopens: 20
13:03:50.432 INFO  Mutect2 - Requester pays: disabled
13:03:50.432 INFO  Mutect2 - Initializing engine
13:03:50.773 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/results/mutect2/pon/mutect2.pon.vcf.gz
13:03:50.982 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/gnomad_chr.vcf.gz
13:03:51.120 INFO  Mutect2 - Done initializing engine
13:03:51.125 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
13:03:51.195 INFO  NativeLibraryLoader - Loading libgkl_smithwaterman.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_smithwaterman.so
13:03:51.196 INFO  IntelSmithWaterman - Using CPU-supported AVX-512 instructions
13:03:51.196 INFO  SmithWatermanAligner - Using AVX accelerated SmithWaterman implementation
13:03:51.204 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
13:03:51.224 INFO  IntelPairHmm - Using CPU-supported AVX-512 instructions
13:03:51.224 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
13:03:51.225 INFO  IntelPairHmm - Available threads: 16
13:03:51.226 INFO  IntelPairHmm - Requested threads: 16
13:03:51.226 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
13:03:51.286 INFO  ProgressMeter - Starting traversal
13:03:51.286 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
13:04:01.290 INFO  ProgressMeter -          chr1:341933              0.2                  1380           8277.5
13:04:11.336 INFO  ProgressMeter -          chr1:630703              0.3                  2590           7750.6
13:04:21.388 INFO  ProgressMeter -          chr1:920891              0.5                  3810           7594.2
13:04:31.443 INFO  ProgressMeter -         chr1:1235480              0.7                  5060           7560.3
13:04:41.473 INFO  ProgressMeter -         chr1:1549431              0.8                  6330           7567.7
13:04:51.499 INFO  ProgressMeter -         chr1:1872178              1.0                  7620           7593.0
13:05:01.608 INFO  ProgressMeter -         chr1:2135924              1.2                  8770           7482.7
13:05:11.624 INFO  ProgressMeter -         chr1:2262779              1.3                  9520           7110.0
13:05:21.674 INFO  ProgressMeter -         chr1:2618041              1.5                 10930           7255.4
13:05:31.684 INFO  ProgressMeter -         chr1:2953695              1.7                 12240           7314.9
13:05:41.713 INFO  ProgressMeter -         chr1:3286492              1.8                 13580           7378.6
13:05:51.736 INFO  ProgressMeter -         chr1:3579629              2.0                 14730           7337.5
13:06:01.738 INFO  ProgressMeter -         chr1:3961162              2.2                 16160           7432.6
13:06:11.796 INFO  ProgressMeter -         chr1:4345769              2.3                 17590           7511.2
13:06:21.809 INFO  ProgressMeter -         chr1:4746605              2.5                 19050           7593.6
13:06:31.870 INFO  ProgressMeter -         chr1:5120493              2.7                 20460           7644.6
13:06:41.885 INFO  ProgressMeter -         chr1:5489137              2.8                 21850           7684.7
13:06:51.891 INFO  ProgressMeter -         chr1:5836318              3.0                 23210           7710.7
13:07:01.946 INFO  ProgressMeter -         chr1:6163463              3.2                 24500           7710.1
13:07:11.975 INFO  ProgressMeter -         chr1:6489647              3.3                 25790           7710.5
13:07:21.984 INFO  ProgressMeter -         chr1:6872679              3.5                 27220           7751.4
13:07:32.044 INFO  ProgressMeter -         chr1:7249870              3.7                 28650           7786.8
13:07:42.087 INFO  ProgressMeter -         chr1:7599704              3.8                 30020           7804.1
13:07:52.156 INFO  ProgressMeter -         chr1:7907531              4.0                 31280           7791.8
13:08:02.211 INFO  ProgressMeter -         chr1:8291797              4.2                 32730           7826.2
13:08:12.240 INFO  ProgressMeter -         chr1:8611017              4.3                 34000           7817.5
13:08:22.255 INFO  ProgressMeter -         chr1:8940745              4.5                 35300           7816.4
13:08:32.270 INFO  ProgressMeter -         chr1:9245942              4.7                 36550           7804.7
13:08:42.272 INFO  ProgressMeter -         chr1:9576693              4.8                 37870           7808.6
13:08:52.352 INFO  ProgressMeter -         chr1:9923419              5.0                 39230           7818.2
13:09:02.393 INFO  ProgressMeter -        chr1:10250484              5.2                 40520           7814.7
13:09:12.419 INFO  ProgressMeter -        chr1:10580591              5.4                 41820           7813.6
13:09:22.444 INFO  ProgressMeter -        chr1:10921561              5.5                 43150           7818.0
13:09:32.493 INFO  ProgressMeter -        chr1:11260634              5.7                 44470           7819.9
13:09:42.506 INFO  ProgressMeter -        chr1:11587439              5.9                 45770           7819.0
13:09:52.533 INFO  ProgressMeter -        chr1:11935629              6.0                 47110           7824.6
13:10:02.573 INFO  ProgressMeter -        chr1:12297730              6.2                 48480           7834.4
13:10:12.605 INFO  ProgressMeter -        chr1:12630404              6.4                 49790           7834.4
13:10:22.655 INFO  ProgressMeter -        chr1:12985761              6.5                 51210           7850.9
13:10:32.684 INFO  ProgressMeter -        chr1:13353682              6.7                 52610           7864.0
13:10:42.762 INFO  ProgressMeter -        chr1:13753002              6.9                 54080           7885.8
13:10:52.826 INFO  ProgressMeter -        chr1:14147918              7.0                 55550           7906.7
13:11:02.957 INFO  ProgressMeter -        chr1:14485795              7.2                 56850           7901.9
13:11:12.974 INFO  ProgressMeter -        chr1:14832740              7.4                 58170           7902.0
13:11:23.035 INFO  ProgressMeter -        chr1:15159726              7.5                 59470           7898.6
13:11:33.091 INFO  ProgressMeter -        chr1:15467629              7.7                 60710           7887.7
13:11:43.151 INFO  ProgressMeter -        chr1:15782822              7.9                 61980           7881.1
13:11:53.157 INFO  ProgressMeter -        chr1:16132601              8.0                 63410           7895.5
13:12:03.157 INFO  ProgressMeter -        chr1:16579545              8.2                 65160           7948.4
13:12:13.158 INFO  ProgressMeter -        chr1:16921607              8.4                 66500           7950.2
13:12:23.216 INFO  ProgressMeter -        chr1:17261963              8.5                 67820           7948.7
13:12:33.246 INFO  ProgressMeter -        chr1:17602585              8.7                 69150           7948.9
13:12:43.329 INFO  ProgressMeter -        chr1:17977877              8.9                 70560           7957.3
13:12:53.374 INFO  ProgressMeter -        chr1:18355716              9.0                 71970           7965.9
13:13:03.424 INFO  ProgressMeter -        chr1:18700806              9.2                 73310           7966.5
13:13:13.440 INFO  ProgressMeter -        chr1:19078858              9.4                 74720           7975.0
