Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P020_dna_normal.marked.bam --bqsr-recal-file results/recal/table/P020_dna_normal_recal_data.table -O results/recal/P020_dna_normal_recal.bam --create-output-bam-index false
10:55:12.592 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
10:55:12.871 INFO  ApplyBQSR - ------------------------------------------------------------
10:55:12.875 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
10:55:12.875 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
10:55:12.875 INFO  ApplyBQSR - Executing as vsc35407@g28l15 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
10:55:12.875 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
10:55:12.876 INFO  ApplyBQSR - Start Date/Time: March 31, 2024 at 10:55:12 AM CEST
10:55:12.876 INFO  ApplyBQSR - ------------------------------------------------------------
10:55:12.876 INFO  ApplyBQSR - ------------------------------------------------------------
10:55:12.877 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
10:55:12.877 INFO  ApplyBQSR - Picard Version: 3.1.1
10:55:12.877 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
10:55:12.878 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
10:55:12.878 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
10:55:12.878 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
10:55:12.878 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
10:55:12.878 INFO  ApplyBQSR - Deflater: IntelDeflater
10:55:12.878 INFO  ApplyBQSR - Inflater: IntelInflater
10:55:12.879 INFO  ApplyBQSR - GCS max retries/reopens: 20
10:55:12.879 INFO  ApplyBQSR - Requester pays: disabled
10:55:12.879 INFO  ApplyBQSR - Initializing engine
10:55:13.032 INFO  ApplyBQSR - Done initializing engine
10:55:13.043 INFO  ProgressMeter - Starting traversal
10:55:13.043 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
10:55:23.057 INFO  ProgressMeter -         chr1:2385487              0.2                629000        3769476.6
10:55:33.064 INFO  ProgressMeter -         chr1:5129985              0.3               1288000        3860139.9
10:55:43.074 INFO  ProgressMeter -         chr1:7890722              0.5               1947000        3890239.4
10:55:53.076 INFO  ProgressMeter -        chr1:10626664              0.7               2599000        3895383.7
10:56:03.081 INFO  ProgressMeter -        chr1:13324624              0.8               3253000        3900791.4
10:56:13.083 INFO  ProgressMeter -        chr1:16032448              1.0               3910000        3907460.2
10:56:23.086 INFO  ProgressMeter -        chr1:18386632              1.2               4562000        3907996.7
10:56:33.094 INFO  ProgressMeter -        chr1:21141678              1.3               5220000        3912554.7
10:56:43.099 INFO  ProgressMeter -        chr1:23875983              1.5               5877000        3915650.6
10:56:53.100 INFO  ProgressMeter -        chr1:26518736              1.7               6513000        3905651.9
10:57:03.105 INFO  ProgressMeter -        chr1:29276589              1.8               7170000        3908741.5
10:57:13.120 INFO  ProgressMeter -        chr1:32025590              2.0               7828000        3911522.7
10:57:23.124 INFO  ProgressMeter -        chr1:34758109              2.2               8481000        3911900.4
10:57:33.135 INFO  ProgressMeter -        chr1:37516291              2.3               9138000        3913825.6
10:57:43.145 INFO  ProgressMeter -        chr1:40275554              2.5               9795000        3915363.7
10:57:53.152 INFO  ProgressMeter -        chr1:43026346              2.7              10452000        3916856.1
10:58:03.163 INFO  ProgressMeter -        chr1:45773839              2.8              11109000        3918080.9
10:58:13.171 INFO  ProgressMeter -        chr1:48512667              3.0              11765000        3918923.4
10:58:23.180 INFO  ProgressMeter -        chr1:51322550              3.2              12422000        3919931.0
10:58:33.181 INFO  ProgressMeter -        chr1:54074650              3.3              13079000        3921033.7
10:58:43.184 INFO  ProgressMeter -        chr1:56849022              3.5              13736000        3921956.8
10:58:53.196 INFO  ProgressMeter -        chr1:59675708              3.7              14394000        3922943.8
10:59:03.203 INFO  ProgressMeter -        chr1:62494520              3.8              15051000        3923635.4
10:59:13.218 INFO  ProgressMeter -        chr1:65307769              4.0              15709000        3924421.1
10:59:23.225 INFO  ProgressMeter -        chr1:68099660              4.2              16366000        3925014.0
10:59:33.229 INFO  ProgressMeter -        chr1:70971226              4.3              17023000        3925591.4
10:59:43.241 INFO  ProgressMeter -        chr1:73927493              4.5              17681000        3926246.4
10:59:53.249 INFO  ProgressMeter -        chr1:76785924              4.7              18336000        3926282.3
11:00:03.248 INFO  ProgressMeter -        chr1:79644967              4.8              18993000        3926823.9
11:00:13.256 INFO  ProgressMeter -        chr1:82589069              5.0              19650000        3927224.8
11:00:23.264 INFO  ProgressMeter -        chr1:85434310              5.2              20305000        3927225.6
11:00:33.274 INFO  ProgressMeter -        chr1:88268376              5.3              20962000        3927552.1
11:00:43.284 INFO  ProgressMeter -        chr1:91053703              5.5              21619000        3927882.5
11:00:53.291 INFO  ProgressMeter -        chr1:93868408              5.7              22276000        3928205.1
