Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P018/P018_dna_tumor.marked.bam --bqsr-recal-file results/recal/P018/P018_dna_tumor_recal_data.table -O results/recal/P018/P018_dna_tumor_recal.bam --create-output-bam-index false
01:25:16.620 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
01:25:16.743 INFO  ApplyBQSR - ------------------------------------------------------------
01:25:16.746 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
01:25:16.746 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
01:25:16.746 INFO  ApplyBQSR - Executing as vsc35407@g28l22 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
01:25:16.746 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
01:25:16.746 INFO  ApplyBQSR - Start Date/Time: June 25, 2024 at 1:25:16 AM CEST
01:25:16.746 INFO  ApplyBQSR - ------------------------------------------------------------
01:25:16.746 INFO  ApplyBQSR - ------------------------------------------------------------
01:25:16.747 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
01:25:16.747 INFO  ApplyBQSR - Picard Version: 3.1.1
01:25:16.747 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
01:25:16.747 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
01:25:16.748 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
01:25:16.748 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
01:25:16.748 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
01:25:16.748 INFO  ApplyBQSR - Deflater: IntelDeflater
01:25:16.748 INFO  ApplyBQSR - Inflater: IntelInflater
01:25:16.748 INFO  ApplyBQSR - GCS max retries/reopens: 20
01:25:16.748 INFO  ApplyBQSR - Requester pays: disabled
01:25:16.749 INFO  ApplyBQSR - Initializing engine
01:25:16.871 INFO  ApplyBQSR - Done initializing engine
01:25:16.891 INFO  ProgressMeter - Starting traversal
01:25:16.892 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
01:25:26.903 INFO  ProgressMeter -         chr1:1526303              0.2                610000        3657074.3
01:25:36.902 INFO  ProgressMeter -         chr1:3104281              0.3               1273000        3817282.2
01:25:46.916 INFO  ProgressMeter -         chr1:4704368              0.5               1935000        3867035.3
01:25:56.933 INFO  ProgressMeter -         chr1:6207781              0.7               2556000        3830265.5
01:26:06.939 INFO  ProgressMeter -         chr1:7792458              0.8               3192000        3826802.8
01:26:16.943 INFO  ProgressMeter -         chr1:9538593              1.0               3868000        3864779.4
01:26:26.953 INFO  ProgressMeter -        chr1:11197016              1.2               4521000        3871768.9
01:26:36.965 INFO  ProgressMeter -        chr1:12816253              1.3               5195000        3892746.5
01:26:46.967 INFO  ProgressMeter -        chr1:14502623              1.5               5872000        3911450.6
01:26:56.969 INFO  ProgressMeter -        chr1:16254252              1.7               6547000        3925177.6
01:27:06.980 INFO  ProgressMeter -        chr1:17879999              1.8               7221000        3935614.6
01:27:16.986 INFO  ProgressMeter -        chr1:19537669              2.0               7898000        3945941.9
01:27:26.987 INFO  ProgressMeter -        chr1:21086758              2.2               8508000        3923901.8
01:27:36.988 INFO  ProgressMeter -        chr1:22598135              2.3               9113000        3902923.0
01:27:46.988 INFO  ProgressMeter -        chr1:24154057              2.5               9722000        3886312.8
01:27:56.999 INFO  ProgressMeter -        chr1:25776466              2.7              10332000        3871910.7
01:28:07.006 INFO  ProgressMeter -        chr1:27507149              2.8              10999000        3879398.5
01:28:17.009 INFO  ProgressMeter -        chr1:29286991              3.0              11676000        3889471.8
01:28:27.019 INFO  ProgressMeter -        chr1:30936497              3.2              12355000        3898993.3
01:28:37.032 INFO  ProgressMeter -        chr1:32566766              3.3              12981000        3891595.3
01:28:47.040 INFO  ProgressMeter -        chr1:34106496              3.5              13612000        3886422.4
01:28:57.049 INFO  ProgressMeter -        chr1:35797718              3.7              14273000        3889878.1
01:29:07.058 INFO  ProgressMeter -        chr1:37464836              3.8              14948000        3896665.9
01:29:17.063 INFO  ProgressMeter -        chr1:39158196              4.0              15619000        3902002.3
01:29:27.076 INFO  ProgressMeter -        chr1:40736179              4.2              16234000        3893325.7
01:29:37.079 INFO  ProgressMeter -        chr1:42261371              4.3              16845000        3884513.8
01:29:47.088 INFO  ProgressMeter -        chr1:43797007              4.5              17455000        3876089.5
01:29:57.096 INFO  ProgressMeter -        chr1:45342498              4.7              18066000        3868467.3
01:30:07.105 INFO  ProgressMeter -        chr1:46978012              4.8              18717000        3869640.6
01:30:17.120 INFO  ProgressMeter -        chr1:48473602              5.0              19333000        3863663.6
01:30:27.122 INFO  ProgressMeter -        chr1:50049470              5.2              19972000        3862695.0
01:30:37.129 INFO  ProgressMeter -        chr1:51776297              5.3              20641000        3867323.3
01:30:47.138 INFO  ProgressMeter -        chr1:53473665              5.5              21303000        3870387.5
01:30:57.151 INFO  ProgressMeter -        chr1:55075717              5.7              21946000        3869887.0
01:31:07.153 INFO  ProgressMeter -        chr1:56772142              5.8              22621000        3874996.1
01:31:17.159 INFO  ProgressMeter -        chr1:58464466              6.0              23296000        3879789.2
01:31:27.163 INFO  ProgressMeter -        chr1:60156560              6.2              23971000        3884354.7
01:31:37.166 INFO  ProgressMeter -        chr1:61879556              6.3              24638000        3887407.5
01:31:47.169 INFO  ProgressMeter -        chr1:63604487              6.5              25314000        3891697.4
01:31:57.174 INFO  ProgressMeter -        chr1:65316239              6.7              25988000        3895453.7
01:32:07.186 INFO  ProgressMeter -        chr1:67039853              6.8              26661000        3898814.0
01:32:17.186 INFO  ProgressMeter -        chr1:68697701              7.0              27318000        3899841.5
01:32:27.196 INFO  ProgressMeter -        chr1:70405098              7.2              27995000        3903519.4
01:32:37.209 INFO  ProgressMeter -        chr1:72122442              7.3              28671000        3906867.1
01:32:47.213 INFO  ProgressMeter -        chr1:73821418              7.5              29347000        3910144.1
01:32:57.219 INFO  ProgressMeter -        chr1:75499803              7.7              30023000        3913261.7
01:33:07.224 INFO  ProgressMeter -        chr1:77216363              7.8              30697000        3915999.8
01:33:17.232 INFO  ProgressMeter -        chr1:78947287              8.0              31373000        3918849.1
01:33:27.238 INFO  ProgressMeter -        chr1:80638529              8.2              32049000        3921598.2
01:33:37.250 INFO  ProgressMeter -        chr1:82334315              8.3              32724000        3924070.4
01:33:47.263 INFO  ProgressMeter -        chr1:84018083              8.5              33399000        3926445.5
01:33:57.268 INFO  ProgressMeter -        chr1:85756960              8.7              34075000        3928889.9
01:34:07.277 INFO  ProgressMeter -        chr1:87474464              8.8              34748000        3930880.4
01:34:17.280 INFO  ProgressMeter -        chr1:89140816              9.0              35404000        3930953.3
01:34:27.290 INFO  ProgressMeter -        chr1:90846853              9.2              36076000        3932717.8
01:34:37.293 INFO  ProgressMeter -        chr1:92598518              9.3              36750000        3934682.5
01:34:47.300 INFO  ProgressMeter -        chr1:94338858              9.5              37426000        3936761.1
01:34:57.309 INFO  ProgressMeter -        chr1:96003831              9.7              38103000        3938864.5
01:35:07.311 INFO  ProgressMeter -        chr1:97688306              9.8              38758000        3938694.4
01:35:17.323 INFO  ProgressMeter -        chr1:99377066             10.0              39420000        3939170.4
01:35:27.329 INFO  ProgressMeter -       chr1:101152190             10.2              40097000        3941143.8
01:35:37.337 INFO  ProgressMeter -       chr1:102872481             10.3              40771000        3942757.1
01:35:47.340 INFO  ProgressMeter -       chr1:104705454             10.5              41417000        3941673.2
01:35:57.346 INFO  ProgressMeter -       chr1:106381647             10.7              42082000        3942397.0
01:36:07.350 INFO  ProgressMeter -       chr1:108090073             10.8              42759000        3944211.5
01:36:17.349 INFO  ProgressMeter -       chr1:109839994             11.0              43434000        3945813.3
01:36:27.355 INFO  ProgressMeter -       chr1:111538746             11.2              44111000        3947510.9
01:36:37.359 INFO  ProgressMeter -       chr1:113116445             11.3              44735000        3944496.9
01:36:47.360 INFO  ProgressMeter -       chr1:114860252             11.5              45411000        3946111.8
01:36:57.363 INFO  ProgressMeter -       chr1:116535038             11.7              46081000        3947144.1
01:37:07.374 INFO  ProgressMeter -       chr1:118189741             11.8              46751000        3948108.5
01:37:17.385 INFO  ProgressMeter -       chr1:119846105             12.0              47427000        3949545.7
01:37:27.403 INFO  ProgressMeter -       chr1:121512605             12.2              48079000        3948934.4
01:37:37.407 INFO  ProgressMeter -       chr1:123417264             12.3              48722000        3947685.1
01:37:47.410 INFO  ProgressMeter -       chr1:125396365             12.5              49397000        3949032.5
01:37:57.414 INFO  ProgressMeter -       chr1:127080349             12.7              50067000        3949950.1
01:38:07.424 INFO  ProgressMeter -       chr1:128380212             12.8              50747000        3951586.6
01:38:17.431 INFO  ProgressMeter -       chr1:129780553             13.0              51422000        3952807.0
01:38:27.440 INFO  ProgressMeter -       chr1:130743635             13.2              52099000        3954148.2
01:38:37.443 INFO  ProgressMeter -       chr1:132437835             13.3              52733000        3952252.9
01:38:47.448 INFO  ProgressMeter -       chr1:134924380             13.5              53418000        3954174.7
01:38:57.459 INFO  ProgressMeter -       chr1:137290074             13.7              54080000        3954338.9
01:39:07.463 INFO  ProgressMeter -       chr1:139201140             13.8              54731000        3953742.6
01:39:17.463 INFO  ProgressMeter -       chr1:140747100             14.0              55409000        3955097.2
01:39:27.464 INFO  ProgressMeter -       chr1:142249778             14.2              56087000        3956424.6
01:39:37.477 INFO  ProgressMeter -       chr1:144284602             14.3              56747000        3956401.7
01:39:47.488 INFO  ProgressMeter -       chr1:145931497             14.5              57414000        3956875.5
01:39:57.493 INFO  ProgressMeter -       chr1:147585465             14.7              58084000        3957574.4
01:40:07.504 INFO  ProgressMeter -       chr1:149266613             14.8              58753000        3958154.6
01:40:17.507 INFO  ProgressMeter -       chr1:151028619             15.0              59425000        3958961.4
01:40:27.510 INFO  ProgressMeter -       chr1:152627536             15.2              60078000        3958502.9
01:40:37.518 INFO  ProgressMeter -       chr1:154316026             15.3              60737000        3958419.6
01:40:47.519 INFO  ProgressMeter -       chr1:156021619             15.5              61405000        3958948.1
01:40:57.528 INFO  ProgressMeter -       chr1:157678059             15.7              62075000        3959555.0
01:41:07.532 INFO  ProgressMeter -       chr1:159337679             15.8              62736000        3959610.3
01:41:17.533 INFO  ProgressMeter -       chr1:161217150             16.0              63409000        3960422.2
01:41:27.545 INFO  ProgressMeter -       chr1:162832759             16.2              64061000        3959870.3
01:41:37.549 INFO  ProgressMeter -       chr1:164424148             16.3              64698000        3958452.3
01:41:47.550 INFO  ProgressMeter -       chr1:165965859             16.5              65321000        3956219.0
01:41:57.560 INFO  ProgressMeter -       chr1:167686254             16.7              65997000        3957176.6
01:42:07.574 INFO  ProgressMeter -       chr1:169339383             16.8              66640000        3956140.5
01:42:17.582 INFO  ProgressMeter -       chr1:171042894             17.0              67314000        3956974.2
01:42:27.585 INFO  ProgressMeter -       chr1:172758601             17.2              67989000        3957865.2
01:42:37.592 INFO  ProgressMeter -       chr1:174515807             17.3              68663000        3958662.4
01:42:47.607 INFO  ProgressMeter -       chr1:176135717             17.5              69315000        3958165.6
01:42:57.621 INFO  ProgressMeter -       chr1:177641071             17.7              69929000        3955528.7
01:43:07.626 INFO  ProgressMeter -       chr1:179371642             17.8              70604000        3956388.8
01:43:17.627 INFO  ProgressMeter -       chr1:181063005             18.0              71275000        3957032.9
01:43:27.633 INFO  ProgressMeter -       chr1:182784755             18.2              71952000        3957969.9
01:43:37.636 INFO  ProgressMeter -       chr1:184490243             18.3              72620000        3958417.2
01:43:47.643 INFO  ProgressMeter -       chr1:186223457             18.5              73295000        3959213.2
01:43:57.659 INFO  ProgressMeter -       chr1:187934325             18.7              73970000        3959970.2
01:44:07.668 INFO  ProgressMeter -       chr1:189554492             18.8              74609000        3958821.2
01:44:17.675 INFO  ProgressMeter -       chr1:191198010             19.0              75248000        3957706.2
01:44:27.681 INFO  ProgressMeter -       chr1:192833859             19.2              75880000        3956242.2
01:44:37.689 INFO  ProgressMeter -       chr1:194435540             19.3              76493000        3953821.3
01:44:47.699 INFO  ProgressMeter -       chr1:196040173             19.5              77124000        3952350.8
01:44:57.705 INFO  ProgressMeter -       chr1:197680115             19.7              77777000        3952046.5
01:45:07.715 INFO  ProgressMeter -       chr1:199496738             19.8              78445000        3952476.6
01:45:17.729 INFO  ProgressMeter -       chr1:201178191             20.0              79121000        3953295.9
01:45:27.737 INFO  ProgressMeter -       chr1:202876868             20.2              79795000        3954022.1
01:45:37.741 INFO  ProgressMeter -       chr1:204506424             20.3              80442000        3953416.0
01:45:47.754 INFO  ProgressMeter -       chr1:206143532             20.5              81090000        3952839.6
01:45:57.767 INFO  ProgressMeter -       chr1:207771109             20.7              81753000        3953000.9
01:46:07.769 INFO  ProgressMeter -       chr1:209440181             20.8              82429000        3953821.2
01:46:17.773 INFO  ProgressMeter -       chr1:211153416             21.0              83105000        3954615.9
01:46:27.786 INFO  ProgressMeter -       chr1:212874935             21.2              83782000        3955420.4
01:46:37.793 INFO  ProgressMeter -       chr1:214573426             21.3              84459000        3956230.8
01:46:47.804 INFO  ProgressMeter -       chr1:216260083             21.5              85136000        3957019.5
01:46:57.813 INFO  ProgressMeter -       chr1:217931058             21.7              85805000        3957427.1
01:47:07.820 INFO  ProgressMeter -       chr1:219637230             21.8              86481000        3958157.9
01:47:17.836 INFO  ProgressMeter -       chr1:221188392             22.0              87102000        3956355.4
01:47:27.836 INFO  ProgressMeter -       chr1:222734464             22.2              87715000        3954261.0
01:47:37.846 INFO  ProgressMeter -       chr1:224302774             22.3              88329000        3952230.8
01:47:47.855 INFO  ProgressMeter -       chr1:225875246             22.5              88944000        3950248.8
01:47:57.866 INFO  ProgressMeter -       chr1:227408189             22.7              89554000        3948087.1
01:48:07.877 INFO  ProgressMeter -       chr1:228974795             22.8              90166000        3946038.8
01:48:17.891 INFO  ProgressMeter -       chr1:230527882             23.0              90789000        3944495.2
01:48:27.895 INFO  ProgressMeter -       chr1:232066498             23.2              91400000        3942478.9
01:48:37.902 INFO  ProgressMeter -       chr1:233621303             23.4              92017000        3940745.6
01:48:47.907 INFO  ProgressMeter -       chr1:235371007             23.5              92685000        3941208.2
01:48:57.920 INFO  ProgressMeter -       chr1:237042327             23.7              93340000        3941090.5
01:49:07.924 INFO  ProgressMeter -       chr1:238638255             23.9              93978000        3940292.0
01:49:17.936 INFO  ProgressMeter -       chr1:240280400             24.0              94628000        3939979.6
01:49:27.937 INFO  ProgressMeter -       chr1:241926468             24.2              95276000        3939615.9
01:49:37.947 INFO  ProgressMeter -       chr1:243613667             24.4              95937000        3939769.6
01:49:47.950 INFO  ProgressMeter -       chr1:245268241             24.5              96584000        3939371.5
01:49:57.949 INFO  ProgressMeter -       chr1:246936786             24.7              97235000        3939146.2
01:50:07.959 INFO  ProgressMeter -          chr2:305483             24.9              97913000        3939983.9
01:50:17.967 INFO  ProgressMeter -         chr2:1893762             25.0              98559000        3939536.7
