Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar GetPileupSummaries -I results/recal/P064/P064_dna_tumor_recal.bam -L resources/filtered_gnomad_chr.vcf.gz -V resources/filtered_gnomad_chr.vcf.gz -O results/mutect2/P064/P064_tumor_pileup_summaries.table
16:31:07.291 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:31:07.386 INFO  GetPileupSummaries - ------------------------------------------------------------
16:31:07.388 INFO  GetPileupSummaries - The Genome Analysis Toolkit (GATK) v4.5.0.0
16:31:07.388 INFO  GetPileupSummaries - For support and documentation go to https://software.broadinstitute.org/gatk/
16:31:07.389 INFO  GetPileupSummaries - Executing as vsc35407@i28l15 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
16:31:07.389 INFO  GetPileupSummaries - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
16:31:07.389 INFO  GetPileupSummaries - Start Date/Time: July 14, 2024 at 4:31:07 PM CEST
16:31:07.389 INFO  GetPileupSummaries - ------------------------------------------------------------
16:31:07.389 INFO  GetPileupSummaries - ------------------------------------------------------------
16:31:07.390 INFO  GetPileupSummaries - HTSJDK Version: 4.1.0
16:31:07.391 INFO  GetPileupSummaries - Picard Version: 3.1.1
16:31:07.391 INFO  GetPileupSummaries - Built for Spark Version: 3.5.0
16:31:07.391 INFO  GetPileupSummaries - HTSJDK Defaults.COMPRESSION_LEVEL : 2
16:31:07.391 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
16:31:07.392 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
16:31:07.392 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
16:31:07.393 INFO  GetPileupSummaries - Deflater: IntelDeflater
16:31:07.393 INFO  GetPileupSummaries - Inflater: IntelInflater
16:31:07.393 INFO  GetPileupSummaries - GCS max retries/reopens: 20
16:31:07.393 INFO  GetPileupSummaries - Requester pays: disabled
16:31:07.394 INFO  GetPileupSummaries - Initializing engine
16:31:07.533 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/filtered_gnomad_chr.vcf.gz
16:31:07.636 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/filtered_gnomad_chr.vcf.gz
16:32:13.268 INFO  IntervalArgumentCollection - Processing 8916026 bp from intervals
16:32:13.472 INFO  GetPileupSummaries - Done initializing engine
16:32:13.477 INFO  ProgressMeter - Starting traversal
16:32:13.478 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
16:32:51.125 INFO  ProgressMeter -          chr1:252769              0.6                  1000           1594.0
16:33:01.310 INFO  ProgressMeter -         chr1:6057962              0.8                 26000          32614.8
16:33:11.607 INFO  ProgressMeter -        chr1:13265469              1.0                 52000          53674.6
16:33:22.023 INFO  ProgressMeter -        chr1:20739484              1.1                 77000          67402.0
16:33:32.361 INFO  ProgressMeter -        chr1:29170073              1.3                100000          76062.0
16:33:42.410 INFO  ProgressMeter -        chr1:36994213              1.5                122000          82311.0
16:33:52.829 INFO  ProgressMeter -        chr1:44953120              1.7                144000          86964.4
16:34:02.899 INFO  ProgressMeter -        chr1:53216941              1.8                164000          89927.9
16:34:13.222 INFO  ProgressMeter -        chr1:60355577              2.0                186000          93198.8
16:34:23.431 INFO  ProgressMeter -        chr1:67831395              2.2                207000          95573.8
16:34:33.925 INFO  ProgressMeter -        chr1:75959110              2.3                227000          96976.1
16:34:44.278 INFO  ProgressMeter -        chr1:82983209              2.5                248000          98673.7
16:34:54.370 INFO  ProgressMeter -        chr1:90696631              2.7                269000         100315.7
16:35:04.684 INFO  ProgressMeter -        chr1:99098017              2.9                290000         101632.0
16:35:14.864 INFO  ProgressMeter -       chr1:106377293              3.0                313000         103536.1
16:35:25.264 INFO  ProgressMeter -       chr1:114576469              3.2                335000         104804.3
16:35:35.525 INFO  ProgressMeter -       chr1:132667029              3.4                359000         106608.9
16:35:45.841 INFO  ProgressMeter -       chr1:151335220              3.5                383000         108210.9
16:35:55.878 INFO  ProgressMeter -       chr1:159154110              3.7                406000         109532.9
16:36:06.033 INFO  ProgressMeter -       chr1:166805956              3.9                428000         110425.5
16:36:16.230 INFO  ProgressMeter -       chr1:174473547              4.0                450000         111224.6
16:36:26.478 INFO  ProgressMeter -       chr1:182489395              4.2                471000         111699.6
16:36:36.984 INFO  ProgressMeter -       chr1:190340998              4.4                494000         112483.2
16:36:47.354 INFO  ProgressMeter -       chr1:198480094              4.6                516000         113043.9
16:36:57.786 INFO  ProgressMeter -       chr1:206850195              4.7                539000         113749.9
16:37:08.277 INFO  ProgressMeter -       chr1:214186365              4.9                562000         114398.5
16:37:18.400 INFO  ProgressMeter -       chr1:221589119              5.1                583000         114717.9
16:37:28.559 INFO  ProgressMeter -       chr1:229343905              5.3                605000         115208.8
16:37:38.783 INFO  ProgressMeter -       chr1:236528984              5.4                628000         115830.1
16:37:48.877 INFO  ProgressMeter -       chr1:243405353              5.6                650000         116279.4
16:37:59.039 INFO  ProgressMeter -         chr2:1421582              5.8                675000         117201.1
16:38:09.419 INFO  ProgressMeter -         chr2:7902459              5.9                699000         117828.8
16:38:19.480 INFO  ProgressMeter -        chr2:14965356              6.1                722000         118360.3
16:38:30.145 INFO  ProgressMeter -        chr2:22195496              6.3                744000         118513.2
16:38:40.230 INFO  ProgressMeter -        chr2:30371523              6.4                765000         118680.7
16:38:50.609 INFO  ProgressMeter -        chr2:37392679              6.6                789000         119205.0
16:39:01.074 INFO  ProgressMeter -        chr2:44531229              6.8                813000         119677.3
16:39:11.461 INFO  ProgressMeter -        chr2:51512996              7.0                836000         120004.9
16:39:21.906 INFO  ProgressMeter -        chr2:58330730              7.1                860000         120440.6
16:39:32.053 INFO  ProgressMeter -        chr2:67178376              7.3                883000         120800.3
16:39:42.297 INFO  ProgressMeter -        chr2:74751571              7.5                905000         120984.5
