Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P024_dna_normal.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/table/P024_dna_normal_recal_data.table
15:55:23.935 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
15:55:24.174 INFO  BaseRecalibrator - ------------------------------------------------------------
15:55:24.177 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
15:55:24.177 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
15:55:24.177 INFO  BaseRecalibrator - Executing as vsc35407@g28l22 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
15:55:24.178 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
15:55:24.178 INFO  BaseRecalibrator - Start Date/Time: March 31, 2024 at 3:55:23 PM CEST
15:55:24.178 INFO  BaseRecalibrator - ------------------------------------------------------------
15:55:24.178 INFO  BaseRecalibrator - ------------------------------------------------------------
15:55:24.179 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
15:55:24.179 INFO  BaseRecalibrator - Picard Version: 3.1.1
15:55:24.179 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
15:55:24.179 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
15:55:24.179 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
15:55:24.179 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
15:55:24.180 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
15:55:24.180 INFO  BaseRecalibrator - Deflater: IntelDeflater
15:55:24.180 INFO  BaseRecalibrator - Inflater: IntelInflater
15:55:24.180 INFO  BaseRecalibrator - GCS max retries/reopens: 20
15:55:24.180 INFO  BaseRecalibrator - Requester pays: disabled
15:55:24.180 INFO  BaseRecalibrator - Initializing engine
15:55:24.407 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
15:55:24.545 INFO  BaseRecalibrator - Done initializing engine
15:55:24.549 INFO  BaseRecalibrationEngine - The covariates being used here: 
15:55:24.549 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
15:55:24.549 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
15:55:24.549 INFO  BaseRecalibrationEngine - 	ContextCovariate
15:55:24.550 INFO  BaseRecalibrationEngine - 	CycleCovariate
15:55:24.552 INFO  ProgressMeter - Starting traversal
15:55:24.553 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
15:55:34.569 INFO  ProgressMeter -         chr1:1394308              0.2                421000        2522972.4
15:55:44.577 INFO  ProgressMeter -         chr1:2887041              0.3                898000        2690905.5
15:55:54.595 INFO  ProgressMeter -         chr1:4229119              0.5               1371000        2738166.6
15:56:04.607 INFO  ProgressMeter -         chr1:5528996              0.7               1852000        2774324.0
15:56:14.622 INFO  ProgressMeter -         chr1:6889466              0.8               2335000        2798138.6
15:56:24.636 INFO  ProgressMeter -         chr1:8170468              1.0               2807000        2803122.3
15:56:34.644 INFO  ProgressMeter -         chr1:9520526              1.2               3292000        2818050.8
15:56:44.652 INFO  ProgressMeter -        chr1:10875739              1.3               3779000        2830747.0
15:56:54.663 INFO  ProgressMeter -        chr1:12212395              1.5               4264000        2839196.5
15:57:04.665 INFO  ProgressMeter -        chr1:13548588              1.7               4734000        2837222.3
15:57:14.673 INFO  ProgressMeter -        chr1:14841889              1.8               5216000        2841990.6
15:57:24.679 INFO  ProgressMeter -        chr1:16404350              2.0               5690000        2842015.9
15:57:34.695 INFO  ProgressMeter -        chr1:17670408              2.2               6168000        2843663.1
15:57:44.709 INFO  ProgressMeter -        chr1:18990003              2.3               6649000        2846399.7
15:57:54.716 INFO  ProgressMeter -        chr1:20313073              2.5               7136000        2851320.6
15:58:04.717 INFO  ProgressMeter -        chr1:21620919              2.7               7620000        2854591.9
15:58:14.729 INFO  ProgressMeter -        chr1:22955250              2.8               8105000        2857629.7
15:58:24.735 INFO  ProgressMeter -        chr1:24273364              3.0               8585000        2858776.1
15:58:34.740 INFO  ProgressMeter -        chr1:25611473              3.2               9067000        2860447.9
15:58:44.748 INFO  ProgressMeter -        chr1:26979578              3.3               9556000        2864007.6
15:58:54.757 INFO  ProgressMeter -        chr1:28333472              3.5              10047000        2867785.6
15:59:04.767 INFO  ProgressMeter -        chr1:29678370              3.7              10536000        2870662.2
15:59:14.779 INFO  ProgressMeter -        chr1:30986950              3.8              11020000        2871973.1
15:59:24.787 INFO  ProgressMeter -        chr1:32330791              4.0              11506000        2873698.1
15:59:34.793 INFO  ProgressMeter -        chr1:33654483              4.2              11997000        2876518.5
15:59:44.809 INFO  ProgressMeter -        chr1:34937944              4.3              12486000        2878550.4
15:59:54.829 INFO  ProgressMeter -        chr1:36248152              4.5              12980000        2881498.9
16:00:04.837 INFO  ProgressMeter -        chr1:37564758              4.7              13469000        2883300.1
16:00:14.848 INFO  ProgressMeter -        chr1:38870064              4.8              13957000        2884720.7
16:00:24.857 INFO  ProgressMeter -        chr1:40182508              5.0              14445000        2886075.4
16:00:34.875 INFO  ProgressMeter -        chr1:41466455              5.2              14926000        2885914.9
16:00:44.880 INFO  ProgressMeter -        chr1:42733000              5.3              15418000        2887923.9
16:00:54.891 INFO  ProgressMeter -        chr1:44052590              5.5              15908000        2889412.9
16:01:04.894 INFO  ProgressMeter -        chr1:45352457              5.7              16400000        2891217.9
16:01:14.905 INFO  ProgressMeter -        chr1:46655362              5.8              16891000        2892690.8
16:01:24.911 INFO  ProgressMeter -        chr1:47944201              6.0              17379000        2893630.5
16:01:34.925 INFO  ProgressMeter -        chr1:49186730              6.2              17873000        2895413.3
16:01:44.937 INFO  ProgressMeter -        chr1:50422352              6.3              18372000        2897913.7
16:01:54.950 INFO  ProgressMeter -        chr1:51660234              6.5              18868000        2899817.4
16:02:04.961 INFO  ProgressMeter -        chr1:52930499              6.7              19357000        2900591.4
