Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P062/P062_dna_normal.marked.bam --bqsr-recal-file results/recal/P062/P062_dna_normal_recal_data.table -O results/recal/P062/P062_dna_normal_recal.bam --create-output-bam-index false
00:36:38.355 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
00:36:38.598 INFO  ApplyBQSR - ------------------------------------------------------------
00:36:38.601 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
00:36:38.601 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
00:36:38.601 INFO  ApplyBQSR - Executing as vsc35407@g28l05 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
00:36:38.601 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
00:36:38.602 INFO  ApplyBQSR - Start Date/Time: June 23, 2024 at 12:36:38 AM CEST
00:36:38.602 INFO  ApplyBQSR - ------------------------------------------------------------
00:36:38.602 INFO  ApplyBQSR - ------------------------------------------------------------
00:36:38.602 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
00:36:38.602 INFO  ApplyBQSR - Picard Version: 3.1.1
00:36:38.602 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
00:36:38.603 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
00:36:38.603 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
00:36:38.603 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
00:36:38.603 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
00:36:38.603 INFO  ApplyBQSR - Deflater: IntelDeflater
00:36:38.603 INFO  ApplyBQSR - Inflater: IntelInflater
00:36:38.603 INFO  ApplyBQSR - GCS max retries/reopens: 20
00:36:38.603 INFO  ApplyBQSR - Requester pays: disabled
00:36:38.604 INFO  ApplyBQSR - Initializing engine
00:36:38.810 INFO  ApplyBQSR - Done initializing engine
00:36:38.846 INFO  ProgressMeter - Starting traversal
00:36:38.847 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
00:36:48.862 INFO  ProgressMeter -         chr1:1635428              0.2                628000        3763483.8
00:36:58.872 INFO  ProgressMeter -         chr1:3395988              0.3               1304000        3907116.1
00:37:08.879 INFO  ProgressMeter -         chr1:5053809              0.5               1970000        3935932.9
00:37:18.884 INFO  ProgressMeter -         chr1:6751529              0.7               2637000        3951844.5
00:37:28.899 INFO  ProgressMeter -         chr1:8391759              0.8               3304000        3960760.0
00:37:38.912 INFO  ProgressMeter -        chr1:10083142              1.0               3969000        3964770.9
00:37:48.921 INFO  ProgressMeter -        chr1:11769781              1.2               4627000        3961811.8
00:37:58.925 INFO  ProgressMeter -        chr1:13321263              1.3               5285000        3959889.1
00:38:08.926 INFO  ProgressMeter -        chr1:14940786              1.5               5945000        3959901.4
00:38:18.928 INFO  ProgressMeter -        chr1:16432709              1.7               6600000        3956795.0
00:38:28.938 INFO  ProgressMeter -        chr1:17986760              1.8               7257000        3955091.7
00:38:38.941 INFO  ProgressMeter -        chr1:19645718              2.0               7917000        3955401.6
00:38:48.947 INFO  ProgressMeter -        chr1:21244211              2.2               8578000        3956064.2
00:38:58.958 INFO  ProgressMeter -        chr1:22910314              2.3               9240000        3956862.8
00:39:08.966 INFO  ProgressMeter -        chr1:24531313              2.5               9900000        3956860.9
00:39:18.972 INFO  ProgressMeter -        chr1:26196842              2.7              10566000        3959181.6
00:39:28.977 INFO  ProgressMeter -        chr1:27850953              2.8              11226000        3959090.1
00:39:38.990 INFO  ProgressMeter -        chr1:29487912              3.0              11886000        3958854.9
00:39:49.000 INFO  ProgressMeter -        chr1:31117026              3.2              12546000        3958706.9
00:39:59.004 INFO  ProgressMeter -        chr1:32764668              3.3              13207000        3959012.0
00:40:09.017 INFO  ProgressMeter -        chr1:34358873              3.5              13868000        3959080.7
00:40:19.020 INFO  ProgressMeter -        chr1:35938534              3.7              14528000        3959086.5
00:40:29.021 INFO  ProgressMeter -        chr1:37572118              3.8              15188000        3959109.0
00:40:39.025 INFO  ProgressMeter -        chr1:39165435              4.0              15841000        3957315.0
00:40:49.031 INFO  ProgressMeter -        chr1:40749281              4.2              16502000        3957567.2
00:40:59.033 INFO  ProgressMeter -        chr1:42321239              4.3              17162000        3957630.3
00:41:09.041 INFO  ProgressMeter -        chr1:43905639              4.5              17822000        3957600.8
00:41:19.047 INFO  ProgressMeter -        chr1:45490693              4.7              18480000        3957173.4
00:41:29.052 INFO  ProgressMeter -        chr1:47052460              4.8              19139000        3956995.9
00:41:39.058 INFO  ProgressMeter -        chr1:48644913              5.0              19799000        3957016.9
00:41:49.268 INFO  ProgressMeter -        chr1:50106023              5.2              20445000        3951730.1
00:41:59.275 INFO  ProgressMeter -        chr1:51623582              5.3              21106000        3952089.1
00:42:09.278 INFO  ProgressMeter -        chr1:53215339              5.5              21767000        3952474.2
00:42:19.288 INFO  ProgressMeter -        chr1:54840115              5.7              22427000        3952579.2
00:42:29.295 INFO  ProgressMeter -        chr1:56351347              5.8              23088000        3952883.2
00:42:39.296 INFO  ProgressMeter -        chr1:57882508              6.0              23748000        3953080.6
00:42:49.307 INFO  ProgressMeter -        chr1:59403373              6.2              24409000        3953312.0
