Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P028_dna_tumor.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/table/P028_dna_tumor_recal_data.table
10:39:48.956 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
10:39:49.306 INFO  BaseRecalibrator - ------------------------------------------------------------
10:39:49.309 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
10:39:49.309 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
10:39:49.309 INFO  BaseRecalibrator - Executing as vsc35407@i28l17 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
10:39:49.309 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
10:39:49.309 INFO  BaseRecalibrator - Start Date/Time: April 1, 2024 at 10:39:48 AM CEST
10:39:49.309 INFO  BaseRecalibrator - ------------------------------------------------------------
10:39:49.309 INFO  BaseRecalibrator - ------------------------------------------------------------
10:39:49.310 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
10:39:49.310 INFO  BaseRecalibrator - Picard Version: 3.1.1
10:39:49.310 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
10:39:49.311 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
10:39:49.311 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
10:39:49.311 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
10:39:49.311 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
10:39:49.311 INFO  BaseRecalibrator - Deflater: IntelDeflater
10:39:49.311 INFO  BaseRecalibrator - Inflater: IntelInflater
10:39:49.311 INFO  BaseRecalibrator - GCS max retries/reopens: 20
10:39:49.311 INFO  BaseRecalibrator - Requester pays: disabled
10:39:49.312 INFO  BaseRecalibrator - Initializing engine
10:39:49.565 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
10:39:49.707 INFO  BaseRecalibrator - Done initializing engine
10:39:49.711 INFO  BaseRecalibrationEngine - The covariates being used here: 
10:39:49.711 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
10:39:49.712 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
10:39:49.712 INFO  BaseRecalibrationEngine - 	ContextCovariate
10:39:49.712 INFO  BaseRecalibrationEngine - 	CycleCovariate
10:39:49.714 INFO  ProgressMeter - Starting traversal
10:39:49.715 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
10:39:59.739 INFO  ProgressMeter -          chr1:808213              0.2                437000        2617288.9
10:40:09.741 INFO  ProgressMeter -         chr1:1597339              0.3                934000        2798362.1
10:40:19.759 INFO  ProgressMeter -         chr1:2440321              0.5               1436000        2867793.9
10:40:29.759 INFO  ProgressMeter -         chr1:3218262              0.7               1933000        2896314.1
10:40:39.764 INFO  ProgressMeter -         chr1:3919045              0.8               2431000        2914402.2
10:40:49.775 INFO  ProgressMeter -         chr1:4599656              1.0               2933000        2930118.7
10:40:59.778 INFO  ProgressMeter -         chr1:5285728              1.2               3434000        2940781.9
10:41:09.782 INFO  ProgressMeter -         chr1:6041864              1.3               3938000        2951028.5
10:41:19.802 INFO  ProgressMeter -         chr1:6753773              1.5               4446000        2961170.4
10:41:29.804 INFO  ProgressMeter -         chr1:7439570              1.7               4935000        2958367.1
10:41:39.811 INFO  ProgressMeter -         chr1:8137046              1.8               5442000        2965802.3
10:41:49.818 INFO  ProgressMeter -         chr1:8840462              2.0               5948000        2971449.5
10:41:59.821 INFO  ProgressMeter -         chr1:9583563              2.2               6455000        2976803.5
10:42:09.840 INFO  ProgressMeter -        chr1:10301283              2.3               6963000        2981480.8
10:42:19.854 INFO  ProgressMeter -        chr1:11031385              2.5               7469000        2984834.1
10:42:29.855 INFO  ProgressMeter -        chr1:11768000              2.7               7970000        2986155.8
10:42:39.862 INFO  ProgressMeter -        chr1:12446079              2.8               8470000        2986846.6
10:42:49.864 INFO  ProgressMeter -        chr1:13198865              3.0               8960000        2984196.4
10:42:59.871 INFO  ProgressMeter -        chr1:13854839              3.2               9461000        2985233.2
10:43:09.890 INFO  ProgressMeter -        chr1:14552614              3.3               9965000        2986901.4
10:43:19.907 INFO  ProgressMeter -        chr1:15275327              3.5              10468000        2988125.1
10:43:29.925 INFO  ProgressMeter -        chr1:16045968              3.7              10967000        2988161.2
10:43:39.931 INFO  ProgressMeter -        chr1:16821992              3.8              11448000        2983632.8
10:43:49.939 INFO  ProgressMeter -        chr1:17553323              4.0              11951000        2984964.0
10:43:59.950 INFO  ProgressMeter -        chr1:18257836              4.2              12456000        2986632.6
10:44:09.965 INFO  ProgressMeter -        chr1:18967952              4.3              12959000        2987665.7
10:44:19.978 INFO  ProgressMeter -        chr1:19679641              4.5              13464000        2989088.4
10:44:29.988 INFO  ProgressMeter -        chr1:20380910              4.7              13972000        2991083.7
10:44:39.998 INFO  ProgressMeter -        chr1:21070924              4.8              14474000        2991701.2
10:44:50.000 INFO  ProgressMeter -        chr1:21804160              5.0              14976000        2992357.3
10:45:00.008 INFO  ProgressMeter -        chr1:22516807              5.2              15479000        2993116.2
10:45:10.023 INFO  ProgressMeter -        chr1:23215525              5.3              15984000        2994127.5
10:45:20.034 INFO  ProgressMeter -        chr1:23932683              5.5              16490000        2995295.4
10:45:30.050 INFO  ProgressMeter -        chr1:24623639              5.7              16998000        2996694.4
10:45:40.058 INFO  ProgressMeter -        chr1:25329471              5.8              17496000        2996377.8
10:45:50.064 INFO  ProgressMeter -        chr1:26046114              6.0              18004000        2997760.5
10:46:00.066 INFO  ProgressMeter -        chr1:26780986              6.2              18513000        2999262.9
10:46:10.067 INFO  ProgressMeter -        chr1:27531098              6.3              19024000        3001009.6
10:46:20.076 INFO  ProgressMeter -        chr1:28245048              6.5              19533000        3002297.9
10:46:30.086 INFO  ProgressMeter -        chr1:28973112              6.7              20045000        3003963.8
