Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P022_dna_tumor.marked.bam --bqsr-recal-file results/recal/table/P022_dna_tumor_recal_data.table -O results/recal/P022_dna_tumor_recal.bam --create-output-bam-index false
17:47:32.420 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
17:47:32.674 INFO  ApplyBQSR - ------------------------------------------------------------
17:47:32.676 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
17:47:32.676 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
17:47:32.676 INFO  ApplyBQSR - Executing as vsc35407@g28l17 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
17:47:32.677 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
17:47:32.677 INFO  ApplyBQSR - Start Date/Time: March 31, 2024 at 5:47:32 PM CEST
17:47:32.677 INFO  ApplyBQSR - ------------------------------------------------------------
17:47:32.677 INFO  ApplyBQSR - ------------------------------------------------------------
17:47:32.677 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
17:47:32.678 INFO  ApplyBQSR - Picard Version: 3.1.1
17:47:32.678 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
17:47:32.678 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
17:47:32.678 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
17:47:32.678 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
17:47:32.678 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
17:47:32.678 INFO  ApplyBQSR - Deflater: IntelDeflater
17:47:32.679 INFO  ApplyBQSR - Inflater: IntelInflater
17:47:32.679 INFO  ApplyBQSR - GCS max retries/reopens: 20
17:47:32.679 INFO  ApplyBQSR - Requester pays: disabled
17:47:32.679 INFO  ApplyBQSR - Initializing engine
17:47:32.839 INFO  ApplyBQSR - Done initializing engine
17:47:32.852 INFO  ProgressMeter - Starting traversal
17:47:32.852 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
17:47:42.869 INFO  ProgressMeter -         chr1:1660773              0.2                658000        3942086.9
17:47:52.872 INFO  ProgressMeter -         chr1:3082966              0.3               1351000        4049153.3
17:48:02.883 INFO  ProgressMeter -         chr1:4768901              0.5               2036000        4067932.1
17:48:12.888 INFO  ProgressMeter -         chr1:6487550              0.7               2720000        4076331.3
17:48:22.899 INFO  ProgressMeter -         chr1:8301089              0.8               3402000        4078647.6
17:48:32.899 INFO  ProgressMeter -        chr1:10136140              1.0               4083000        4079872.1
17:48:42.906 INFO  ProgressMeter -        chr1:11874840              1.2               4764000        4080280.9
17:48:52.916 INFO  ProgressMeter -        chr1:13618782              1.3               5443000        4078986.8
17:49:02.930 INFO  ProgressMeter -        chr1:15417698              1.5               6125000        4079797.5
17:49:12.946 INFO  ProgressMeter -        chr1:17098172              1.7               6800000        4076249.9
17:49:22.958 INFO  ProgressMeter -        chr1:18797875              1.8               7475000        4073347.5
17:49:32.959 INFO  ProgressMeter -        chr1:20567538              2.0               8150000        4071369.7
17:49:42.967 INFO  ProgressMeter -        chr1:22378021              2.2               8826000        4069938.1
17:49:52.969 INFO  ProgressMeter -        chr1:24185619              2.3               9506000        4070627.2
17:50:02.982 INFO  ProgressMeter -        chr1:26068071              2.5              10187000        4071298.7
17:50:12.981 INFO  ProgressMeter -        chr1:27913426              2.7              10867000        4071842.1
17:50:22.988 INFO  ProgressMeter -        chr1:29756679              2.8              11547000        4072178.0
17:50:32.995 INFO  ProgressMeter -        chr1:31523864              3.0              12228000        4072787.0
17:50:42.997 INFO  ProgressMeter -        chr1:33356671              3.2              12907000        4072808.0
17:50:53.000 INFO  ProgressMeter -        chr1:35168766              3.3              13587000        4073106.3
17:51:03.013 INFO  ProgressMeter -        chr1:36978115              3.5              14268000        4073448.5
17:51:13.020 INFO  ProgressMeter -        chr1:38768281              3.7              14948000        4073616.5
17:51:23.023 INFO  ProgressMeter -        chr1:40668155              3.8              15629000        4074101.4
17:51:33.028 INFO  ProgressMeter -        chr1:42469056              4.0              16311000        4074761.8
17:51:43.042 INFO  ProgressMeter -        chr1:44273061              4.2              16991000        4074743.2
17:51:53.052 INFO  ProgressMeter -        chr1:46165793              4.3              17672000        4075019.2
17:52:03.063 INFO  ProgressMeter -        chr1:47931810              4.5              18353000        4075259.7
17:52:13.063 INFO  ProgressMeter -        chr1:49826166              4.7              19033000        4075428.9
17:52:23.070 INFO  ProgressMeter -        chr1:51782034              4.8              19712000        4075281.3
17:52:33.076 INFO  ProgressMeter -        chr1:53634702              5.0              20392000        4075370.6
17:52:43.075 INFO  ProgressMeter -        chr1:55409900              5.2              21071000        4075326.5
17:52:53.077 INFO  ProgressMeter -        chr1:57272795              5.3              21750000        4075259.6
17:53:03.088 INFO  ProgressMeter -        chr1:59131626              5.5              22431000        4075449.1
17:53:13.098 INFO  ProgressMeter -        chr1:61061148              5.7              23112000        4075639.4
