Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P026_dna_normal.marked.bam --bqsr-recal-file results/recal/table/P026_dna_normal_recal_data.table -O results/recal/P026_dna_normal_recal.bam --create-output-bam-index false
12:09:04.124 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
12:09:04.370 INFO  ApplyBQSR - ------------------------------------------------------------
12:09:04.372 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
12:09:04.372 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
12:09:04.372 INFO  ApplyBQSR - Executing as vsc35407@g28l25 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
12:09:04.372 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
12:09:04.373 INFO  ApplyBQSR - Start Date/Time: March 31, 2024 at 12:09:04 PM CEST
12:09:04.373 INFO  ApplyBQSR - ------------------------------------------------------------
12:09:04.373 INFO  ApplyBQSR - ------------------------------------------------------------
12:09:04.373 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
12:09:04.374 INFO  ApplyBQSR - Picard Version: 3.1.1
12:09:04.374 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
12:09:04.374 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
12:09:04.374 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
12:09:04.374 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
12:09:04.374 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
12:09:04.374 INFO  ApplyBQSR - Deflater: IntelDeflater
12:09:04.374 INFO  ApplyBQSR - Inflater: IntelInflater
12:09:04.375 INFO  ApplyBQSR - GCS max retries/reopens: 20
12:09:04.375 INFO  ApplyBQSR - Requester pays: disabled
12:09:04.375 INFO  ApplyBQSR - Initializing engine
12:09:04.525 INFO  ApplyBQSR - Done initializing engine
12:09:04.538 INFO  ProgressMeter - Starting traversal
12:09:04.539 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
12:09:14.555 INFO  ProgressMeter -         chr1:2516842              0.2                628000        3762356.5
12:09:24.568 INFO  ProgressMeter -         chr1:4921412              0.3               1278000        3828639.9
12:09:34.572 INFO  ProgressMeter -         chr1:7316088              0.5               1927000        3849893.4
12:09:44.580 INFO  ProgressMeter -         chr1:9784697              0.7               2576000        3860043.5
12:09:54.586 INFO  ProgressMeter -        chr1:12193559              0.8               3226000        3867564.5
12:10:04.587 INFO  ProgressMeter -        chr1:14455066              1.0               3874000        3870903.3
12:10:14.600 INFO  ProgressMeter -        chr1:16633058              1.2               4517000        3868343.3
12:10:24.610 INFO  ProgressMeter -        chr1:18879349              1.3               5163000        3868816.4
12:10:34.622 INFO  ProgressMeter -        chr1:21213424              1.5               5809000        3869098.5
12:10:44.631 INFO  ProgressMeter -        chr1:23582216              1.7               6455000        3869440.1
12:10:54.637 INFO  ProgressMeter -        chr1:25951229              1.8               7101000        3869860.2
12:11:04.638 INFO  ProgressMeter -        chr1:28353839              2.0               7746000        3869839.6
12:11:14.639 INFO  ProgressMeter -        chr1:30638722              2.2               8392000        3870253.7
12:11:24.640 INFO  ProgressMeter -        chr1:33033351              2.3               9038000        3870636.2
12:11:34.640 INFO  ProgressMeter -        chr1:35298795              2.5               9685000        3871393.3
12:11:44.645 INFO  ProgressMeter -        chr1:37581440              2.7              10333000        3872309.6
12:11:54.646 INFO  ProgressMeter -        chr1:39902139              2.8              10981000        3873232.0
12:12:04.655 INFO  ProgressMeter -        chr1:42137526              3.0              11630000        3874170.0
12:12:14.668 INFO  ProgressMeter -        chr1:44444133              3.2              12278000        3874632.5
12:12:24.671 INFO  ProgressMeter -        chr1:46789485              3.3              12924000        3874662.1
12:12:34.671 INFO  ProgressMeter -        chr1:49000915              3.5              13571000        3874992.9
12:12:44.676 INFO  ProgressMeter -        chr1:51306203              3.7              14218000        3875223.2
12:12:54.684 INFO  ProgressMeter -        chr1:53661219              3.8              14866000        3875643.6
12:13:04.695 INFO  ProgressMeter -        chr1:55901894              4.0              15514000        3875980.6
12:13:14.700 INFO  ProgressMeter -        chr1:58113109              4.2              16162000        3876383.6
12:13:24.700 INFO  ProgressMeter -        chr1:60261529              4.3              16809000        3876599.5
12:13:34.706 INFO  ProgressMeter -        chr1:62533854              4.5              17455000        3876505.6
12:13:44.710 INFO  ProgressMeter -        chr1:64767285              4.7              18102000        3876632.5
12:13:54.725 INFO  ProgressMeter -        chr1:66951656              4.8              18749000        3876630.4
12:14:04.738 INFO  ProgressMeter -        chr1:69161863              5.0              19396000        3876628.5
12:14:14.740 INFO  ProgressMeter -        chr1:71443739              5.2              20043000        3876776.7
12:14:24.754 INFO  ProgressMeter -        chr1:73823609              5.3              20691000        3876969.8
12:14:34.761 INFO  ProgressMeter -        chr1:76164196              5.5              21340000        3877391.6
12:14:44.768 INFO  ProgressMeter -        chr1:78427853              5.7              21990000        3877976.3
