Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx200g -XX:+UseParallelGC -XX:ParallelGCThreads=4 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar Mutect2 -R resources/genome.fa -I results/recal/P020/P020_dna_normal_recal.bam --max-mnp-distance 0 -O results/mutect2/pon/P020_normal_for_pon.vcf.gz
14:24:44.496 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
14:24:45.070 INFO  Mutect2 - ------------------------------------------------------------
14:24:45.073 INFO  Mutect2 - The Genome Analysis Toolkit (GATK) v4.5.0.0
14:24:45.073 INFO  Mutect2 - For support and documentation go to https://software.broadinstitute.org/gatk/
14:24:45.073 INFO  Mutect2 - Executing as vsc35407@i28l17 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
14:24:45.073 INFO  Mutect2 - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
14:24:45.073 INFO  Mutect2 - Start Date/Time: April 5, 2024 at 2:24:44 PM CEST
14:24:45.073 INFO  Mutect2 - ------------------------------------------------------------
14:24:45.073 INFO  Mutect2 - ------------------------------------------------------------
14:24:45.074 INFO  Mutect2 - HTSJDK Version: 4.1.0
14:24:45.074 INFO  Mutect2 - Picard Version: 3.1.1
14:24:45.074 INFO  Mutect2 - Built for Spark Version: 3.5.0
14:24:45.074 INFO  Mutect2 - HTSJDK Defaults.COMPRESSION_LEVEL : 2
14:24:45.075 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
14:24:45.075 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
14:24:45.075 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
14:24:45.075 INFO  Mutect2 - Deflater: IntelDeflater
14:24:45.075 INFO  Mutect2 - Inflater: IntelInflater
14:24:45.075 INFO  Mutect2 - GCS max retries/reopens: 20
14:24:45.075 INFO  Mutect2 - Requester pays: disabled
14:24:45.076 INFO  Mutect2 - Initializing engine
14:24:45.239 INFO  Mutect2 - Done initializing engine
14:24:45.246 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
14:24:45.309 INFO  NativeLibraryLoader - Loading libgkl_smithwaterman.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_smithwaterman.so
14:24:45.310 INFO  IntelSmithWaterman - Using CPU-supported AVX-512 instructions
14:24:45.310 INFO  SmithWatermanAligner - Using AVX accelerated SmithWaterman implementation
14:24:45.322 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
14:24:45.350 INFO  IntelPairHmm - Using CPU-supported AVX-512 instructions
14:24:45.350 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
14:24:45.350 INFO  IntelPairHmm - Available threads: 4
14:24:45.351 INFO  IntelPairHmm - Requested threads: 4
14:24:45.351 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
14:24:45.382 INFO  ProgressMeter - Starting traversal
14:24:45.382 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
14:24:55.424 INFO  ProgressMeter -          chr1:341708              0.2                  1770          10577.7
14:25:05.431 INFO  ProgressMeter -          chr1:962824              0.3                  4850          14514.4
14:25:15.455 INFO  ProgressMeter -         chr1:1375417              0.5                  7210          14385.5
14:25:25.482 INFO  ProgressMeter -         chr1:1829470              0.7                  9800          14663.3
14:25:35.528 INFO  ProgressMeter -         chr1:2162530              0.8                 11820          14143.0
14:25:45.534 INFO  ProgressMeter -         chr1:2600882              1.0                 14250          14214.0
14:25:55.542 INFO  ProgressMeter -         chr1:3149821              1.2                 17210          14717.8
14:26:05.548 INFO  ProgressMeter -         chr1:3587587              1.3                 19670          14722.0
14:26:15.584 INFO  ProgressMeter -         chr1:4122458              1.5                 22500          14966.6
14:26:25.612 INFO  ProgressMeter -         chr1:4619664              1.7                 25230          15103.3
14:26:35.629 INFO  ProgressMeter -         chr1:5154166              1.8                 28060          15271.2
14:26:45.656 INFO  ProgressMeter -         chr1:5807414              2.0                 31260          15594.4
14:26:55.658 INFO  ProgressMeter -         chr1:6291819              2.2                 33970          15645.2
14:27:05.682 INFO  ProgressMeter -         chr1:6849031              2.3                 36810          15742.1
14:27:15.688 INFO  ProgressMeter -         chr1:7399310              2.5                 39730          15859.6
14:27:25.712 INFO  ProgressMeter -         chr1:8098391              2.7                 43050          16110.5
14:27:35.726 INFO  ProgressMeter -         chr1:8694720              2.8                 46030          16213.1
14:27:45.756 INFO  ProgressMeter -         chr1:9169186              3.0                 48720          16206.3
14:27:55.803 INFO  ProgressMeter -         chr1:9737106              3.2                 51680          16284.0
14:28:05.810 INFO  ProgressMeter -        chr1:10159972              3.3                 54220          16231.3
14:28:15.832 INFO  ProgressMeter -        chr1:10760925              3.5                 57250          16322.2
14:28:25.858 INFO  ProgressMeter -        chr1:11326033              3.7                 60250          16396.4
14:28:35.857 INFO  ProgressMeter -        chr1:11850397              3.8                 63040          16411.3
14:28:45.952 INFO  ProgressMeter -        chr1:12420696              4.0                 65950          16448.4
14:28:56.010 INFO  ProgressMeter -        chr1:12782613              4.2                 68270          16343.8
14:29:06.011 INFO  ProgressMeter -        chr1:13284043              4.3                 71020          16349.7
14:29:16.018 INFO  ProgressMeter -        chr1:13901544              4.5                 74130          16434.6
14:29:26.039 INFO  ProgressMeter -        chr1:14517302              4.7                 77220          16508.4
14:29:36.043 INFO  ProgressMeter -        chr1:14991158              4.8                 79910          16495.5
14:29:46.059 INFO  ProgressMeter -        chr1:15488653              5.0                 82690          16500.8
14:29:56.085 INFO  ProgressMeter -        chr1:15936738              5.2                 85320          16476.2
14:30:06.113 INFO  ProgressMeter -        chr1:16303378              5.3                 87300          16331.4
14:30:16.130 INFO  ProgressMeter -        chr1:16561108              5.5                 88940          16134.3
14:30:26.149 INFO  ProgressMeter -        chr1:16806838              5.7                 90480          15931.1
14:30:36.174 INFO  ProgressMeter -        chr1:17343109              5.8                 93300          15958.2
14:30:46.182 INFO  ProgressMeter -        chr1:17950959              6.0                 96400          16031.1
14:30:56.188 INFO  ProgressMeter -        chr1:18497807              6.2                 99290          16066.1
14:31:06.210 INFO  ProgressMeter -        chr1:19117784              6.3                102420          16136.5
14:31:16.218 INFO  ProgressMeter -        chr1:19592667              6.5                105120          16137.7
14:31:26.235 INFO  ProgressMeter -        chr1:20230554              6.7                108280          16207.5
14:31:36.240 INFO  ProgressMeter -        chr1:20760101              6.8                111090          16223.1
14:31:46.257 INFO  ProgressMeter -        chr1:21290215              7.0                113970          16247.6
14:31:56.276 INFO  ProgressMeter -        chr1:21824070              7.2                116840          16269.4
14:32:06.281 INFO  ProgressMeter -        chr1:22399567              7.3                119750          16296.2
14:32:16.296 INFO  ProgressMeter -        chr1:22974080              7.5                122780          16337.5
14:32:26.305 INFO  ProgressMeter -        chr1:23483748              7.7                125580          16347.2
14:32:36.321 INFO  ProgressMeter -        chr1:23964020              7.8                128300          16346.1
14:32:46.334 INFO  ProgressMeter -        chr1:24532937              8.0                131250          16373.8
14:32:56.341 INFO  ProgressMeter -        chr1:25058014              8.2                134060          16383.4
14:33:06.356 INFO  ProgressMeter -        chr1:25826139              8.3                137570          16476.3
14:33:16.388 INFO  ProgressMeter -        chr1:26338668              8.5                140350          16479.3
