Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar GetPileupSummaries -I results/recal/P013/P013_dna_normal_recal.bam -L resources/whole_genome.intervals -V resources/gnomad_chr.vcf.gz -O results/mutect2/P013/P013_normal_pileup_summaries.table
13:39:27.723 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
13:39:27.835 INFO  GetPileupSummaries - ------------------------------------------------------------
13:39:27.838 INFO  GetPileupSummaries - The Genome Analysis Toolkit (GATK) v4.5.0.0
13:39:27.838 INFO  GetPileupSummaries - For support and documentation go to https://software.broadinstitute.org/gatk/
13:39:27.838 INFO  GetPileupSummaries - Executing as vsc35407@g28l17 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
13:39:27.839 INFO  GetPileupSummaries - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
13:39:27.839 INFO  GetPileupSummaries - Start Date/Time: June 25, 2024 at 1:39:27 PM CEST
13:39:27.839 INFO  GetPileupSummaries - ------------------------------------------------------------
13:39:27.839 INFO  GetPileupSummaries - ------------------------------------------------------------
13:39:27.841 INFO  GetPileupSummaries - HTSJDK Version: 4.1.0
13:39:27.841 INFO  GetPileupSummaries - Picard Version: 3.1.1
13:39:27.841 INFO  GetPileupSummaries - Built for Spark Version: 3.5.0
13:39:27.842 INFO  GetPileupSummaries - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:39:27.842 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:39:27.842 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:39:27.843 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:39:27.843 INFO  GetPileupSummaries - Deflater: IntelDeflater
13:39:27.844 INFO  GetPileupSummaries - Inflater: IntelInflater
13:39:27.844 INFO  GetPileupSummaries - GCS max retries/reopens: 20
13:39:27.844 INFO  GetPileupSummaries - Requester pays: disabled
13:39:27.845 INFO  GetPileupSummaries - Initializing engine
13:39:28.007 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/gnomad_chr.vcf.gz
13:39:28.118 INFO  IntervalArgumentCollection - Processing 3117292070 bp from intervals
13:39:28.122 INFO  GetPileupSummaries - Done initializing engine
13:39:28.129 INFO  ProgressMeter - Starting traversal
13:39:28.129 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
13:39:38.175 INFO  ProgressMeter -         chr1:4531915              0.2               4431000       26474805.8
13:39:48.173 INFO  ProgressMeter -         chr1:9561148              0.3               9453000       28298159.0
13:39:58.173 INFO  ProgressMeter -        chr1:14650868              0.5              14497000       28952501.4
13:40:08.173 INFO  ProgressMeter -        chr1:19634190              0.7              19308000       28930176.8
13:40:18.174 INFO  ProgressMeter -        chr1:24737304              0.8              24407000       29262648.9
13:40:28.174 INFO  ProgressMeter -        chr1:29786637              1.0              29442000       29420425.0
13:40:38.174 INFO  ProgressMeter -        chr1:35235780              1.2              34886000       29883501.8
13:40:48.175 INFO  ProgressMeter -        chr1:40820213              1.3              40468000       30333558.2
13:40:58.177 INFO  ProgressMeter -        chr1:46339224              1.5              45985000       30640665.4
13:41:08.176 INFO  ProgressMeter -        chr1:52002837              1.7              51641000       30970044.1
13:41:18.177 INFO  ProgressMeter -        chr1:57691479              1.8              57326000       31255088.7
13:41:28.178 INFO  ProgressMeter -        chr1:63450331              2.0              63084000       31529388.2
13:41:38.177 INFO  ProgressMeter -        chr1:69157350              2.2              68788000       31736589.6
13:41:48.177 INFO  ProgressMeter -        chr1:75429066              2.3              75056000       32155832.3
13:41:58.177 INFO  ProgressMeter -        chr1:81541828              2.5              81162000       32454414.6
13:42:08.178 INFO  ProgressMeter -        chr1:87545674              2.7              87157000       32674072.8
13:42:18.178 INFO  ProgressMeter -        chr1:93332624              2.8              92941000       32793253.7
13:42:28.180 INFO  ProgressMeter -        chr1:99055340              3.0              98663000       32878533.7
13:42:38.180 INFO  ProgressMeter -       chr1:105317184              3.2             104585000       33017979.4
13:42:48.180 INFO  ProgressMeter -       chr1:111234997              3.3             110401000       33111856.5
13:42:58.181 INFO  ProgressMeter -       chr1:116832664              3.5             115993000       33132652.9
13:43:08.183 INFO  ProgressMeter -       chr1:125919307              3.7             122529000       33408951.5
13:43:18.183 INFO  ProgressMeter -       chr1:143386271              3.8             129418000       33753439.4
13:43:28.182 INFO  ProgressMeter -       chr1:150237443              4.0             135508000       33869520.5
13:43:38.182 INFO  ProgressMeter -       chr1:155763698              4.2             141019000       33837386.5
13:43:48.183 INFO  ProgressMeter -       chr1:161433789              4.3             146451000       33789366.8
13:43:58.184 INFO  ProgressMeter -       chr1:167049937              4.5             152065000       33785465.1
13:44:08.183 INFO  ProgressMeter -       chr1:172705313              4.7             157695000       33785270.0
13:44:18.183 INFO  ProgressMeter -       chr1:178437779              4.8             163426000       33805981.0
13:44:28.184 INFO  ProgressMeter -       chr1:184063554              5.0             169046000       33803002.8
13:44:38.185 INFO  ProgressMeter -       chr1:190246967              5.2             175227000       33908887.1
13:44:48.184 INFO  ProgressMeter -       chr1:196342085              5.3             181319000       33991470.2
13:44:58.185 INFO  ProgressMeter -       chr1:202089387              5.5             187063000       34005683.9
13:45:08.185 INFO  ProgressMeter -       chr1:203962265              5.7             188935000       33335980.0
13:45:18.185 INFO  ProgressMeter -       chr1:209563036              5.8             194525000       33341808.2
13:45:28.185 INFO  ProgressMeter -       chr1:215301479              6.0             200258000       33371142.3
13:45:38.185 INFO  ProgressMeter -       chr1:221345393              6.2             206296000       33448343.0
13:45:48.185 INFO  ProgressMeter -       chr1:226945260              6.3             211890000       33451386.1
13:45:58.186 INFO  ProgressMeter -       chr1:232929507              6.5             217599000       33471877.2
13:46:08.187 INFO  ProgressMeter -       chr1:238899967              6.7             223553000       33528088.4
13:46:18.188 INFO  ProgressMeter -       chr1:245047522              6.8             229697000       33609358.7
13:46:28.189 INFO  ProgressMeter -         chr2:2634851              7.0             235593000       33651415.6
13:46:38.189 INFO  ProgressMeter -         chr2:8509655              7.2             241458000       33687113.4
13:46:48.189 INFO  ProgressMeter -        chr2:14248608              7.3             247187000       33702722.4
13:46:58.190 INFO  ProgressMeter -        chr2:20069777              7.5             252995000       33728094.6
13:47:08.191 INFO  ProgressMeter -        chr2:25862281              7.7             258787000       33750277.1
13:47:18.192 INFO  ProgressMeter -        chr2:31435844              7.8             264359000       33743434.4
13:47:28.192 INFO  ProgressMeter -        chr2:37350751              8.0             270267000       33778941.5
13:47:38.193 INFO  ProgressMeter -        chr2:43122875              8.2             276038000       33796157.2
13:47:48.194 INFO  ProgressMeter -        chr2:48803307              8.3             281717000       33801645.8
13:47:58.195 INFO  ProgressMeter -        chr2:54786913              8.5             287699000       33842627.9
13:48:08.195 INFO  ProgressMeter -        chr2:60593232              8.7             293497000       33860805.9
13:48:18.196 INFO  ProgressMeter -        chr2:66293999              8.8             299197000       33867141.1
13:48:28.196 INFO  ProgressMeter -        chr2:71920648              9.0             304817000       33864353.9
13:48:38.196 INFO  ProgressMeter -        chr2:77720239              9.2             310602000       33879727.4
13:48:48.196 INFO  ProgressMeter -        chr2:84115281              9.3             316992000       33959365.6
13:48:58.196 INFO  ProgressMeter -        chr2:90934371              9.5             322914000       33986952.4
13:49:08.198 INFO  ProgressMeter -        chr2:98986802              9.7             328590000       33988084.2
13:49:18.197 INFO  ProgressMeter -       chr2:104694939              9.8             334293000       33991980.6
13:49:28.220 INFO  ProgressMeter -       chr2:110644658             10.0             340141000       34010245.5
13:49:38.198 INFO  ProgressMeter -       chr2:116591752             10.2             345943000       34023331.8
13:49:48.198 INFO  ProgressMeter -       chr2:122523927             10.3             351869000       34048049.5
13:49:58.198 INFO  ProgressMeter -       chr2:128545426             10.5             357883000       34080362.6
13:50:08.200 INFO  ProgressMeter -       chr2:134744697             10.7             363946000       34116206.0
13:50:18.199 INFO  ProgressMeter -       chr2:140757183             10.8             369954000       34145922.7
13:50:28.200 INFO  ProgressMeter -       chr2:146733306             11.0             375926000       34171414.9
13:50:38.201 INFO  ProgressMeter -       chr2:152542423             11.2             381720000       34180207.5
13:50:48.202 INFO  ProgressMeter -       chr2:158662509             11.3             387836000       34217150.2
13:50:58.203 INFO  ProgressMeter -       chr2:164602718             11.5             393767000       34236936.9
13:51:08.217 INFO  ProgressMeter -       chr2:170127878             11.7             399281000       34220468.1
13:51:18.204 INFO  ProgressMeter -       chr2:175778820             11.8             404928000       34215653.3
13:51:28.204 INFO  ProgressMeter -       chr2:181585169             12.0             410721000       34223185.1
