Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx200g -XX:+UseParallelGC -XX:ParallelGCThreads=4 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar Mutect2 -R resources/genome.fa -I results/recal/P061/P061_dna_normal_recal.bam --max-mnp-distance 0 -O results/mutect2/pon/P061_normal_for_pon.vcf.gz
11:21:58.794 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
11:21:58.880 INFO  Mutect2 - ------------------------------------------------------------
11:21:58.882 INFO  Mutect2 - The Genome Analysis Toolkit (GATK) v4.5.0.0
11:21:58.882 INFO  Mutect2 - For support and documentation go to https://software.broadinstitute.org/gatk/
11:21:58.882 INFO  Mutect2 - Executing as vsc35407@i28l15 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
11:21:58.882 INFO  Mutect2 - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
11:21:58.882 INFO  Mutect2 - Start Date/Time: June 25, 2024 at 11:21:58 AM CEST
11:21:58.882 INFO  Mutect2 - ------------------------------------------------------------
11:21:58.882 INFO  Mutect2 - ------------------------------------------------------------
11:21:58.883 INFO  Mutect2 - HTSJDK Version: 4.1.0
11:21:58.883 INFO  Mutect2 - Picard Version: 3.1.1
11:21:58.883 INFO  Mutect2 - Built for Spark Version: 3.5.0
11:21:58.883 INFO  Mutect2 - HTSJDK Defaults.COMPRESSION_LEVEL : 2
11:21:58.883 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
11:21:58.883 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
11:21:58.883 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
11:21:58.884 INFO  Mutect2 - Deflater: IntelDeflater
11:21:58.884 INFO  Mutect2 - Inflater: IntelInflater
11:21:58.884 INFO  Mutect2 - GCS max retries/reopens: 20
11:21:58.884 INFO  Mutect2 - Requester pays: disabled
11:21:58.884 INFO  Mutect2 - Initializing engine
11:21:58.992 INFO  Mutect2 - Done initializing engine
11:21:58.997 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
11:21:58.998 INFO  NativeLibraryLoader - Loading libgkl_smithwaterman.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_smithwaterman.so
11:21:58.999 INFO  IntelSmithWaterman - Using CPU-supported AVX-512 instructions
11:21:58.999 INFO  SmithWatermanAligner - Using AVX accelerated SmithWaterman implementation
11:21:59.007 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
11:21:59.025 INFO  IntelPairHmm - Using CPU-supported AVX-512 instructions
11:21:59.025 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
11:21:59.026 INFO  IntelPairHmm - Available threads: 4
11:21:59.026 INFO  IntelPairHmm - Requested threads: 4
11:21:59.026 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
11:21:59.056 INFO  ProgressMeter - Starting traversal
11:21:59.056 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
11:22:09.085 INFO  ProgressMeter -          chr1:292891              0.2                  1650           9873.3
11:22:19.086 INFO  ProgressMeter -          chr1:884019              0.3                  4490          13449.8
11:22:29.118 INFO  ProgressMeter -         chr1:1415206              0.5                  7120          14210.6
11:22:39.191 INFO  ProgressMeter -         chr1:1901278              0.7                  9770          14606.1
11:22:49.202 INFO  ProgressMeter -         chr1:2209983              0.8                 11760          14071.2
11:22:59.223 INFO  ProgressMeter -         chr1:2767410              1.0                 14650          14609.3
11:23:09.228 INFO  ProgressMeter -         chr1:3327523              1.2                 17520          14980.3
11:23:19.257 INFO  ProgressMeter -         chr1:3703097              1.3                 19670          14715.7
11:23:29.307 INFO  ProgressMeter -         chr1:4087515              1.5                 21790          14486.3
11:23:39.319 INFO  ProgressMeter -         chr1:4516957              1.7                 24100          14422.2
11:23:49.348 INFO  ProgressMeter -         chr1:4987317              1.8                 26530          14432.7
11:23:59.352 INFO  ProgressMeter -         chr1:5519359              2.0                 29270          14599.0
11:24:09.376 INFO  ProgressMeter -         chr1:6285709              2.2                 32700          15055.2
11:24:19.383 INFO  ProgressMeter -         chr1:6874665              2.3                 35550          15200.3
11:24:29.398 INFO  ProgressMeter -         chr1:7407790              2.5                 38320          15293.1
11:24:39.408 INFO  ProgressMeter -         chr1:7954802              2.7                 41090          15374.9
11:24:49.430 INFO  ProgressMeter -         chr1:8515349              2.8                 43810          15428.4
11:24:59.437 INFO  ProgressMeter -         chr1:8942222              3.0                 46120          15340.9
11:25:09.467 INFO  ProgressMeter -         chr1:9751407              3.2                 49640          15642.0
11:25:19.478 INFO  ProgressMeter -        chr1:10324521              3.3                 52540          15728.9
11:25:29.495 INFO  ProgressMeter -        chr1:10923557              3.5                 55470          15815.5
11:25:39.522 INFO  ProgressMeter -        chr1:11461512              3.7                 58240          15850.1
11:25:49.544 INFO  ProgressMeter -        chr1:12094960              3.8                 61190          15928.8
11:25:59.958 INFO  ProgressMeter -        chr1:12418247              4.0                 62930          15673.6
11:26:10.147 INFO  ProgressMeter -        chr1:12568372              4.2                 64050          15305.2
11:26:20.199 INFO  ProgressMeter -        chr1:12799656              4.4                 65640          15081.4
11:26:30.229 INFO  ProgressMeter -        chr1:13265422              4.5                 68120          15072.3
11:26:40.250 INFO  ProgressMeter -        chr1:13777917              4.7                 70760          15098.5
11:26:50.253 INFO  ProgressMeter -        chr1:14276532              4.9                 73390          15121.7
11:27:00.272 INFO  ProgressMeter -        chr1:14846509              5.0                 76230          15184.5
11:27:10.321 INFO  ProgressMeter -        chr1:15265783              5.2                 78740          15178.1
11:27:20.335 INFO  ProgressMeter -        chr1:15717246              5.4                 81210          15166.3
11:27:30.353 INFO  ProgressMeter -        chr1:16082069              5.5                 83310          15088.0
11:27:40.472 INFO  ProgressMeter -        chr1:16384201              5.7                 85140          14962.4
11:27:50.483 INFO  ProgressMeter -        chr1:16515245              5.9                 86110          14701.8
11:28:00.690 INFO  ProgressMeter -        chr1:16714823              6.0                 87560          14527.4
11:28:10.717 INFO  ProgressMeter -        chr1:17083129              6.2                 89670          14476.1
11:28:20.731 INFO  ProgressMeter -        chr1:17650235              6.4                 92540          14547.5
11:28:30.734 INFO  ProgressMeter -        chr1:18171806              6.5                 95280          14595.7
11:28:40.742 INFO  ProgressMeter -        chr1:18685292              6.7                 97970          14633.8
11:28:50.742 INFO  ProgressMeter -        chr1:19293232              6.9                100870          14701.0
11:29:00.751 INFO  ProgressMeter -        chr1:19875892              7.0                103750          14761.9
11:29:10.775 INFO  ProgressMeter -        chr1:20432972              7.2                106510          14802.7
11:29:20.787 INFO  ProgressMeter -        chr1:20917709              7.4                109090          14817.6
11:29:30.803 INFO  ProgressMeter -        chr1:21389365              7.5                111660          14830.4
11:29:40.810 INFO  ProgressMeter -        chr1:22063424              7.7                114750          14910.5
11:29:50.821 INFO  ProgressMeter -        chr1:22636451              7.9                117610          14957.9
11:30:00.841 INFO  ProgressMeter -        chr1:23132481              8.0                120270          14978.1
11:30:10.854 INFO  ProgressMeter -        chr1:23710413              8.2                123220          15033.0
11:30:20.874 INFO  ProgressMeter -        chr1:24147855              8.4                125690          15028.2
11:30:30.882 INFO  ProgressMeter -        chr1:24740411              8.5                128540          15068.4
