Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar Mutect2 -R resources/genome.fa -I results/recal/P023/P023_dna_tumor_recal.bam -I results/recal/P023/P023_dna_normal_recal.bam -normal P023_normal --germline-resource resources/gnomad_chr.vcf.gz --panel-of-normals results/mutect2/pon/mutect2.pon.vcf.gz -O results/mutect2/P023/P023_variants.vcf --f1r2-tar-gz results/mutect2/P023/P023_f1r2.tar.gz --native-pair-hmm-threads 4
16:02:15.895 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:02:16.020 INFO  Mutect2 - ------------------------------------------------------------
16:02:16.023 INFO  Mutect2 - The Genome Analysis Toolkit (GATK) v4.5.0.0
16:02:16.023 INFO  Mutect2 - For support and documentation go to https://software.broadinstitute.org/gatk/
16:02:16.023 INFO  Mutect2 - Executing as vsc35407@g28l05 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
16:02:16.023 INFO  Mutect2 - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
16:02:16.023 INFO  Mutect2 - Start Date/Time: April 27, 2024 at 4:02:15 PM CEST
16:02:16.023 INFO  Mutect2 - ------------------------------------------------------------
16:02:16.023 INFO  Mutect2 - ------------------------------------------------------------
16:02:16.024 INFO  Mutect2 - HTSJDK Version: 4.1.0
16:02:16.024 INFO  Mutect2 - Picard Version: 3.1.1
16:02:16.024 INFO  Mutect2 - Built for Spark Version: 3.5.0
16:02:16.025 INFO  Mutect2 - HTSJDK Defaults.COMPRESSION_LEVEL : 2
16:02:16.025 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
16:02:16.025 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
16:02:16.025 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
16:02:16.025 INFO  Mutect2 - Deflater: IntelDeflater
16:02:16.025 INFO  Mutect2 - Inflater: IntelInflater
16:02:16.025 INFO  Mutect2 - GCS max retries/reopens: 20
16:02:16.026 INFO  Mutect2 - Requester pays: disabled
16:02:16.026 INFO  Mutect2 - Initializing engine
16:02:16.241 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/results/mutect2/pon/mutect2.pon.vcf.gz
16:02:16.379 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/gnomad_chr.vcf.gz
16:02:16.505 INFO  Mutect2 - Done initializing engine
16:02:16.511 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
16:02:16.512 INFO  NativeLibraryLoader - Loading libgkl_smithwaterman.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_smithwaterman.so
16:02:16.513 INFO  IntelSmithWaterman - Using CPU-supported AVX-512 instructions
16:02:16.513 INFO  SmithWatermanAligner - Using AVX accelerated SmithWaterman implementation
16:02:16.523 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
16:02:16.549 INFO  IntelPairHmm - Using CPU-supported AVX-512 instructions
16:02:16.550 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
16:02:16.550 INFO  IntelPairHmm - Available threads: 4
16:02:16.550 INFO  IntelPairHmm - Requested threads: 4
16:02:16.550 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
16:02:16.641 INFO  ProgressMeter - Starting traversal
16:02:16.643 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
16:02:26.648 INFO  ProgressMeter -          chr1:372762              0.2                  1560           9356.3
16:02:36.689 INFO  ProgressMeter -          chr1:744108              0.3                  3100           9279.1
16:02:46.720 INFO  ProgressMeter -         chr1:1116772              0.5                  4600           9176.4
16:02:56.771 INFO  ProgressMeter -         chr1:1476275              0.7                  6060           9061.2
16:03:06.771 INFO  ProgressMeter -         chr1:1852662              0.8                  7560           9048.8
16:03:16.813 INFO  ProgressMeter -         chr1:2157800              1.0                  8930           8904.8
16:03:26.835 INFO  ProgressMeter -         chr1:2517361              1.2                 10480           8958.3
16:03:36.838 INFO  ProgressMeter -         chr1:2926917              1.3                 12050           9015.5
16:03:46.882 INFO  ProgressMeter -         chr1:3324171              1.5                 13590           9036.0
16:03:56.902 INFO  ProgressMeter -         chr1:3693284              1.7                 15020           8988.7
16:04:06.924 INFO  ProgressMeter -         chr1:4107207              1.8                 16540           8998.8
16:04:16.946 INFO  ProgressMeter -         chr1:4512178              2.0                 18040           8997.3
16:04:26.981 INFO  ProgressMeter -         chr1:4916140              2.2                 19550           8999.7
16:04:37.048 INFO  ProgressMeter -         chr1:5344422              2.3                 21150           9038.2
16:04:47.078 INFO  ProgressMeter -         chr1:5736708              2.5                 22650           9033.8
16:04:57.147 INFO  ProgressMeter -         chr1:6114411              2.7                 24150           9027.8
16:05:07.175 INFO  ProgressMeter -         chr1:6496001              2.8                 25660           9028.2
16:05:17.195 INFO  ProgressMeter -         chr1:6921365              3.0                 27230           9049.0
16:05:27.220 INFO  ProgressMeter -         chr1:7325927              3.2                 28760           9054.6
16:05:37.239 INFO  ProgressMeter -         chr1:7692123              3.3                 30200           9033.1
16:05:47.294 INFO  ProgressMeter -         chr1:8064621              3.5                 31690           9026.3
16:05:57.370 INFO  ProgressMeter -         chr1:8470302              3.7                 33220           9030.2
16:06:07.382 INFO  ProgressMeter -         chr1:8819990              3.8                 34640           9007.6
16:06:17.415 INFO  ProgressMeter -         chr1:9195621              4.0                 36120           9001.0
16:06:27.440 INFO  ProgressMeter -         chr1:9583013              4.2                 37650           9007.3
16:06:37.487 INFO  ProgressMeter -         chr1:9944078              4.3                 39090           8991.6
16:06:47.501 INFO  ProgressMeter -        chr1:10298759              4.5                 40520           8975.9
16:06:57.507 INFO  ProgressMeter -        chr1:10682078              4.7                 42040           8980.9
16:07:07.508 INFO  ProgressMeter -        chr1:11071300              4.8                 43560           8985.6
16:07:17.574 INFO  ProgressMeter -        chr1:11436325              5.0                 44960           8964.2
16:07:27.606 INFO  ProgressMeter -        chr1:11804119              5.2                 46420           8956.7
16:07:37.640 INFO  ProgressMeter -        chr1:12222356              5.3                 47990           8970.2
16:07:47.666 INFO  ProgressMeter -        chr1:12691873              5.5                 49800           9026.6
16:07:57.703 INFO  ProgressMeter -        chr1:13088973              5.7                 51380           9038.9
16:08:07.732 INFO  ProgressMeter -        chr1:13498879              5.9                 52930           9045.6
16:08:17.749 INFO  ProgressMeter -        chr1:13905504              6.0                 54450           9047.2
16:08:27.762 INFO  ProgressMeter -        chr1:14299081              6.2                 55940           9044.0
16:08:37.766 INFO  ProgressMeter -        chr1:14692976              6.4                 57440           9042.7
16:08:47.771 INFO  ProgressMeter -        chr1:15077525              6.5                 58930           9040.0
16:08:57.832 INFO  ProgressMeter -        chr1:15439936              6.7                 60410           9034.6
16:09:07.844 INFO  ProgressMeter -        chr1:15796035              6.9                 61850           9024.8
16:09:17.866 INFO  ProgressMeter -        chr1:16217001              7.0                 63550           9052.2
16:09:27.882 INFO  ProgressMeter -        chr1:16467971              7.2                 64630           8992.2
16:09:38.110 INFO  ProgressMeter -        chr1:16745213              7.4                 65840           8948.3
16:09:48.138 INFO  ProgressMeter -        chr1:17101668              7.5                 67230           8934.3
16:09:58.145 INFO  ProgressMeter -        chr1:17486529              7.7                 68710           8933.0
16:10:08.186 INFO  ProgressMeter -        chr1:17896617              7.9                 70250           8938.7
16:10:18.235 INFO  ProgressMeter -        chr1:18307923              8.0                 71780           8942.8
16:10:28.322 INFO  ProgressMeter -        chr1:18697472              8.2                 73260           8940.0
16:10:38.407 INFO  ProgressMeter -        chr1:19090799              8.4                 74760           8939.7
16:10:48.461 INFO  ProgressMeter -        chr1:19468332              8.5                 76240           8937.6
16:10:58.482 INFO  ProgressMeter -        chr1:19853045              8.7                 77700           8933.8
16:11:08.524 INFO  ProgressMeter -        chr1:20272340              8.9                 79240           8938.8
16:11:18.579 INFO  ProgressMeter -        chr1:20634597              9.0                 80680           8932.4
16:11:28.649 INFO  ProgressMeter -        chr1:21019321              9.2                 82200           8934.7
16:11:38.675 INFO  ProgressMeter -        chr1:21390728              9.4                 83670           8932.2
