Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P013test_dna_tumor.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/table/P013test_dna_tumor_recal_data.table
22:31:16.158 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
22:31:16.251 INFO  BaseRecalibrator - ------------------------------------------------------------
22:31:16.253 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
22:31:16.253 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
22:31:16.253 INFO  BaseRecalibrator - Executing as vsc35407@i28l15 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
22:31:16.253 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
22:31:16.254 INFO  BaseRecalibrator - Start Date/Time: March 30, 2024 at 10:31:16 PM CET
22:31:16.254 INFO  BaseRecalibrator - ------------------------------------------------------------
22:31:16.254 INFO  BaseRecalibrator - ------------------------------------------------------------
22:31:16.254 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
22:31:16.254 INFO  BaseRecalibrator - Picard Version: 3.1.1
22:31:16.254 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
22:31:16.254 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
22:31:16.254 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
22:31:16.255 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
22:31:16.255 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
22:31:16.255 INFO  BaseRecalibrator - Deflater: IntelDeflater
22:31:16.255 INFO  BaseRecalibrator - Inflater: IntelInflater
22:31:16.255 INFO  BaseRecalibrator - GCS max retries/reopens: 20
22:31:16.255 INFO  BaseRecalibrator - Requester pays: disabled
22:31:16.255 INFO  BaseRecalibrator - Initializing engine
22:31:16.490 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
22:31:16.615 INFO  BaseRecalibrator - Done initializing engine
22:31:16.618 INFO  BaseRecalibrationEngine - The covariates being used here: 
22:31:16.618 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
22:31:16.618 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
22:31:16.618 INFO  BaseRecalibrationEngine - 	ContextCovariate
22:31:16.618 INFO  BaseRecalibrationEngine - 	CycleCovariate
22:31:16.620 INFO  ProgressMeter - Starting traversal
22:31:16.621 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
22:31:26.644 INFO  ProgressMeter -        chr1:18225546              0.2                378000        2263473.1
22:31:36.642 INFO  ProgressMeter -        chr1:39263804              0.3                807000        2418460.6
22:31:46.663 INFO  ProgressMeter -        chr1:61069788              0.5               1256000        2508488.1
22:31:56.671 INFO  ProgressMeter -        chr1:83048313              0.7               1688000        2528839.0
22:32:06.672 INFO  ProgressMeter -       chr1:105372535              0.8               2124000        2546202.9
22:32:16.695 INFO  ProgressMeter -       chr1:145117498              1.0               2559000        2555890.3
22:32:26.700 INFO  ProgressMeter -       chr1:167115172              1.2               2986000        2556543.3
22:32:36.706 INFO  ProgressMeter -       chr1:188405149              1.3               3415000        2558531.6
22:32:46.709 INFO  ProgressMeter -       chr1:210269799              1.5               3855000        2567489.6
22:32:56.718 INFO  ProgressMeter -       chr1:231570133              1.7               4285000        2568508.5
22:33:06.740 INFO  ProgressMeter -         chr2:2760016              1.8               4676000        2547789.2
22:33:16.753 INFO  ProgressMeter -        chr2:23063776              2.0               5088000        2541204.7
22:33:26.764 INFO  ProgressMeter -        chr2:43683094              2.2               5498000        2534750.2
22:33:36.785 INFO  ProgressMeter -        chr2:64923396              2.3               5923000        2535476.6
22:33:46.793 INFO  ProgressMeter -        chr2:85797126              2.5               6345000        2535093.1
22:33:56.797 INFO  ProgressMeter -       chr2:110931479              2.7               6758000        2531465.4
22:34:06.809 INFO  ProgressMeter -       chr2:132314912              2.8               7184000        2532728.5
22:34:16.811 INFO  ProgressMeter -       chr2:154376135              3.0               7619000        2537002.8
22:34:26.814 INFO  ProgressMeter -       chr2:176267413              3.2               8055000        2541103.0
22:34:36.823 INFO  ProgressMeter -       chr2:197814671              3.3               8482000        2542045.2
22:34:46.843 INFO  ProgressMeter -       chr2:219902759              3.5               8925000        2547319.2
22:34:56.855 INFO  ProgressMeter -       chr2:239662913              3.7               9329000        2541569.4
22:35:06.873 INFO  ProgressMeter -        chr3:15485942              3.8               9709000        2530010.6
22:35:16.878 INFO  ProgressMeter -        chr3:36580340              4.0              10128000        2529291.6
22:35:26.893 INFO  ProgressMeter -        chr3:57567659              4.2              10564000        2532614.6
22:35:36.915 INFO  ProgressMeter -        chr3:77528576              4.3              10961000        2526614.2
22:35:46.925 INFO  ProgressMeter -       chr3:104336886              4.5              11395000        2529374.3
22:35:56.935 INFO  ProgressMeter -       chr3:125740551              4.7              11818000        2529591.8
22:36:06.946 INFO  ProgressMeter -       chr3:146168479              4.8              12239000        2529372.3
22:36:16.960 INFO  ProgressMeter -       chr3:167630744              5.0              12660000        2529150.5
22:36:26.979 INFO  ProgressMeter -       chr3:189426872              5.2              13091000        2530819.2
22:36:37.002 INFO  ProgressMeter -         chr4:6891651              5.3              13472000        2522996.1
22:36:47.013 INFO  ProgressMeter -        chr4:27750854              5.5              13886000        2521731.8
22:36:57.029 INFO  ProgressMeter -        chr4:48137120              5.7              14286000        2518044.6
22:37:07.032 INFO  ProgressMeter -        chr4:74225232              5.8              14696000        2516359.4
22:37:17.037 INFO  ProgressMeter -        chr4:96344666              6.0              15137000        2519928.4
22:37:27.042 INFO  ProgressMeter -       chr4:118239644              6.2              15568000        2521671.3
22:37:37.065 INFO  ProgressMeter -       chr4:140106587              6.3              15989000        2521632.6
22:37:47.072 INFO  ProgressMeter -       chr4:162122357              6.5              16427000        2524311.6
22:37:57.088 INFO  ProgressMeter -       chr4:183215252              6.7              16838000        2522754.7
