Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar Mutect2 -R resources/genome.fa -I results/recal/P037/P037_dna_tumor_recal.bam -I results/recal/P037/P037_dna_normal_recal.bam -normal P037_normal --germline-resource resources/gnomad_chr.vcf.gz --panel-of-normals results/mutect2/pon/mutect2.pon.vcf.gz -O results/mutect2/P037/P037_variants.vcf --f1r2-tar-gz results/mutect2/P037/P037_f1r2.tar.gz --native-pair-hmm-threads 16
13:03:50.071 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
13:03:50.437 INFO  Mutect2 - ------------------------------------------------------------
13:03:50.440 INFO  Mutect2 - The Genome Analysis Toolkit (GATK) v4.5.0.0
13:03:50.440 INFO  Mutect2 - For support and documentation go to https://software.broadinstitute.org/gatk/
13:03:50.440 INFO  Mutect2 - Executing as vsc35407@g28l10 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
13:03:50.440 INFO  Mutect2 - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
13:03:50.440 INFO  Mutect2 - Start Date/Time: June 28, 2024 at 1:03:49 PM CEST
13:03:50.440 INFO  Mutect2 - ------------------------------------------------------------
13:03:50.440 INFO  Mutect2 - ------------------------------------------------------------
13:03:50.441 INFO  Mutect2 - HTSJDK Version: 4.1.0
13:03:50.441 INFO  Mutect2 - Picard Version: 3.1.1
13:03:50.441 INFO  Mutect2 - Built for Spark Version: 3.5.0
13:03:50.441 INFO  Mutect2 - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:03:50.441 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:03:50.441 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:03:50.442 INFO  Mutect2 - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:03:50.442 INFO  Mutect2 - Deflater: IntelDeflater
13:03:50.442 INFO  Mutect2 - Inflater: IntelInflater
13:03:50.442 INFO  Mutect2 - GCS max retries/reopens: 20
13:03:50.442 INFO  Mutect2 - Requester pays: disabled
13:03:50.442 INFO  Mutect2 - Initializing engine
13:03:50.795 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/results/mutect2/pon/mutect2.pon.vcf.gz
13:03:50.989 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/gnomad_chr.vcf.gz
13:03:51.139 INFO  Mutect2 - Done initializing engine
13:03:51.146 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
13:03:51.195 INFO  NativeLibraryLoader - Loading libgkl_smithwaterman.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_smithwaterman.so
13:03:51.196 INFO  IntelSmithWaterman - Using CPU-supported AVX-512 instructions
13:03:51.196 INFO  SmithWatermanAligner - Using AVX accelerated SmithWaterman implementation
13:03:51.208 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
13:03:51.234 INFO  IntelPairHmm - Using CPU-supported AVX-512 instructions
13:03:51.235 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
13:03:51.235 INFO  IntelPairHmm - Available threads: 16
13:03:51.235 INFO  IntelPairHmm - Requested threads: 16
13:03:51.235 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
13:03:51.324 INFO  ProgressMeter - Starting traversal
13:03:51.324 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
13:04:01.326 INFO  ProgressMeter -          chr1:227911              0.2                   990           5939.4
13:04:11.392 INFO  ProgressMeter -          chr1:428761              0.3                  1850           5531.2
13:04:21.444 INFO  ProgressMeter -          chr1:717266              0.5                  3060           6095.8
13:04:31.514 INFO  ProgressMeter -         chr1:1015371              0.7                  4260           6359.9
13:04:41.529 INFO  ProgressMeter -         chr1:1305199              0.8                  5420           6477.4
13:04:51.565 INFO  ProgressMeter -         chr1:1608776              1.0                  6630           6603.5
13:05:01.626 INFO  ProgressMeter -         chr1:1920282              1.2                  7850           6699.7
13:05:11.861 INFO  ProgressMeter -         chr1:2146072              1.3                  8860           6600.8
13:05:21.913 INFO  ProgressMeter -         chr1:2358543              1.5                  9910           6563.8
13:05:31.925 INFO  ProgressMeter -         chr1:2682863              1.7                 11170           6662.0
13:05:41.930 INFO  ProgressMeter -         chr1:2997622              1.8                 12390           6721.2
13:05:51.979 INFO  ProgressMeter -         chr1:3296861              2.0                 13590           6758.1
13:06:02.530 INFO  ProgressMeter -         chr1:3578294              2.2                 14710           6726.8
13:06:12.584 INFO  ProgressMeter -         chr1:3914838              2.4                 15980           6787.5
13:06:22.601 INFO  ProgressMeter -         chr1:4259018              2.5                 17270           6849.7
13:06:32.612 INFO  ProgressMeter -         chr1:4617009              2.7                 18580           6911.9
13:06:42.654 INFO  ProgressMeter -         chr1:4936518              2.9                 19780           6927.0
13:06:52.673 INFO  ProgressMeter -         chr1:5259486              3.0                 20980           6941.3
13:07:02.736 INFO  ProgressMeter -         chr1:5604705              3.2                 22280           6983.9
13:07:12.794 INFO  ProgressMeter -         chr1:5935535              3.4                 23560           7016.5
13:07:22.870 INFO  ProgressMeter -         chr1:6234581              3.5                 24720           7011.2
13:07:32.874 INFO  ProgressMeter -         chr1:6559275              3.7                 25980           7035.9
13:07:42.913 INFO  ProgressMeter -         chr1:6901576              3.9                 27250           7059.9
13:07:52.937 INFO  ProgressMeter -         chr1:7230495              4.0                 28510           7079.9
13:08:02.955 INFO  ProgressMeter -         chr1:7528131              4.2                 29680           7077.0
13:08:13.030 INFO  ProgressMeter -         chr1:7841208              4.4                 30910           7086.6
13:08:23.070 INFO  ProgressMeter -         chr1:8185613              4.5                 32220           7114.0
13:08:33.069 INFO  ProgressMeter -         chr1:8504574              4.7                 33450           7123.5
13:08:43.105 INFO  ProgressMeter -         chr1:8790929              4.9                 34600           7114.9
13:08:53.183 INFO  ProgressMeter -         chr1:9102420              5.0                 35810           7117.9
13:09:03.235 INFO  ProgressMeter -         chr1:9408293              5.2                 37030           7123.2
13:09:13.249 INFO  ProgressMeter -         chr1:9736137              5.4                 38300           7138.3
13:09:23.271 INFO  ProgressMeter -        chr1:10041800              5.5                 39490           7137.9
13:09:33.291 INFO  ProgressMeter -        chr1:10368487              5.7                 40760           7151.6
13:09:43.309 INFO  ProgressMeter -        chr1:10662892              5.9                 41960           7152.6
13:09:53.405 INFO  ProgressMeter -        chr1:10969983              6.0                 43140           7148.7
13:10:03.428 INFO  ProgressMeter -        chr1:11262121              6.2                 44300           7143.2
13:10:13.507 INFO  ProgressMeter -        chr1:11563952              6.4                 45480           7140.0
13:10:23.515 INFO  ProgressMeter -        chr1:11890046              6.5                 46730           7149.1
13:10:33.530 INFO  ProgressMeter -        chr1:12229657              6.7                 48020           7163.5
13:10:43.578 INFO  ProgressMeter -        chr1:12593246              6.9                 49360           7183.9
13:10:53.657 INFO  ProgressMeter -        chr1:12965844              7.0                 50790           7215.6
13:11:03.715 INFO  ProgressMeter -        chr1:13283047              7.2                 52020           7218.5
13:11:13.742 INFO  ProgressMeter -        chr1:13627568              7.4                 53300           7228.5
13:11:23.803 INFO  ProgressMeter -        chr1:13979130              7.5                 54590           7238.8
13:11:33.823 INFO  ProgressMeter -        chr1:14312404              7.7                 55840           7244.1
13:11:43.905 INFO  ProgressMeter -        chr1:14638632              7.9                 57080           7247.0
13:11:53.969 INFO  ProgressMeter -        chr1:14960900              8.0                 58310           7248.8
13:12:04.038 INFO  ProgressMeter -        chr1:15265340              8.2                 59540           7250.5
13:12:14.050 INFO  ProgressMeter -        chr1:15577243              8.4                 60770           7252.9
13:12:24.107 INFO  ProgressMeter -        chr1:15849790              8.5                 61870           7239.3
13:12:34.126 INFO  ProgressMeter -        chr1:16293084              8.7                 63610           7300.3
13:12:44.161 INFO  ProgressMeter -        chr1:16655375              8.9                 65030           7322.7
13:12:54.176 INFO  ProgressMeter -        chr1:16971075              9.0                 66230           7320.2
13:13:04.218 INFO  ProgressMeter -        chr1:17277779              9.2                 67410           7315.3
13:13:14.278 INFO  ProgressMeter -        chr1:17600801              9.4                 68660           7317.8
