Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar ApplyBQSR -R resources/genome.fa -I results/mapped_reads/P018_dna_normal.marked.bam --bqsr-recal-file results/recal/table/P018_dna_normal_recal_data.table -O results/recal/P018_dna_normal_recal.bam --create-output-bam-index false
09:14:17.856 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
09:14:18.057 INFO  ApplyBQSR - ------------------------------------------------------------
09:14:18.059 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.5.0.0
09:14:18.059 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
09:14:18.059 INFO  ApplyBQSR - Executing as vsc35407@i28l15 on Linux v4.18.0-513.9.1.el8_9.x86_64 amd64
09:14:18.059 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
09:14:18.060 INFO  ApplyBQSR - Start Date/Time: March 31, 2024 at 9:14:17 AM CEST
09:14:18.060 INFO  ApplyBQSR - ------------------------------------------------------------
09:14:18.060 INFO  ApplyBQSR - ------------------------------------------------------------
09:14:18.060 INFO  ApplyBQSR - HTSJDK Version: 4.1.0
09:14:18.060 INFO  ApplyBQSR - Picard Version: 3.1.1
09:14:18.060 INFO  ApplyBQSR - Built for Spark Version: 3.5.0
09:14:18.061 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
09:14:18.061 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
09:14:18.061 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
09:14:18.061 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
09:14:18.061 INFO  ApplyBQSR - Deflater: IntelDeflater
09:14:18.061 INFO  ApplyBQSR - Inflater: IntelInflater
09:14:18.061 INFO  ApplyBQSR - GCS max retries/reopens: 20
09:14:18.061 INFO  ApplyBQSR - Requester pays: disabled
09:14:18.061 INFO  ApplyBQSR - Initializing engine
09:14:18.181 INFO  ApplyBQSR - Done initializing engine
09:14:18.200 INFO  ProgressMeter - Starting traversal
09:14:18.200 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
09:14:28.202 INFO  ProgressMeter -         chr1:3597233              0.2                908000        5448000.0
09:14:38.201 INFO  ProgressMeter -         chr1:7091760              0.3               1843000        5529000.0
09:14:48.205 INFO  ProgressMeter -        chr1:10581580              0.5               2781000        5561443.9
09:14:58.205 INFO  ProgressMeter -        chr1:13902842              0.7               3716000        5573442.7
09:15:08.206 INFO  ProgressMeter -        chr1:17329503              0.8               4650000        5579442.1
09:15:18.207 INFO  ProgressMeter -        chr1:20781861              1.0               5591000        5590534.1
09:15:28.214 INFO  ProgressMeter -        chr1:24181887              1.2               6528000        5594469.5
09:15:38.220 INFO  ProgressMeter -        chr1:27603397              1.3               7467000        5598920.3
09:15:48.221 INFO  ProgressMeter -        chr1:30985177              1.5               8406000        5602754.9
09:15:58.223 INFO  ProgressMeter -        chr1:34401821              1.7               9344000        5605222.9
09:16:08.230 INFO  ProgressMeter -        chr1:37818411              1.8              10282000        5606885.5
09:16:18.239 INFO  ProgressMeter -        chr1:41213748              2.0              11225000        5610723.3
09:16:28.244 INFO  ProgressMeter -        chr1:44549722              2.2              12161000        5610956.5
09:16:38.244 INFO  ProgressMeter -        chr1:47897007              2.3              13103000        5613847.2
09:16:48.244 INFO  ProgressMeter -        chr1:51359122              2.5              14043000        5615590.2
09:16:58.254 INFO  ProgressMeter -        chr1:54762223              2.7              14982000        5616389.6
09:17:08.259 INFO  ProgressMeter -        chr1:58185230              2.8              15921000        5617293.0
09:17:18.265 INFO  ProgressMeter -        chr1:61576254              3.0              16863000        5619002.1
09:17:28.267 INFO  ProgressMeter -        chr1:65041186              3.2              17803000        5620047.8
09:17:38.272 INFO  ProgressMeter -        chr1:68404107              3.3              18744000        5621232.6
09:17:48.278 INFO  ProgressMeter -        chr1:71968815              3.5              19686000        5622509.8
09:17:58.286 INFO  ProgressMeter -        chr1:75660160              3.7              20626000        5623100.2
09:18:08.287 INFO  ProgressMeter -        chr1:79155765              3.8              21567000        5624071.0
09:18:18.288 INFO  ProgressMeter -        chr1:82901950              4.0              22507000        5624711.0
09:18:28.298 INFO  ProgressMeter -        chr1:86384402              4.2              23447000        5625097.5
09:18:38.304 INFO  ProgressMeter -        chr1:89760166              4.3              24390000        5626232.7
09:18:48.307 INFO  ProgressMeter -        chr1:93216345              4.5              25331000        5626902.0
09:18:58.307 INFO  ProgressMeter -        chr1:96574236              4.7              26272000        5627583.8
09:19:08.311 INFO  ProgressMeter -       chr1:100101970              4.8              27211000        5627746.8
09:19:18.318 INFO  ProgressMeter -       chr1:103892633              5.0              28151000        5628005.1
09:19:28.321 INFO  ProgressMeter -       chr1:107584841              5.2              29087000        5627581.7
09:19:38.328 INFO  ProgressMeter -       chr1:110986329              5.3              30026000        5627641.5
09:19:48.336 INFO  ProgressMeter -       chr1:114357978              5.5              30967000        5628061.2
09:19:58.345 INFO  ProgressMeter -       chr1:117691108              5.7              31902000        5627381.3
09:20:08.352 INFO  ProgressMeter -       chr1:121067025              5.8              32837000        5626772.4
09:20:18.357 INFO  ProgressMeter -       chr1:125206154              6.0              33866000        5641888.5
09:20:28.363 INFO  ProgressMeter -       chr1:128251988              6.2              34839000        5647095.1
09:20:38.368 INFO  ProgressMeter -       chr1:130614183              6.3              35808000        5651411.1
09:20:48.375 INFO  ProgressMeter -       chr1:134312346              6.5              36767000        5653939.0
09:20:58.377 INFO  ProgressMeter -       chr1:138576975              6.7              37723000        5655975.5
09:21:08.385 INFO  ProgressMeter -       chr1:141488821              6.8              38685000        5658680.0
09:21:18.388 INFO  ProgressMeter -       chr1:145122160              7.0              39630000        5658909.0
09:21:28.391 INFO  ProgressMeter -       chr1:148446027              7.2              40560000        5657035.3
09:21:38.392 INFO  ProgressMeter -       chr1:151831784              7.3              41497000        5656226.5
09:21:48.398 INFO  ProgressMeter -       chr1:155187786              7.5              42437000        5655790.7
09:21:58.399 INFO  ProgressMeter -       chr1:158508637              7.7              43376000        5655304.9
09:22:08.400 INFO  ProgressMeter -       chr1:161969063              7.8              44309000        5654074.1
09:22:18.409 INFO  ProgressMeter -       chr1:165376218              8.0              45246000        5653300.2
09:22:28.409 INFO  ProgressMeter -       chr1:168742000              8.2              46183000        5652661.7
09:22:38.409 INFO  ProgressMeter -       chr1:172136651              8.3              47120000        5652048.7
09:22:48.417 INFO  ProgressMeter -       chr1:175475824              8.5              48058000        5651488.8
09:22:58.422 INFO  ProgressMeter -       chr1:178906496              8.7              48988000        5650060.3
09:23:08.430 INFO  ProgressMeter -       chr1:182232478              8.8              49925000        5649445.8
09:23:18.432 INFO  ProgressMeter -       chr1:185600767              9.0              50866000        5649361.1
09:23:28.441 INFO  ProgressMeter -       chr1:189304991              9.2              51803000        5648771.4
09:23:38.444 INFO  ProgressMeter -       chr1:192886590              9.3              52742000        5648477.5
09:23:48.453 INFO  ProgressMeter -       chr1:196502714              9.5              53681000        5648134.5
09:23:58.461 INFO  ProgressMeter -       chr1:200058083              9.7              54624000        5648226.7
09:24:08.469 INFO  ProgressMeter -       chr1:203430852              9.8              55565000        5648112.4
09:24:18.473 INFO  ProgressMeter -       chr1:206714123             10.0              56502000        5647639.7
09:24:28.473 INFO  ProgressMeter -       chr1:210091210             10.2              57441000        5647416.2
09:24:38.473 INFO  ProgressMeter -       chr1:213478990             10.3              58383000        5647490.1
09:24:48.477 INFO  ProgressMeter -       chr1:217090852             10.5              59322000        5647240.3
09:24:58.482 INFO  ProgressMeter -       chr1:220638356             10.7              60264000        5647270.5
09:25:08.492 INFO  ProgressMeter -       chr1:224020501             10.8              61200000        5646702.8
09:25:18.502 INFO  ProgressMeter -       chr1:227388012             11.0              62138000        5646334.0
09:25:28.504 INFO  ProgressMeter -       chr1:230894792             11.2              63078000        5646222.7
09:25:38.512 INFO  ProgressMeter -       chr1:234357661             11.3              64017000        5645976.6
09:25:48.517 INFO  ProgressMeter -       chr1:237875977             11.5              64957000        5645849.1
09:25:58.527 INFO  ProgressMeter -       chr1:241528082             11.7              65897000        5645685.0
09:26:08.530 INFO  ProgressMeter -       chr1:245098010             11.8              66833000        5645243.3
09:26:18.531 INFO  ProgressMeter -          chr2:128354             12.0              67774000        5645245.9
09:26:28.532 INFO  ProgressMeter -         chr2:3699224             12.2              68719000        5645577.1
