Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar GetPileupSummaries -I results/recal/P022/P022_dna_tumor_recal.bam -L resources/whole_genome.intervals -V resources/gnomad_chr.vcf.gz -O results/mutect2/P022/P022_tumor_pileup_summaries.table
13:39:27.598 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
13:39:27.823 INFO  GetPileupSummaries - ------------------------------------------------------------
13:39:27.825 INFO  GetPileupSummaries - The Genome Analysis Toolkit (GATK) v4.5.0.0
13:39:27.825 INFO  GetPileupSummaries - For support and documentation go to https://software.broadinstitute.org/gatk/
13:39:27.825 INFO  GetPileupSummaries - Executing as vsc35407@i28l15 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
13:39:27.825 INFO  GetPileupSummaries - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
13:39:27.826 INFO  GetPileupSummaries - Start Date/Time: June 25, 2024 at 1:39:27 PM CEST
13:39:27.826 INFO  GetPileupSummaries - ------------------------------------------------------------
13:39:27.826 INFO  GetPileupSummaries - ------------------------------------------------------------
13:39:27.826 INFO  GetPileupSummaries - HTSJDK Version: 4.1.0
13:39:27.826 INFO  GetPileupSummaries - Picard Version: 3.1.1
13:39:27.826 INFO  GetPileupSummaries - Built for Spark Version: 3.5.0
13:39:27.827 INFO  GetPileupSummaries - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:39:27.827 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:39:27.827 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:39:27.827 INFO  GetPileupSummaries - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:39:27.827 INFO  GetPileupSummaries - Deflater: IntelDeflater
13:39:27.827 INFO  GetPileupSummaries - Inflater: IntelInflater
13:39:27.827 INFO  GetPileupSummaries - GCS max retries/reopens: 20
13:39:27.827 INFO  GetPileupSummaries - Requester pays: disabled
13:39:27.828 INFO  GetPileupSummaries - Initializing engine
13:39:27.973 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/gnomad_chr.vcf.gz
13:39:28.110 INFO  IntervalArgumentCollection - Processing 3117292070 bp from intervals
13:39:28.114 INFO  GetPileupSummaries - Done initializing engine
13:39:28.119 INFO  ProgressMeter - Starting traversal
13:39:28.120 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
13:39:38.125 INFO  ProgressMeter -         chr1:3471746              0.2               3347000       20077984.4
13:39:48.123 INFO  ProgressMeter -         chr1:7540702              0.3               7407000       22218778.1
13:39:58.124 INFO  ProgressMeter -        chr1:11821549              0.5              11684000       23364884.7
13:40:08.124 INFO  ProgressMeter -        chr1:16215191              0.7              15932000       23895610.4
13:40:18.125 INFO  ProgressMeter -        chr1:20447308              0.8              20051000       24058794.1
13:40:28.125 INFO  ProgressMeter -        chr1:24768108              1.0              24368000       24365969.5
13:40:38.126 INFO  ProgressMeter -        chr1:29210018              1.2              28736000       24629097.9
13:40:48.126 INFO  ProgressMeter -        chr1:33442738              1.3              32963000       24720396.0
13:40:58.127 INFO  ProgressMeter -        chr1:37732052              1.5              37250000       24831677.9
13:41:08.127 INFO  ProgressMeter -        chr1:42071873              1.7              41587000       24950453.5
13:41:18.128 INFO  ProgressMeter -        chr1:46439735              1.8              45951000       25062359.1
13:41:28.128 INFO  ProgressMeter -        chr1:50790826              2.0              50293000       25144823.7
13:41:38.128 INFO  ProgressMeter -        chr1:55178763              2.2              54678000       25234447.1
13:41:48.128 INFO  ProgressMeter -        chr1:59586955              2.3              59083000       25319838.9
13:41:58.129 INFO  ProgressMeter -        chr1:64161503              2.5              63655000       25460642.1
13:42:08.130 INFO  ProgressMeter -        chr1:68787603              2.7              68275000       25601684.9
13:42:18.130 INFO  ProgressMeter -        chr1:73573751              2.8              73056000       25782953.9
13:42:28.132 INFO  ProgressMeter -        chr1:78250481              3.0              77726000       25906939.5
13:42:38.135 INFO  ProgressMeter -        chr1:82984582              3.2              82455000       26036502.6
13:42:48.134 INFO  ProgressMeter -        chr1:87604272              3.3              87067000       26118271.7
13:42:58.136 INFO  ProgressMeter -        chr1:92169464              3.5              91628000       26177434.1
13:43:08.137 INFO  ProgressMeter -        chr1:96724864              3.7              96181000       26229274.2
13:43:18.138 INFO  ProgressMeter -       chr1:101375435              3.8             100829000       26301273.4
13:43:28.139 INFO  ProgressMeter -       chr1:106490710              4.0             105606000       26399410.0
13:43:38.140 INFO  ProgressMeter -       chr1:111005635              4.2             110030000       26405087.6
13:43:48.142 INFO  ProgressMeter -       chr1:115454384              4.3             114473000       26414712.7
13:43:58.141 INFO  ProgressMeter -       chr1:119853997              4.5             118867000       26412834.6
13:44:08.141 INFO  ProgressMeter -       chr1:128244430              4.7             124139000       26599219.3
13:44:18.142 INFO  ProgressMeter -       chr1:139840194              4.8             128916000       26670344.6
13:44:28.141 INFO  ProgressMeter -       chr1:147405856              5.0             133973000       26792724.5
13:44:39.529 INFO  ProgressMeter -       chr1:148518709              5.2             135053000       26021020.6
13:44:49.575 INFO  ProgressMeter -       chr1:148567821              5.4             135100000       25216593.3
13:45:00.688 INFO  ProgressMeter -       chr1:148634522              5.5             135152000       24383344.2
13:45:13.353 INFO  ProgressMeter -       chr1:148847725              5.8             135329000       23519662.1
13:45:23.354 INFO  ProgressMeter -       chr1:153383467              5.9             139783000       23609799.8
13:45:33.354 INFO  ProgressMeter -       chr1:157650232              6.1             144046000       23663688.7
13:45:43.355 INFO  ProgressMeter -       chr1:162303572              6.3             148453000       23737604.4
13:45:53.355 INFO  ProgressMeter -       chr1:166782257              6.4             152928000       23818396.6
13:46:03.355 INFO  ProgressMeter -       chr1:171299398              6.6             157441000       23900869.1
13:46:13.355 INFO  ProgressMeter -       chr1:175871685              6.8             162009000       23987414.7
13:46:23.356 INFO  ProgressMeter -       chr1:180398773              6.9             166533000       24063434.0
13:46:33.356 INFO  ProgressMeter -       chr1:184865315              7.1             170997000       24127355.2
13:46:43.357 INFO  ProgressMeter -       chr1:189686009              7.3             175813000       24236919.7
13:46:53.357 INFO  ProgressMeter -       chr1:194554448              7.4             180674000       24347572.2
13:47:03.358 INFO  ProgressMeter -       chr1:199292596              7.6             185407000       24436492.6
13:47:13.359 INFO  ProgressMeter -       chr1:203595849              7.8             189707000       24465800.3
13:47:23.358 INFO  ProgressMeter -       chr1:207903156              7.9             193999000       24492864.6
13:47:33.358 INFO  ProgressMeter -       chr1:212362932              8.1             198453000       24538844.9
13:47:43.359 INFO  ProgressMeter -       chr1:216949582              8.3             203035000       24598475.9
13:47:53.358 INFO  ProgressMeter -       chr1:221550036              8.4             207631000       24657409.0
13:48:03.358 INFO  ProgressMeter -       chr1:225993885              8.6             212072000       24696004.6
13:48:13.359 INFO  ProgressMeter -       chr1:230527537              8.8             216344000       24713777.9
13:48:23.359 INFO  ProgressMeter -       chr1:234973147              8.9             220777000       24748981.3
13:48:33.359 INFO  ProgressMeter -       chr1:239604333              9.1             225391000       24802811.2
13:48:43.359 INFO  ProgressMeter -       chr1:244208105              9.3             229991000       24853189.3
13:48:53.359 INFO  ProgressMeter -          chr2:382372              9.4             234492000       24891276.1
13:49:03.359 INFO  ProgressMeter -         chr2:4649465              9.6             238737000       24901336.7
13:49:13.361 INFO  ProgressMeter -         chr2:9063141              9.8             243146000       24927824.5
13:49:23.360 INFO  ProgressMeter -        chr2:13379681              9.9             247452000       24943081.8
13:49:33.361 INFO  ProgressMeter -        chr2:17867925             10.1             251927000       24974547.3
13:49:43.363 INFO  ProgressMeter -        chr2:22336051             10.3             256390000       25003819.6
13:49:53.362 INFO  ProgressMeter -        chr2:26727024             10.4             260778000       25024998.3
13:50:03.364 INFO  ProgressMeter -        chr2:31066719             10.6             265116000       25040748.2
13:50:13.364 INFO  ProgressMeter -        chr2:35677808             10.8             269719000       25080651.7
13:50:23.366 INFO  ProgressMeter -        chr2:40218341             10.9             274255000       25113201.9
13:50:33.366 INFO  ProgressMeter -        chr2:44725737             11.1             278758000       25141797.2
13:50:43.366 INFO  ProgressMeter -        chr2:49093935             11.3             283125000       25157498.2
13:50:53.366 INFO  ProgressMeter -        chr2:53758826             11.4             287787000       25198571.0
13:51:03.367 INFO  ProgressMeter -        chr2:58395151             11.6             292413000       25235319.2
13:51:13.367 INFO  ProgressMeter -        chr2:62905225             11.8             296920000       25260936.9
13:51:23.368 INFO  ProgressMeter -        chr2:67415019             11.9             301428000       25285922.2
13:51:33.367 INFO  ProgressMeter -        chr2:71809493             12.1             305815000       25300208.1
13:51:43.368 INFO  ProgressMeter -        chr2:76240436             12.3             310229000       25316274.2
13:51:53.369 INFO  ProgressMeter -        chr2:80944783             12.4             314929000       25354935.1
13:52:03.369 INFO  ProgressMeter -        chr2:85573086             12.6             319548000       25386170.7
13:52:13.384 INFO  ProgressMeter -        chr2:91354722             12.8             324269000       25424122.2
13:52:23.385 INFO  ProgressMeter -        chr2:97683930             12.9             328834000       25449446.9
13:52:33.384 INFO  ProgressMeter -       chr2:102166299             13.1             333146000       25454827.9
13:52:43.384 INFO  ProgressMeter -       chr2:106619042             13.3             337590000       25470032.6
13:52:53.384 INFO  ProgressMeter -       chr2:111379871             13.4             342125000       25491640.0
13:53:03.385 INFO  ProgressMeter -       chr2:115894664             13.6             346603000       25508491.1
13:53:13.386 INFO  ProgressMeter -       chr2:120406282             13.8             351107000       25526855.0
13:53:23.385 INFO  ProgressMeter -       chr2:124796398             13.9             355492000       25536231.0
13:53:33.385 INFO  ProgressMeter -       chr2:128992519             14.1             359673000       25530904.5
13:53:43.387 INFO  ProgressMeter -       chr2:133299685             14.3             363840000       25524690.6
13:53:53.387 INFO  ProgressMeter -       chr2:137500625             14.4             368030000       25520215.1
13:54:03.388 INFO  ProgressMeter -       chr2:141953226             14.6             372480000       25533694.3
13:54:13.388 INFO  ProgressMeter -       chr2:146370263             14.8             376892000       25544264.6
13:54:23.389 INFO  ProgressMeter -       chr2:150787065             14.9             381306000       25554732.7
13:54:33.389 INFO  ProgressMeter -       chr2:155211439             15.1             385711000       25564401.3
13:54:43.391 INFO  ProgressMeter -       chr2:159625597             15.3             390117000       25573868.3
13:54:53.392 INFO  ProgressMeter -       chr2:164006714             15.4             394493000       25581240.5
13:55:03.392 INFO  ProgressMeter -       chr2:168416176             15.6             398897000       25590224.0
13:55:13.392 INFO  ProgressMeter -       chr2:172739269             15.8             403207000       25593078.0
13:55:23.393 INFO  ProgressMeter -       chr2:177020799             15.9             407483000       25593709.9
13:55:33.395 INFO  ProgressMeter -       chr2:181324457             16.1             411779000       25595545.3
13:55:43.397 INFO  ProgressMeter -       chr2:185793648             16.3             416239000       25607432.6
13:55:53.399 INFO  ProgressMeter -       chr2:190341712             16.4             420784000       25624280.7
13:56:03.398 INFO  ProgressMeter -       chr2:194827662             16.6             425268000       25637138.6
13:56:13.398 INFO  ProgressMeter -       chr2:199255679             16.8             429688000       25645920.8
13:56:23.398 INFO  ProgressMeter -       chr2:203636007             16.9             434066000       25652048.0
13:56:33.398 INFO  ProgressMeter -       chr2:207952103             17.1             438379000       25654251.8
13:56:43.400 INFO  ProgressMeter -       chr2:212520332             17.3             442941000       25670819.2
13:56:53.400 INFO  ProgressMeter -       chr2:217126476             17.4             447544000       25689447.5
13:57:03.399 INFO  ProgressMeter -       chr2:221416291             17.6             451831000       25689756.0
13:57:13.400 INFO  ProgressMeter -       chr2:225995059             17.8             456407000       25706312.0
13:57:23.401 INFO  ProgressMeter -       chr2:230591175             17.9             460994000       25723173.8
13:57:33.403 INFO  ProgressMeter -       chr2:234880101             18.1             465276000       25722862.8
13:57:43.402 INFO  ProgressMeter -       chr2:239055256             18.3             469447000       25716500.4
