Using GATK jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -I results/mapped_reads/P033/P033_dna_tumor.marked.bam -R resources/genome.fa --known-sites resources/dbSNPv155_common.vcf.gz -O results/recal/P033/P033_dna_tumor_recal_data.table
13:43:22.122 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/lustre1/project/stg_00096/home/rdewin/system/miniconda/envs/WGS/share/gatk4-4.5.0.0-0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
13:43:22.214 INFO  BaseRecalibrator - ------------------------------------------------------------
13:43:22.216 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
13:43:22.216 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
13:43:22.216 INFO  BaseRecalibrator - Executing as vsc35407@i28l15 on Linux v4.18.0-513.24.1.el8_9.x86_64 amd64
13:43:22.216 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.10-internal+0-adhoc..src
13:43:22.217 INFO  BaseRecalibrator - Start Date/Time: June 21, 2024 at 1:43:22 PM CEST
13:43:22.217 INFO  BaseRecalibrator - ------------------------------------------------------------
13:43:22.217 INFO  BaseRecalibrator - ------------------------------------------------------------
13:43:22.217 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
13:43:22.217 INFO  BaseRecalibrator - Picard Version: 3.1.1
13:43:22.217 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
13:43:22.218 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:43:22.218 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:43:22.218 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:43:22.218 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:43:22.218 INFO  BaseRecalibrator - Deflater: IntelDeflater
13:43:22.218 INFO  BaseRecalibrator - Inflater: IntelInflater
13:43:22.218 INFO  BaseRecalibrator - GCS max retries/reopens: 20
13:43:22.218 INFO  BaseRecalibrator - Requester pays: disabled
13:43:22.218 INFO  BaseRecalibrator - Initializing engine
13:43:22.316 INFO  FeatureManager - Using codec VCFCodec to read file file:///lustre1/project/stg_00096/home/rdewin/WGS/resources/dbSNPv155_common.vcf.gz
13:43:22.388 INFO  BaseRecalibrator - Done initializing engine
13:43:22.392 INFO  BaseRecalibrationEngine - The covariates being used here: 
13:43:22.392 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
13:43:22.392 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
13:43:22.392 INFO  BaseRecalibrationEngine - 	ContextCovariate
13:43:22.392 INFO  BaseRecalibrationEngine - 	CycleCovariate
13:43:22.394 INFO  ProgressMeter - Starting traversal
13:43:22.394 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
13:43:32.408 INFO  ProgressMeter -         chr1:2145890              0.2                625000        3746253.7
13:43:42.416 INFO  ProgressMeter -         chr1:4283754              0.3               1293000        3875124.9
13:43:52.430 INFO  ProgressMeter -         chr1:6553263              0.5               1976000        3947526.1
13:44:02.440 INFO  ProgressMeter -         chr1:8820604              0.7               2649000        3969134.0
13:44:12.451 INFO  ProgressMeter -        chr1:11099597              0.8               3334000        3996324.1
13:44:22.464 INFO  ProgressMeter -        chr1:13416158              1.0               4008000        4003462.7
13:44:32.465 INFO  ProgressMeter -        chr1:15711651              1.2               4690000        4015984.0
13:44:42.476 INFO  ProgressMeter -        chr1:18206494              1.3               5362000        4017482.5
13:44:52.483 INFO  ProgressMeter -        chr1:20496469              1.5               6047000        4027395.4
13:45:02.490 INFO  ProgressMeter -        chr1:22814874              1.7               6736000        4037804.5
13:45:12.494 INFO  ProgressMeter -        chr1:25091526              1.8               7415000        4040908.6
13:45:22.501 INFO  ProgressMeter -        chr1:27427726              2.0               8110000        4051421.2
13:45:32.513 INFO  ProgressMeter -        chr1:29767010              2.2               8803000        4059238.5
13:45:42.522 INFO  ProgressMeter -        chr1:32072932              2.3               9494000        4065169.5
13:45:52.525 INFO  ProgressMeter -        chr1:34406728              2.5              10185000        4070472.3
13:46:02.536 INFO  ProgressMeter -        chr1:36762222              2.7              10878000        4075683.8
13:46:12.540 INFO  ProgressMeter -        chr1:39102637              2.8              11568000        4079344.1
13:46:22.544 INFO  ProgressMeter -        chr1:41416567              3.0              12250000        4079956.0
13:46:32.555 INFO  ProgressMeter -        chr1:43769287              3.2              12945000        4084455.2
13:46:42.560 INFO  ProgressMeter -        chr1:46123446              3.3              13640000        4088647.3
13:46:52.567 INFO  ProgressMeter -        chr1:48486355              3.5              14331000        4091240.0
13:47:02.567 INFO  ProgressMeter -        chr1:51000323              3.7              15036000        4097523.8
13:47:12.581 INFO  ProgressMeter -        chr1:53389068              3.8              15728000        4099641.2
13:47:22.582 INFO  ProgressMeter -        chr1:55707092              4.0              16417000        4101054.6
13:47:32.595 INFO  ProgressMeter -        chr1:58126920              4.2              17105000        4101918.5
13:47:42.608 INFO  ProgressMeter -        chr1:60558822              4.3              17799000        4104099.3
13:47:52.615 INFO  ProgressMeter -        chr1:63001738              4.5              18480000        4103323.2
13:48:02.627 INFO  ProgressMeter -        chr1:65456127              4.7              19168000        4104042.7
13:48:12.628 INFO  ProgressMeter -        chr1:67924724              4.8              19856000        4104839.9
13:48:22.641 INFO  ProgressMeter -        chr1:70476956              5.0              20548000        4106232.9
13:48:32.648 INFO  ProgressMeter -        chr1:73069657              5.2              21243000        4108208.8
13:48:42.651 INFO  ProgressMeter -        chr1:75655660              5.3              21935000        4109524.9
13:48:52.654 INFO  ProgressMeter -        chr1:78156953              5.5              22627000        4110773.7
13:49:02.664 INFO  ProgressMeter -        chr1:80683410              5.7              23302000        4108866.8
13:49:12.667 INFO  ProgressMeter -        chr1:83261268              5.8              23989000        4109218.3
13:49:22.668 INFO  ProgressMeter -        chr1:85724749              6.0              24676000        4109561.7
13:49:32.670 INFO  ProgressMeter -        chr1:88198674              6.2              25366000        4110350.4
13:49:42.681 INFO  ProgressMeter -        chr1:90637125              6.3              26061000        4111800.1
13:49:52.688 INFO  ProgressMeter -        chr1:93087159              6.5              26751000        4112448.9
13:50:02.700 INFO  ProgressMeter -        chr1:95492715              6.7              27445000        4113623.6
